    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     4.00     0.025    5.8013108194922891e-01    4.3559171193380000e-02
     8.00     0.050    5.2210268433750895e-01    3.7059320485412226e-03
    12.00     0.076    5.1843412699143243e-01    1.7332178131461960e-03
    16.00     0.103    5.1700896241677474e-01    4.0178996832158859e-03
    20.00     0.129    5.1671429836539362e-01    1.5348268119052757e-04
    24.00     0.154    5.1669346892407031e-01    1.6977780655955645e-04
    28.00     0.179    5.1669093462431870e-01    4.0291667610675602e-05
    32.00     0.206    5.1669089824343994e-01    4.7880203019919014e-06
    36.00     0.231    5.1669089723911588e-01    1.0199865495853156e-06
    40.00     0.257    5.1669089712953631e-01    8.5202389031816813e-08
    44.00     0.282    5.1669089712920280e-01    1.1155738135780048e-07
    48.00     0.308    5.1669089712886085e-01    3.6682777060575240e-09
    52.00     0.333    5.1669089712885374e-01    3.4259964882879241e-10
