    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     0.10     0.002    6.9230259008824468e-01    1.5717106937641151e-01
     0.20     0.004    7.1231087605563770e-01    1.5729890298357416e-01
     0.30     0.007    7.2616298765148013e-01    1.5383227129798235e-01
     0.40     0.009    5.5297693565137984e-01    4.0236665152231600e-02
     0.50     0.011    6.7165316106578388e-01    1.1899049609973857e-01
     0.60     0.013    8.0437600320251224e-01    1.4067910872855263e-01
     0.70     0.016    8.5434781675949001e-01    1.4383183038210803e-01
     0.80     0.018    8.7948908600998710e-01    1.4493067771749193e-01
     0.90     0.020    5.8118389516265045e-01    7.2695268733269966e-02
     1.00     0.022    8.4127059071280896e-01    1.9758876135315487e-01
     1.10     0.025    7.3642341116659826e-01    1.6111910898265400e-01
     1.20     0.027    6.9764736240178915e-01    1.3901893454572151e-01
     1.30     0.029    6.7984065031770824e-01    1.2709864804910628e-01
     1.40     0.031    6.7591646672938110e-01    1.3175600432740403e-01
     1.50     0.033    6.7253451385475904e-01    1.2929109326693308e-01
     1.60     0.035    5.5914098226247799e-01    6.3742794493196336e-02
     1.70     0.037    5.2619432225932750e-01    2.8681966112948678e-02
     1.80     0.039    5.1895719694678744e-01    1.0479901163425114e-02
     1.90     0.043    5.1869185659994421e-01    4.4875765974701776e-03
     2.00     0.045    5.1797566653031435e-01    5.3064884683763766e-03
     2.10     0.047    5.1734589351928972e-01    4.6052980936706926e-03
     2.20     0.049    5.1708887646725854e-01    3.4376088487366092e-03
     2.30     0.051    5.1700591498208603e-01    2.8600328639369079e-03
     2.40     0.053    5.1698490901631755e-01    2.7097432340713969e-03
     2.50     0.055    5.1697642550794554e-01    2.6776034214243279e-03
     2.60     0.057    5.1675031382060599e-01    1.5525812373732388e-03
     2.70     0.059    5.1669862633721575e-01    5.2323050584718149e-04
     2.80     0.061    5.1669226978901495e-01    1.6236213116343102e-04
     2.90     0.064    5.1669146084181239e-01    1.0308269051616916e-04
     3.00     0.066    5.1669116282003014e-01    7.6766476260466262e-05
     3.10     0.068    5.1669097983958490e-01    4.6266750129688190e-05
     3.20     0.070    5.1669092620411983e-01    2.6291507540891608e-05
     3.30     0.072    5.1669091124176825e-01    1.6479391543096572e-05
     3.40     0.074    5.1669090540004381e-01    1.4837415118303481e-05
     3.50     0.076    5.1669090245230953e-01    1.3438040944427981e-05
     3.60     0.078    5.1669089729316853e-01    2.4220847413114596e-06
     3.70     0.081    5.1669089713200578e-01    3.2078080535396332e-07
     3.80     0.083    5.1669089712898053e-01    5.0708800648072475e-08
     3.90     0.085    5.1669089712887095e-01    1.6941071428528591e-08
     4.00     0.087    5.1669089712885141e-01    8.9682329987858869e-09
     4.10     0.090    5.1669089712886129e-01    3.4222218459528447e-09
     4.20     0.092    5.1669089712885552e-01    9.0538192329576994e-10
