    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     1.00     0.018    5.6486142387067473e-01    5.2186208968807879e-02
     2.00     0.032    5.4621444610603875e-01    4.3368395308857180e-02
     3.00     0.047    5.2100893197686404e-01    1.1959202914338770e-02
     4.00     0.062    5.1885780514256385e-01    1.5736980781947369e-02
     5.00     0.076    5.1996173388761158e-01    1.4492123895739081e-02
     6.00     0.093    5.1739280664881127e-01    5.5876066725303137e-03
     7.00     0.108    5.1762294933020658e-01    7.2106856386000727e-03
     8.00     0.120    5.1683352315127951e-01    3.7477069243669527e-03
     9.00     0.136    5.1674732702428694e-01    2.6313476450585426e-03
    10.00     0.151    5.1671869947529980e-01    1.0590262929187732e-03
    11.00     0.163    5.1670817346904330e-01    8.9239089998087440e-04
    12.00     0.180    5.1669678200173641e-01    7.9440791118164881e-04
    13.00     0.194    5.1669293066056388e-01    4.0398372381877370e-04
    14.00     0.206    5.1669123658566607e-01    1.1101018083153511e-04
    15.00     0.221    5.1669109284285342e-01    1.4080331366181419e-04
    16.00     0.235    5.1669095952695321e-01    6.0991620943208140e-05
    17.00     0.249    5.1669091374824316e-01    3.2396548056836865e-05
    18.00     0.264    5.1669090527635142e-01    2.1991814899823917e-05
    19.00     0.279    5.1669089985976113e-01    1.2063278437377002e-05
    20.00     0.294    5.1669089827802961e-01    8.7732070344129379e-06
    21.00     0.306    5.1669089740610552e-01    2.6691865496940978e-06
    22.00     0.321    5.1669089727389417e-01    2.0822280250555277e-06
    23.00     0.338    5.1669089742738450e-01    3.8510109115694581e-06
    24.00     0.350    5.1669089719828809e-01    1.7787784122502447e-06
    25.00     0.364    5.1669089718235350e-01    2.0965399496768311e-06
    26.00     0.380    5.1669089718746497e-01    1.9444081947945790e-06
