    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     1.00     0.009    5.1963333546561508e-01    3.2703957320136148e-03
     2.00     0.020    5.1818822236373596e-01    4.0332382127682767e-03
     3.00     0.029    5.1766031717784222e-01    2.4598657294975334e-03
     4.00     0.039    5.1740995371590326e-01    2.2495709379024881e-03
     5.00     0.047    5.1720858728109920e-01    2.2085607742937945e-03
     6.00     0.055    5.1709453701091324e-01    2.3830016770232205e-03
     7.00     0.065    5.1703217908155896e-01    1.8646297320017368e-03
     8.00     0.073    5.1703888787976671e-01    3.0331235291785798e-03
     9.00     0.084    5.1696012575022199e-01    1.6858206046200459e-03
    10.00     0.093    5.1701518431927507e-01    2.9570417478984364e-03
    11.00     0.102    5.1693574495534578e-01    1.8875452614986695e-03
    12.00     0.111    5.1702025355021730e-01    3.4965487394938463e-03
    13.00     0.119    5.1685422977579221e-01    1.1189082951152921e-03
    14.00     0.128    5.1684997401617128e-01    1.4816719747313193e-03
    15.00     0.138    5.1682943522340985e-01    1.7355992403219054e-03
    16.00     0.147    5.1686416793283618e-01    3.1323098629038809e-03
    17.00     0.156    5.1678981983962746e-01    5.1763811368591935e-04
    18.00     0.165    5.1679781331552355e-01    1.5466212280106999e-03
    19.00     0.175    5.1678680165300106e-01    9.1380658946423868e-04
    20.00     0.183    5.1681656207019344e-01    1.5884991416291500e-03
    21.00     0.193    5.1679731187134204e-01    1.1113963245064603e-03
    22.00     0.201    5.1677656566070196e-01    8.6032011871718368e-04
    23.00     0.210    5.1676667330108816e-01    1.1973582777502659e-03
    24.00     0.218    5.1679066984269972e-01    1.7330630344911068e-03
    25.00     0.226    5.1676078578568208e-01    1.0758970121370495e-03
    26.00     0.235    5.1682319066925442e-01    2.6375844788100590e-03
    27.00     0.244    5.1676203939466581e-01    1.0859453396173109e-03
    28.00     0.252    5.1678310661659799e-01    1.5704619357420335e-03
    29.00     0.260    5.1675416730708512e-01    1.0551100410795050e-03
    30.00     0.269    5.1675215603767710e-01    9.5461384722444358e-04
    31.00     0.279    5.1675632474725008e-01    1.4291888333082343e-03
    32.00     0.288    5.1680410197102089e-01    2.3063005283316790e-03
    33.00     0.296    5.1677435494731816e-01    1.6599067056668423e-03
    34.00     0.307    5.1676688217427635e-01    1.4991164025759752e-03
    35.00     0.315    5.1673261651962665e-01    6.4233377539566036e-04
    36.00     0.325    5.1675805307204681e-01    1.4341625252403364e-03
    37.00     0.333    5.1672793892468372e-01    6.3103388132707927e-04
    38.00     0.344    5.1674192044073242e-01    1.6203656654409423e-03
    39.00     0.352    5.1674135983178127e-01    1.2026508377722890e-03
    40.00     0.360    5.1672277554692814e-01    3.7948564725495513e-04
    41.00     0.369    5.1672877699939768e-01    8.2184455515921923e-04
