    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     4.00     0.397    6.3850316592532597e-01    4.3525227819190701e-02
     8.00     0.818    5.9583358543328269e-01    1.8739682814217718e-02
    12.00     1.236    5.8318618312491799e-01    3.4662813071607755e-02
    16.00     1.657    5.6096517174499938e-01    6.4929743611376340e-03
    20.00     2.079    5.5306628262955848e-01    1.1855145358975113e-02
    24.00     2.496    5.4474547079872571e-01    4.8336819243185031e-03
    28.00     2.915    5.3940929962659967e-01    5.4284539620263368e-03
    32.00     3.333    5.3275428356648635e-01    6.5555346043180054e-03
    36.00     3.752    5.2860004655906567e-01    1.3027842000916674e-02
    40.00     4.171    5.2594785743013173e-01    3.1696234109615394e-03
    44.00     4.591    5.2366849390048598e-01    9.4220621688099158e-03
    48.00     5.008    5.2253913394268636e-01    1.6810571851064626e-03
    52.00     5.426    5.2150207171500340e-01    5.3553477677621367e-03
    56.00     5.843    5.2079598825063367e-01    1.8594873449579831e-03
    60.00     6.260    5.1985314449037834e-01    3.5150661749485225e-03
    64.00     6.677    5.1949058571829454e-01    1.2693099021603589e-03
    68.00     7.093    5.1828570283297426e-01    3.3212692308308292e-03
    72.00     7.511    5.1776374964010008e-01    1.3029966584099111e-03
    76.00     7.929    5.1708738050039926e-01    1.3178472995880536e-03
    80.00     8.347    5.1696739049639373e-01    8.9991002405169658e-04
    84.00     8.765    5.1650671749763100e-01    1.0667194611316746e-03
    88.00     9.184    5.1642699491406563e-01    7.3649478063567803e-04
    92.00     9.602    5.1592571001362253e-01    1.1517683644068034e-03
    96.00    10.021    5.1581891150882098e-01    5.5156806156826936e-04
   100.00    10.441    5.1543097311835584e-01    1.1590260331259877e-03
   104.00    10.859    5.1523812074650477e-01    8.5301129897294697e-04
   108.00    11.280    5.1507552794890921e-01    5.5410013087140179e-04
   112.00    11.700    5.1500933801009774e-01    5.5198935965323701e-04
   116.00    12.121    5.1482874958036084e-01    6.1414429364678588e-04
   120.00    12.541    5.1473032838211663e-01    3.9530039604350481e-04
   124.00    12.961    5.1463343193918787e-01    4.2620579950416689e-04
   128.00    13.383    5.1453854045424885e-01    2.6197801039889952e-04
   132.00    13.803    5.1449844330827499e-01    2.4865746363185773e-04
   136.00    14.222    5.1434258625388773e-01    4.6288420645660663e-04
   140.00    14.642    5.1432260864832169e-01    3.3456334573996310e-04
   144.00    15.059    5.1418466474536517e-01    5.6013467240157485e-04
   148.00    15.477    5.1417173205198718e-01    3.1509464901559835e-04
   152.00    15.894    5.1406518100114373e-01    4.4871932336931791e-04
   156.00    16.312    5.1405111188796071e-01    1.9070551957120187e-04
   160.00    16.730    5.1400673796046992e-01    3.2653859600737591e-04
   164.00    17.151    5.1398865662359750e-01    9.9587024915188829e-05
   168.00    17.569    5.1398001457040565e-01    1.4697960143702528e-04
   172.00    17.991    5.1396474204601883e-01    9.4212132805570061e-05
   176.00    18.409    5.1396195012729518e-01    8.0249020880090107e-05
   180.00    18.828    5.1393790426277142e-01    1.3975971807121722e-04
   184.00    19.245    5.1393649019548682e-01    8.0270211260927713e-05
   188.00    19.663    5.1392845059677150e-01    1.1430228859388514e-04
   192.00    20.081    5.1392440923769012e-01    8.8750850357701195e-05
   196.00    20.500    5.1392056194788727e-01    4.9355158235493940e-05
   200.00    20.919    5.1391011122160490e-01    7.2638517910905438e-05
   204.00    21.337    5.1390963493160269e-01    5.7030675147414498e-05
   208.00    21.759    5.1389721746937889e-01    1.4632485342164846e-04
