    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     2.00     0.655    5.3999339449860428e-01    7.8884539475439653e-03
     3.00     1.446    5.1799489004037269e-01    2.2815532526915907e-03
     4.00     2.871    5.1426961065822396e-01    5.1201419156763966e-04
     5.00     4.869    5.1393597462339002e-01    1.1870987152882844e-04
     6.00     8.030    5.1386155173261516e-01    3.4174108922862675e-05
     7.00    11.086    5.1384755792768411e-01    1.9009381067128075e-05
     8.00    14.173    5.1384617794722276e-01    1.0953615283602229e-05
     9.00    17.250    5.1384607572833996e-01    4.3830951697426619e-07
    10.00    20.313    5.1384605607269773e-01    1.4055470687640864e-06
    11.00    23.397    5.1384604620555696e-01    1.2762183096855342e-07
