    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     4.00     0.401    6.2750205686940896e-01    3.5898044465886236e-02
     8.00     0.819    5.6811420984556638e-01    2.2028041554525545e-02
    12.00     1.238    5.4121878825535641e-01    5.0622910857477084e-03
    16.00     1.656    5.2515539075767770e-01    1.8831146672820598e-02
    20.00     2.079    5.2245018871446081e-01    1.6074558915763909e-03
    24.00     2.498    5.2105039814235177e-01    1.7945948184295377e-03
    28.00     2.914    5.1882079635661316e-01    1.5482309162795564e-03
    32.00     3.336    5.1792366064248907e-01    1.6084137875993693e-03
    36.00     3.755    5.1663964596761047e-01    2.2329515737887747e-03
    40.00     4.174    5.1577137821654229e-01    1.7250175615105682e-03
    44.00     4.601    5.1574215592458617e-01    1.1977973127772976e-03
    48.00     5.020    5.1537132649766348e-01    8.4454729372765392e-04
    52.00     5.438    5.1489828003788796e-01    5.4780540610577613e-04
    60.00     6.281    5.1460529643094921e-01    1.4706415095153797e-03
    64.00     6.701    5.1449409894882381e-01    5.1000658995540194e-04
    68.00     7.120    5.1431390158630497e-01    6.0532444035691138e-04
    80.00     8.384    5.1408065223991328e-01    6.8144443252733948e-04
    84.00     8.805    5.1401947269374249e-01    8.3720615828527763e-04
    92.00     9.646    5.1398004025779820e-01    1.8068978394529964e-04
    96.00    10.064    5.1396514151817330e-01    1.6428766658119857e-04
   100.00    10.483    5.1394844715290500e-01    3.2706642358692833e-04
   108.00    11.327    5.1393343053704854e-01    1.2420393501013941e-04
   112.00    11.747    5.1392597274601037e-01    1.0389882457591784e-04
   116.00    12.165    5.1391297363879085e-01    2.6381901910843612e-04
   120.00    12.583    5.1390097904155918e-01    2.1873333835831604e-04
   124.00    13.003    5.1389804043710241e-01    8.0384539320134607e-05
   128.00    13.422    5.1388607568879097e-01    1.4455160157475359e-04
   136.00    14.260    5.1388097433324931e-01    8.0345623818616708e-05
   140.00    14.678    5.1387587617345842e-01    1.6846333742765753e-04
   144.00    15.097    5.1387015845337258e-01    3.7656040535014344e-05
   152.00    15.941    5.1386640121768290e-01    4.3508639078571053e-05
   156.00    16.364    5.1386535654913201e-01    4.0700834698640135e-05
   160.00    16.786    5.1386297946546067e-01    5.4317976213017041e-05
   168.00    17.630    5.1386031176640889e-01    5.5775877055580031e-05
   172.00    18.052    5.1385929873946867e-01    3.2523773021722649e-05
   176.00    18.471    5.1385682047214576e-01    1.2061219968418751e-04
   180.00    18.893    5.1385583214888653e-01    3.3471495837401071e-05
   184.00    19.313    5.1385485436476230e-01    5.2293638092821591e-05
   188.00    19.740    5.1385422931695390e-01    4.4418762369601016e-05
   196.00    20.579    5.1385256956175451e-01    2.2872752224906103e-05
   200.00    20.999    5.1385187433031176e-01    6.6154166381178519e-05
   204.00    21.423    5.1385152175554472e-01    2.8854643727560299e-05
