    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     0.10     0.181    7.0085176662386250e-01    1.6210743158403551e-01
     0.20     0.332    6.8735565704793011e-01    1.2892934601218112e-01
     0.30     0.477    6.6402061143710089e-01    1.2047721229360703e-01
     0.40     0.621    5.6538142517281309e-01    2.7781690334913185e-02
     0.50     0.765    5.6945676876220641e-01    1.1534187783666069e-02
     0.60     0.908    5.6327827799370489e-01    2.9009368741341957e-02
     0.70     1.052    5.4620565056193637e-01    1.9607101326354001e-02
     0.80     1.197    5.4500548054908793e-01    1.1435660685463677e-02
     0.90     1.346    5.3816808879692346e-01    1.1373402144387958e-02
     1.00     1.494    5.2935761399606340e-01    1.1473721628732407e-02
     1.10     1.643    5.1906889642588916e-01    6.5414289712006678e-03
     1.20     1.795    5.1900984717652410e-01    6.5450532476523816e-03
     1.30     1.943    5.1900346596486369e-01    6.5493651179934862e-03
     1.40     2.091    5.1893274612218754e-01    6.4934263758736638e-03
     1.50     2.236    5.1419860140993712e-01    1.5609587173853637e-03
     1.60     2.380    5.1405257816492755e-01    1.0804964268598960e-03
     1.70     2.523    5.1402310809846785e-01    5.1416873728389405e-04
     1.80     2.668    5.1401716952480037e-01    5.5404150788535445e-04
     1.90     2.815    5.1395991355746518e-01    4.1106081949647603e-04
     2.00     2.963    5.1385024608037122e-01    1.7673889851240170e-04
     2.10     3.112    5.1384947342393872e-01    1.4480312717469435e-04
     2.20     3.263    5.1384944383538333e-01    1.4480837278377701e-04
     2.30     3.413    5.1384944037891178e-01    1.4480967124680231e-04
     2.40     3.561    5.1384937396434993e-01    1.4232025765910269e-04
     2.50     3.704    5.1384611713258743e-01    2.0087844689711968e-05
     2.60     3.850    5.1384607124123949e-01    8.7342765545879508e-06
     2.70     3.994    5.1384606995280835e-01    8.2977347385485824e-06
     2.80     4.141    5.1384606993616122e-01    7.9992707318300927e-06
     2.90     4.290    5.1384606264660282e-01    5.3825091554603734e-06
     3.00     4.441    5.1384604524066335e-01    8.0035921497571637e-07
     3.10     4.590    5.1384604513112286e-01    3.8027073859219454e-07
     3.20     4.742    5.1384604513110621e-01    3.8027078599219046e-07
     3.30     4.895    5.1384604513108612e-01    3.8027091912505134e-07
     3.40     5.044    5.1384604513078469e-01    3.7524545125302911e-07
     3.50     5.192    5.1384604509147513e-01    2.5544409922284686e-09
     3.60     5.337    5.1384604509148213e-01    3.8624056259132744e-10
