    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     1.00     0.686    6.3206081196423036e-01    1.4861056281843427e-01
     2.00     1.231    5.5049838759000236e-01    5.1888205477264110e-02
     3.00     1.762    5.2546537698646800e-01    4.5169956300167735e-02
     4.00     2.299    5.2010712293176520e-01    2.3141478207248361e-02
     5.00     2.832    5.1653120093547866e-01    1.1785070687717412e-02
     6.00     3.359    5.1461827140729910e-01    7.7866091009705729e-03
     7.00     3.886    5.1443960308862824e-01    9.2670125141782501e-03
     8.00     4.411    5.1395855892464970e-01    1.5812713004607173e-03
     9.00     4.949    5.1387372311160273e-01    7.2681914707644832e-04
    10.00     5.489    5.1387534715911520e-01    1.9097146077393528e-03
    11.00     6.018    5.1387629599653506e-01    2.1167411710292512e-03
    12.00     6.547    5.1385732624025937e-01    7.8474361652804408e-04
    13.00     7.078    5.1385190048597806e-01    5.4169097228033778e-04
    14.00     7.613    5.1384815942912054e-01    4.1855060068876810e-04
    15.00     8.146    5.1384804264010264e-01    6.5928195703353766e-04
    16.00     8.674    5.1384780715171907e-01    6.5581501792266598e-04
    17.00     9.185    5.1384651074799759e-01    2.6811048040077071e-04
    18.00     9.722    5.1384624987817873e-01    1.7745697079757830e-04
    19.00    10.275    5.1384608321938241e-01    2.2034257648222123e-05
    20.00    10.802    5.1384606536332456e-01    1.8805174560034810e-05
    21.00    11.350    5.1384608674277588e-01    8.3776469384488978e-05
    22.00    11.891    5.1384610852655188e-01    1.2486206423575964e-04
    23.00    12.419    5.1384605215734236e-01    2.1814741804030276e-05
    24.00    12.945    5.1384605500522040e-01    4.4987308253996867e-05
    25.00    13.468    5.1384604699006153e-01    1.1621919629563675e-05
    26.00    13.990    5.1384604558656510e-01    7.7262120140875608e-06
    27.00    14.511    5.1384604558757396e-01    8.0531798205404353e-06
    28.00    15.034    5.1384604518687493e-01    2.1445917389556866e-06
    29.00    15.555    5.1384604517881394e-01    3.9215772422040402e-06
    30.00    16.078    5.1384604520073085e-01    4.5233295629445407e-06
    31.00    16.600    5.1384604511624732e-01    2.1896036228296078e-06
    32.00    17.123    5.1384604509731935e-01    6.1172077767189733e-07
    33.00    18.009    5.1384604510786025e-01    1.9965052270672077e-06
    34.00    18.897    5.1384604509311216e-01    1.6821013932681281e-07
    35.00    19.788    5.1384604509471654e-01    7.0156701273188598e-07
    36.00    20.678    5.1384604509321619e-01    5.6625635919552037e-07
    37.00    21.579    5.1384604509183796e-01    7.1394278408215313e-08
