    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994529e-01    2.7192209455226397e-02
     0.11     0.043    6.1441493477860465e-01    1.6552044858045831e-02
     0.21     0.101    5.6885714950236899e-01    2.1108205760245538e-02
     0.30     0.151    5.4013823931117211e-01    9.8047751577905774e-03
     0.41     0.208    5.2961696619980569e-01    1.3937064652976002e-02
     0.50     0.258    5.2197585388878887e-01    1.6250220435830475e-02
     0.61     0.311    5.1886579571298397e-01    2.2251050154614054e-03
     0.71     0.364    5.1687923759712040e-01    1.9682863514801472e-03
     0.80     0.408    5.1669150791609253e-01    1.0481723403913414e-03
     0.91     0.466    5.1655711210065247e-01    1.4229766529184589e-03
     1.00     0.507    5.1645805442903081e-01    1.0709061631076519e-03
     1.11     0.556    5.1642945203475332e-01    6.2517824572935711e-04
     1.21     0.603    5.1642418647901855e-01    6.3055116202047226e-04
     1.30     0.659    5.1639172749384943e-01    4.8017339025912181e-04
     1.41     0.722    5.1630564080026531e-01    4.7615958799998690e-04
     1.51     0.786    5.1597810498354824e-01    4.8709965315545779e-04
     1.61     0.832    5.1579129177298011e-01    7.6925217321182574e-04
     1.71     0.896    5.1532988972562899e-01    9.6146098686461642e-04
     1.80     0.954    5.1507192064582241e-01    1.0335226702406243e-03
     1.91     1.017    5.1485001377378525e-01    9.3631961905535366e-04
     2.00     1.059    5.1475588244347337e-01    6.4598200797895151e-04
     2.11     1.106    5.1473503099273343e-01    5.6854830424693829e-04
     2.21     1.154    5.1471537771706843e-01    6.1698283058154264e-04
     2.30     1.200    5.1470959310983622e-01    1.3453485141638453e-03
     2.41     1.247    5.1470847095353500e-01    1.0182479874865115e-03
     2.50     1.289    5.1469920000482772e-01    7.0207024366197336e-04
     2.61     1.339    5.1469531249369738e-01    7.8743633939065195e-04
     2.71     1.402    5.1468706469514447e-01    5.2148230516514454e-04
     2.80     1.457    5.1468352204547174e-01    3.1307015618542682e-04
     2.91     1.516    5.1468135708916030e-01    2.9876275585297504e-04
     3.01     1.575    5.1467994979753384e-01    4.9597675418541504e-04
     3.11     1.618    5.1467949732207008e-01    4.5870271888870243e-04
     3.21     1.675    5.1467677776495291e-01    6.7602480113615178e-04
     3.30     1.723    5.1467446232231984e-01    7.7467088815275499e-04
     3.41     1.775    5.1467025890712692e-01    7.5158445309703582e-04
     3.50     1.817    5.1466685579807014e-01    3.8921330061252735e-04
     3.61     1.870    5.1466577903938793e-01    4.2271237719096461e-04
     3.71     1.918    5.1466326080378844e-01    3.8150163398186556e-04
     3.80     1.960    5.1466185388691732e-01    3.0665442313060825e-04
     3.91     2.011    5.1466016181076657e-01    3.2812668858985921e-04
     4.00     2.065    5.1465499942494897e-01    3.1452624123916144e-04
     4.11     2.129    5.1464846317435531e-01    2.7657664945730012e-04
     4.21     2.190    5.1464010527521353e-01    2.7030122542633366e-04
     4.30     2.248    5.1462639548350886e-01    2.5845042868150806e-04
     4.41     2.305    5.1460866049186493e-01    2.4109321497507637e-04
     4.50     2.360    5.1459014927125668e-01    3.8689015071035222e-04
     4.61     2.417    5.1457772260146628e-01    4.4416990887509265e-04
     4.71     2.476    5.1455622672705792e-01    4.5910048828888490e-04
     4.80     2.534    5.1453319399015240e-01    3.8221309443929358e-04
     4.91     2.596    5.1450086919433602e-01    4.5576333705494622e-04
     5.00     2.644    5.1447192236723205e-01    4.4850455808605812e-04
     5.11     2.709    5.1443600313355797e-01    2.0523265312834155e-04
     5.21     2.764    5.1440403837055670e-01    6.6404711416726220e-04
     5.30     2.813    5.1439631739147007e-01    6.1508759783688454e-04
     5.41     2.864    5.1438806190122122e-01    5.9383475651501676e-04
     5.51     2.922    5.1437234516437602e-01    5.2408413822069820e-04
     5.61     2.970    5.1435494873213072e-01    4.3693523374649325e-04
     5.71     3.027    5.1433779487066866e-01    3.5322241374536987e-04
     5.80     3.083    5.1430485462849518e-01    2.6258885147491256e-04
     5.91     3.151    5.1427377102955929e-01    3.6450863293164680e-04
     6.01     3.210    5.1423839842332186e-01    4.8635099035345964e-04
     6.11     3.262    5.1419874810195887e-01    7.0325671580578463e-04
     6.21     3.323    5.1415350210086230e-01    5.9467412678440264e-04
     6.30     3.374    5.1411292415346321e-01    4.9677585581562645e-04
     6.41     3.441    5.1407488159261994e-01    3.1644157351746690e-04
     6.51     3.502    5.1405471415769821e-01    2.2244275228290415e-04
     6.61     3.559    5.1403458299914617e-01    2.1518671225385772e-04
     6.71     3.627    5.1400673373923689e-01    2.5191376019479669e-04
     6.80     3.676    5.1398424201265258e-01    4.1139138561990785e-04
     6.91     3.736    5.1396121524336036e-01    4.3171964080658190e-04
     7.00     3.795    5.1394609212340503e-01    3.5717548638901364e-04
     7.11     3.855    5.1393443639365688e-01    3.5360719390374362e-04
     7.21     3.923    5.1393302420463438e-01    7.6849677064919682e-04
     7.30     3.974    5.1393120419210236e-01    4.6706267412876856e-04
