    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     1.00     0.638    5.1947644816500393e-01    2.5898710693931626e-02
     2.00     1.276    5.1624726175069102e-01    1.2029005567258768e-02
     3.00     1.913    5.1532630923507694e-01    8.0480638782594403e-03
     4.00     2.549    5.1505662079519077e-01    5.2233328805686508e-03
     5.00     3.172    5.1499277579113512e-01    8.4232065387764878e-03
     6.00     3.795    5.1497517227893319e-01    6.8579990538760417e-03
     7.00     4.419    5.1569522388902811e-01    1.8267052690350331e-02
     8.00     5.043    5.1444789787934098e-01    1.6638530448087972e-03
     9.00     5.666    5.1450922324931847e-01    5.8057147438618541e-03
    10.00     6.298    5.1443475635363123e-01    2.9714502513804308e-03
    11.00     6.928    5.1442845661735548e-01    4.0864886421010278e-03
    12.00     7.559    5.1452999778334063e-01    7.9069777034090800e-03
    13.00     8.188    5.1443941907194468e-01    6.2839140231706813e-03
    14.00     8.819    5.1432132472089875e-01    3.4609982394538151e-03
    15.00     9.451    5.1428531608238992e-01    3.9038940042909393e-03
    16.00    10.082    5.1422460562862271e-01    2.0697049668582800e-03
    17.00    10.706    5.1418692599632021e-01    1.0357879726981042e-03
    18.00    11.330    5.1424183123938727e-01    4.2970859768372092e-03
    19.00    11.953    5.1423174324025611e-01    4.1664173747924162e-03
    20.00    12.578    5.1416995723920789e-01    2.2044948777823884e-03
    21.00    13.203    5.1417132894369444e-01    1.6046722936393198e-03
    22.00    13.826    5.1427078572727025e-01    5.4448045778560635e-03
    23.00    14.450    5.1416880466675530e-01    2.7992505947410000e-03
    24.00    15.074    5.1412815510039866e-01    5.8038921322715918e-04
    25.00    15.699    5.1413698223134918e-01    1.4593661152452319e-03
    26.00    16.323    5.1420715148129137e-01    5.0534234791443896e-03
    27.00    16.946    5.1412485050887979e-01    1.6355488802545924e-03
    28.00    17.569    5.1411195357228590e-01    9.2009919252236455e-04
    29.00    18.192    5.1413605271769114e-01    3.4108795199199152e-03
    30.00    18.817    5.1413412553753768e-01    2.7121624876147170e-03
    31.00    19.443    5.1413908960443011e-01    3.5061808789991931e-03
    32.00    20.066    5.1410501335253878e-01    2.1584734871698780e-03
    33.00    20.700    5.1428569124223600e-01    7.3651766902400381e-03
    34.00    21.334    5.1415275650336123e-01    3.2974418431055740e-03
    35.00    21.968    5.1415200865999511e-01    4.5162477890574758e-03
