    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.0414937644370725e-02
     4.00     1.613    4.6096943114399319e-01    1.8747326331599627e-03
     8.00     3.248    4.5477611091907311e-01    1.0680480725652481e-03
    12.00     4.930    4.5453539440378460e-01    1.0306783691801536e-03
    16.00     6.673    4.5405431058580792e-01    4.9023867435195746e-04
    20.00     8.294    4.5398310505519535e-01    2.4090036802809587e-04
    24.00     9.961    4.5396815206798447e-01    1.3664083756663510e-04
    28.00    11.608    4.5396273119109809e-01    1.1213327078642866e-04
    32.00    13.254    4.5395901485997925e-01    1.4875826991419934e-04
    36.00    14.928    4.5395327086218323e-01    1.4582644051560248e-04
    40.00    16.567    4.5394843789169620e-01    8.7673268679041728e-05
    44.00    18.184    4.5394610832214671e-01    9.3730997307534799e-05
    48.00    19.790    4.5394299025295054e-01    7.7940444168515081e-05
    52.00    21.455    4.5394124478757875e-01    8.6106118310536639e-05
    56.00    23.106    4.5393456207759464e-01    5.4278440324028606e-05
    60.00    24.748    4.5393406011744430e-01    4.9577790480045675e-05
    64.00    26.461    4.5393199064600825e-01    5.0941709334348684e-05
    68.00    28.088    4.5393157879949031e-01    3.8225191291887625e-05
    72.00    29.716    4.5392907798663434e-01    4.5642255349554531e-05
    76.00    31.346    4.5392882873272850e-01    3.8323730812843352e-05
    80.00    32.969    4.5392732289481558e-01    3.2096655709200579e-05
    84.00    34.604    4.5392714601997941e-01    2.2103224573182511e-05
    88.00    36.238    4.5392640026869552e-01    3.1210342354979307e-05
    92.00    37.861    4.5392629986404609e-01    2.1196799441417875e-05
    96.00    39.483    4.5392551155372973e-01    2.2223911117433768e-05
   100.00    41.116    4.5392543079490033e-01    1.4318805081295396e-05
   104.00    42.750    4.5392504165104730e-01    1.5513373978470498e-05
   108.00    44.419    4.5392494520089016e-01    1.2778743015785900e-05
   112.00    46.088    4.5392461468083867e-01    1.4143458437341916e-05
   116.00    47.724    4.5392444322859826e-01    1.1470637922648174e-05
   120.00    49.342    4.5392423798397280e-01    1.1724914230062092e-05
   124.00    50.955    4.5392410053408361e-01    8.0587916782337603e-06
   128.00    52.559    4.5392401200819310e-01    8.9044689487614704e-06
   132.00    54.171    4.5392388527580507e-01    9.4955578330088871e-06
   136.00    55.776    4.5392381916506236e-01    8.9192723999341052e-06
   140.00    57.388    4.5392370279189637e-01    8.7405514605897199e-06
   144.00    59.017    4.5392365852636002e-01    7.8119893480133753e-06
   148.00    60.637    4.5392354635485033e-01    7.5908379079965747e-06
   152.00    62.247    4.5392352427386073e-01    6.2822997827635606e-06
   156.00    63.862    4.5392344527702666e-01    9.2167644550160427e-06
   160.00    65.472    4.5392343241471550e-01    5.2246340981075949e-06
   164.00    67.133    4.5392336128646943e-01    5.6231994041304352e-06
   168.00    68.749    4.5392335163502034e-01    4.5307338866138592e-06
   172.00    70.364    4.5392326795285309e-01    6.4369721666678147e-06
   176.00    72.023    4.5392325890055302e-01    4.8353797702878146e-06
   180.00    73.660    4.5392318892541622e-01    7.5020669247580771e-06
   184.00    75.286    4.5392316259215310e-01    5.6126159395328419e-06
   188.00    76.904    4.5392310789138351e-01    6.4342034499500358e-06
   192.00    78.523    4.5392305455975190e-01    6.2203593765883260e-06
   196.00    80.132    4.5392302567880205e-01    5.2427603572142452e-06
   200.00    81.744    4.5392294723170845e-01    4.6305466520842182e-06
   204.00    83.353    4.5392293551566532e-01    3.3621739944462192e-06
   208.00    84.975    4.5392287544069349e-01    4.4459492417462702e-06
   212.00    86.602    4.5392287115479646e-01    3.5823217723093303e-06
   216.00    88.292    4.5392283236804221e-01    3.0940762777461504e-06
   220.00    89.929    4.5392282792938227e-01    2.4150234717960245e-06
   224.00    91.562    4.5392280645867000e-01    3.7416945348325897e-06
   228.00    93.198    4.5392280032701871e-01    2.8229621669182982e-06
   232.00    94.824    4.5392278415963955e-01    3.4393857383227363e-06
   236.00    96.459    4.5392277394040148e-01    3.3022740015599143e-06
   240.00    98.096    4.5392276328228015e-01    2.4620536867346287e-06
   244.00    99.728    4.5392275051990238e-01    2.7419425717547287e-06
   248.00   101.364    4.5392274445141273e-01    2.3227092652528667e-06
   252.00   102.995    4.5392272337144662e-01    2.4407872010858875e-06
   256.00   104.634    4.5392272119710331e-01    2.6301926020156547e-06
   260.00   106.270    4.5392270489060366e-01    2.1804328987835436e-06
   264.00   107.958    4.5392270324890038e-01    1.9195764064182415e-06
   268.00   109.591    4.5392268524686225e-01    3.1405797476543926e-06
   272.00   111.225    4.5392268060317986e-01    1.9344009749282952e-06
   276.00   112.863    4.5392267353470478e-01    1.4772785446542812e-06
   280.00   114.504    4.5392266842419748e-01    1.5555858215924025e-06
   284.00   116.137    4.5392266514143359e-01    1.8213916543310910e-06
   288.00   117.770    4.5392265912013557e-01    1.5467046567315958e-06
   292.00   119.393    4.5392265830359690e-01    1.2444744929510928e-06
   296.00   121.021    4.5392265514037661e-01    1.0148585293826338e-06
   300.00   122.644    4.5392265486903310e-01    1.0913831590766121e-06
   304.00   124.267    4.5392265264909931e-01    8.0356674561549976e-07
   308.00   125.898    4.5392265247176439e-01    5.5313171250788137e-07
   312.00   127.534    4.5392265128219517e-01    6.9633390286352252e-07
   316.00   129.211    4.5392265100949397e-01    4.9875322783863117e-07
   320.00   130.847    4.5392265052307812e-01    5.8708454009900925e-07
   324.00   132.481    4.5392265014556604e-01    4.6489489828498371e-07
   328.00   134.115    4.5392264987287634e-01    3.5979148644811512e-07
   332.00   135.745    4.5392264926792697e-01    3.6264447461275062e-07
   336.00   137.379    4.5392264918267561e-01    2.5290881275011479e-07
   340.00   139.008    4.5392264870656185e-01    4.3748398202368602e-07
   344.00   140.636    4.5392264866231802e-01    2.9108670463158054e-07
   348.00   142.265    4.5392264819129347e-01    5.6675624076028343e-07
   352.00   143.900    4.5392264811863908e-01    3.9604399020905939e-07
   356.00   145.529    4.5392264769972029e-01    6.8802161961605308e-07
   360.00   147.173    4.5392264741214561e-01    3.1928206208906525e-07
   364.00   148.797    4.5392264720243125e-01    4.0855561876809677e-07
   368.00   150.429    4.5392264679544403e-01    2.9908964887356986e-07
   372.00   152.069    4.5392264670405591e-01    2.8404480358923111e-07
   376.00   153.703    4.5392264619774492e-01    3.8952134315770251e-07
   380.00   155.337    4.5392264615285322e-01    3.1017049166437030e-07
   384.00   156.959    4.5392264563087070e-01    6.3784635175840170e-07
   388.00   158.581    4.5392264554016937e-01    2.7362784063516290e-07
   392.00   160.199    4.5392264520124687e-01    5.8048886320411518e-07
   396.00   161.831    4.5392264502246049e-01    2.5791795024623782e-07
   400.00   163.461    4.5392264486975675e-01    3.7054251905597947e-07
   404.00   165.089    4.5392264462581805e-01    2.6628973364896977e-07
   408.00   166.701    4.5392264456517067e-01    1.9007680984576185e-07
   412.00   168.319    4.5392264433221269e-01    2.9319408185530806e-07
   416.00   169.983    4.5392264431061868e-01    2.2520903110048105e-07
   420.00   171.604    4.5392264412542416e-01    3.8824487257870951e-07
   424.00   173.217    4.5392264411021632e-01    1.4226419090273768e-07
   428.00   174.837    4.5392264401995952e-01    3.5143555608949533e-07
   432.00   176.465    4.5392264399985527e-01    1.2847022998290351e-07
   436.00   178.083    4.5392264395735887e-01    2.6657619187235404e-07
   440.00   179.705    4.5392264392725412e-01    1.1733799448005030e-07
   444.00   181.318    4.5392264391296094e-01    1.3884183456701706e-07
   448.00   182.930    4.5392264388218251e-01    1.0625823946018791e-07
   452.00   184.543    4.5392264387569775e-01    1.0600782595956041e-07
   456.00   186.157    4.5392264384415820e-01    8.9062299394513278e-08
   460.00   187.767    4.5392264384225589e-01    8.3778996710019794e-08
   464.00   189.412    4.5392264382519604e-01    1.0235899844194283e-07
   468.00   191.128    4.5392264382327313e-01    6.6551092548655627e-08
   472.00   192.736    4.5392264381081310e-01    1.1156323263696086e-07
   476.00   194.357    4.5392264380586500e-01    5.4308921022823850e-08
   480.00   195.975    4.5392264379888947e-01    8.3464699190479810e-08
   484.00   197.582    4.5392264378863262e-01    5.4641878632743976e-08
   488.00   199.190    4.5392264378561514e-01    5.1299260645639553e-08
   492.00   200.809    4.5392264377397135e-01    6.9259833366304244e-08
   496.00   202.414    4.5392264377243402e-01    6.7704006228902585e-08
   500.00   204.005    4.5392264375231045e-01    1.2533040456439810e-07
   504.00   205.630    4.5392264374894753e-01    7.1828900487792479e-08
   508.00   207.227    4.5392264373118579e-01    1.4568454178119048e-07
   512.00   208.850    4.5392264371774188e-01    7.8276854613922591e-08
   516.00   210.477    4.5392264370584606e-01    9.4935660353564385e-08
   520.00   212.121    4.5392264367986435e-01    8.0558208023312291e-08
   524.00   213.780    4.5392264367636942e-01    7.4248723402861251e-08
   528.00   215.458    4.5392264365216672e-01    1.0145364919351635e-07
