    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.0414937644370725e-02
     1.00     5.225    5.2028039612120092e-01    5.7622978568002744e-03
     2.00     9.092    5.0348875118314462e-01    5.4514528293549318e-03
     3.00    12.942    4.8408032606103119e-01    6.3625105771599752e-03
     4.00    16.788    4.6734417866294653e-01    3.2273684359467470e-03
     5.00    20.657    4.6302737804429395e-01    2.7025313859772738e-03
     6.00    24.523    4.5976629115364959e-01    2.8591073118570016e-03
     7.00    28.370    4.5750520267360045e-01    2.6164833601770849e-03
     8.00    32.238    4.5609890319965923e-01    2.5579761271923552e-03
     9.00    36.080    4.5524601887482252e-01    1.9537930855452034e-03
    10.00    39.932    4.5490780428781974e-01    1.7736803970543060e-03
    11.00    43.792    4.5466336199418977e-01    1.6559825781583121e-03
    12.00    47.666    4.5441881866159656e-01    1.5052886099345012e-03
    13.00    51.530    4.5421610645469851e-01    1.1267140779585292e-03
    14.00    55.395    4.5410790028803055e-01    8.6605948084654831e-04
    15.00    59.289    4.5400481732283765e-01    4.0887609587506989e-04
    16.00    63.184    4.5398009176592802e-01    2.6644136848325792e-04
    17.00    67.078    4.5395245088196218e-01    2.1196161251452539e-04
    18.00    70.958    4.5394017051331659e-01    1.0540573674974864e-04
    19.00    74.825    4.5393437601913028e-01    1.1768168102883809e-04
    20.00    78.702    4.5393031581974153e-01    9.4903102668032166e-05
    21.00    82.570    4.5392590792165244e-01    4.8716725438756842e-05
    22.00    86.418    4.5392524656892697e-01    3.1551624619488168e-05
    23.00    90.288    4.5392427716535638e-01    3.8250793348510165e-05
    24.00    94.206    4.5392356631121394e-01    2.9087907492897822e-05
    25.00    98.128    4.5392328126913889e-01    2.8143234213605651e-05
    26.00   102.011    4.5392299519414664e-01    1.8853458413715754e-05
    27.00   105.906    4.5392289349958542e-01    2.4916453901487993e-05
    28.00   109.795    4.5392278251352686e-01    1.7222539753126172e-05
    29.00   113.676    4.5392271760042130e-01    1.1918758417078793e-05
    30.00   117.574    4.5392268616664361e-01    5.9731156408573215e-06
    31.00   121.444    4.5392266543730397e-01    3.5240127896297480e-06
    32.00   125.307    4.5392265713092800e-01    3.0567337609132294e-06
    33.00   129.191    4.5392265186814595e-01    3.1133419078642468e-06
    34.00   133.059    4.5392264918058794e-01    3.0096141835093822e-06
    35.00   136.943    4.5392264693873252e-01    2.0795821472402940e-06
    36.00   140.834    4.5392264584907022e-01    1.5796998395002865e-06
    37.00   144.735    4.5392264500037877e-01    1.6549762581057005e-06
    38.00   148.597    4.5392264428697304e-01    5.9152471788008211e-07
    39.00   152.481    4.5392264403439669e-01    5.5632734684614818e-07
    40.00   156.329    4.5392264387835757e-01    4.4616255417540598e-07
    41.00   160.171    4.5392264376982100e-01    2.6352591907816806e-07
    42.00   164.016    4.5392264371069535e-01    2.0867342959349396e-07
    43.00   167.874    4.5392264367819107e-01    1.6339686964377367e-07
    44.00   171.726    4.5392264365563623e-01    1.2567314467889400e-07
    45.00   175.599    4.5392264364944246e-01    1.0268684347365922e-07
    46.00   179.480    4.5392264364028589e-01    9.3667461890353725e-08
    47.00   183.322    4.5392264363667678e-01    6.0561978677373700e-08
    48.00   187.206    4.5392264363488483e-01    4.5977165845571397e-08
    49.00   191.059    4.5392264363277207e-01    2.1604065873771816e-08
    50.00   194.921    4.5392264363219487e-01    2.9280439197939965e-08
    51.00   198.778    4.5392264363174761e-01    2.8872183487325051e-08
    52.00   202.652    4.5392264363135637e-01    1.5188536860060558e-08
    53.00   206.511    4.5392264363120421e-01    1.2255847227908642e-08
    54.00   210.374    4.5392264363107904e-01    8.2002660583725272e-09
    55.00   214.238    4.5392264363103840e-01    5.2544254426928579e-09
    56.00   218.095    4.5392264363099416e-01    8.7649576410332132e-09
    57.00   221.972    4.5392264363098589e-01    7.4549008865247376e-09
    58.00   225.828    4.5392264363093676e-01    4.6565967104447852e-09
    59.00   229.688    4.5392264363094975e-01    3.5214127367609385e-09
    60.00   233.559    4.5392264363095053e-01    1.7502361943779230e-09
    61.00   237.426    4.5392264363094709e-01    1.8925914859054276e-09
    62.00   241.315    4.5392264363094653e-01    9.7763832581968287e-10
