    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.0414937644370725e-02
     1.00     5.972    4.5750631245340334e-01    9.3358259673183926e-04
     2.00    11.661    4.5706983392644873e-01    2.3437660623868667e-03
     3.00    17.541    4.5586585420753706e-01    1.3258888617088780e-03
     4.00    23.249    4.5550568634785821e-01    1.1950974187359329e-03
     5.00    29.019    4.5516724220900401e-01    6.7115464946764880e-04
     6.00    34.723    4.5504103643215726e-01    6.1334754905144752e-04
     7.00    40.380    4.5488394717015879e-01    6.1928877087011607e-04
     8.00    46.034    4.5474340835721438e-01    4.6374767324897049e-04
     9.00    51.818    4.5473572886815150e-01    1.2207883781375829e-03
    10.00    57.538    4.5469740432253891e-01    1.0706376849880590e-03
    11.00    63.240    4.5457202122991530e-01    1.0204012307761844e-03
    12.00    69.002    4.5457920538480862e-01    1.1004083294946674e-03
    13.00    74.691    4.5465760848028092e-01    1.4350424969512099e-03
    14.00    80.467    4.5445940417219594e-01    5.9640360886119986e-04
    15.00    86.210    4.5451538222828225e-01    9.2259740771590698e-04
    16.00    91.930    4.5440857001390328e-01    7.9109676527884033e-04
    17.00    97.784    4.5436434639781287e-01    4.5401956005329671e-04
    18.00   103.516    4.5434945064031207e-01    4.8766506203666446e-04
    19.00   109.320    4.5436738661862963e-01    6.9400437540470062e-04
    20.00   115.169    4.5436689530403712e-01    7.2931236540665770e-04
    21.00   120.962    4.5436951655963898e-01    6.0677267177396826e-04
    22.00   126.691    4.5428505290305993e-01    3.3552712369025993e-04
    23.00   132.614    4.5425325915709025e-01    5.7477333801069018e-04
    24.00   138.458    4.5421482500010568e-01    3.0783566706200026e-04
    25.00   144.268    4.5421963218174943e-01    3.2132497897404875e-04
    26.00   149.971    4.5425741384665830e-01    6.7598964372281626e-04
    27.00   155.875    4.5419535628719548e-01    5.4769111254659509e-04
    28.00   161.865    4.5422626383220893e-01    7.7811889938536583e-04
    29.00   167.731    4.5417948250354878e-01    5.3980484399680372e-04
    30.00   173.462    4.5417641079419013e-01    3.3965780565555750e-04
    31.00   179.380    4.5420461084268859e-01    5.3250584177007006e-04
    32.00   185.086    4.5414960128475568e-01    4.6065174066594569e-04
    33.00   190.758    4.5420248053440410e-01    6.1574873997482485e-04
    34.00   196.429    4.5419059574625537e-01    5.0842604100674810e-04
    35.00   202.139    4.5416069254370872e-01    3.5569065604345147e-04
    36.00   207.950    4.5414245197937647e-01    4.3344702485439155e-04
    37.00   213.970    4.5415942552107874e-01    3.9120247943979770e-04
    38.00   220.032    4.5412083901199252e-01    3.4295600394880510e-04
    39.00   225.740    4.5412877875913649e-01    5.2585652478786854e-04
    40.00   231.412    4.5413169891544308e-01    4.8497391439743216e-04
    41.00   237.079    4.5413908035928102e-01    4.9610923977053329e-04
    42.00   242.835    4.5411659892660400e-01    3.6742611507900065e-04
    43.00   248.609    4.5408764496264492e-01    2.6373248845850506e-04
    44.00   254.296    4.5410236750314220e-01    4.6240936128052833e-04
    45.00   260.349    4.5409249306059113e-01    3.4028163586640982e-04
    46.00   266.575    4.5410104813003188e-01    4.2716025699770274e-04
    47.00   272.322    4.5411073146141412e-01    5.4917816599009623e-04
    48.00   278.061    4.5407635045358863e-01    2.7643619216172205e-04
    49.00   283.954    4.5409017901798387e-01    3.4516145009271410e-04
    50.00   289.833    4.5407893409823519e-01    3.6762819606870592e-04
    51.00   295.602    4.5409167272273060e-01    4.8080540067139363e-04
    52.00   301.462    4.5408324279159190e-01    3.5138858746338621e-04
    53.00   307.284    4.5407307505163036e-01    4.4757707993152462e-04
    54.00   312.958    4.5408414102662797e-01    3.8166099513465792e-04
    55.00   318.613    4.5409102310456362e-01    3.7281310367888091e-04
    56.00   324.431    4.5410996293043465e-01    6.2029795985266947e-04
    57.00   330.283    4.5407209947948435e-01    2.7960415443150282e-04
    58.00   336.214    4.5407797541685835e-01    4.3474523240380448e-04
    59.00   341.984    4.5406806348383438e-01    2.8763166269434075e-04
    60.00   347.834    4.5407504331899623e-01    4.5096599838994722e-04
    61.00   353.554    4.5405718330174477e-01    3.5904067839916587e-04
    62.00   359.273    4.5405204016596323e-01    2.5628796148734082e-04
    63.00   364.935    4.5406984808531137e-01    4.9023276664601344e-04
    64.00   370.660    4.5405178594360479e-01    2.6658766184344603e-04
    65.00   376.439    4.5405025970373980e-01    3.5665589909569725e-04
    66.00   382.149    4.5404275661282983e-01    2.9536346261450669e-04
    67.00   387.882    4.5403417057209094e-01    2.9276348426114554e-04
