    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.0414937644370725e-02
     0.10     6.654    4.5867782605900981e-01    1.1668961196555794e-03
     0.20    13.302    4.5578413179630822e-01    6.9955616884044840e-04
     0.30    19.984    4.5504153513706130e-01    6.7245747323922201e-04
     0.40    26.709    4.5464060234653580e-01    5.1356025738153669e-04
     0.50    33.514    4.5441440966647856e-01    3.5286954418099298e-04
     0.60    40.312    4.5422352235828195e-01    2.6730964310879790e-04
     0.70    47.085    4.5412331229710801e-01    2.1890064931921348e-04
     0.80    53.810    4.5404972372931468e-01    1.6652918465389423e-04
     0.90    60.469    4.5398766639408905e-01    1.3634484064734193e-04
     1.00    67.012    4.5392843846886266e-01    4.9334211746857081e-05
     1.10    73.557    4.5392304902794461e-01    1.4632543785026077e-05
     1.20    80.126    4.5392277343996718e-01    8.6318359076283595e-06
     1.30    86.789    4.5392269565278576e-01    5.4987454541821192e-06
     1.40    93.472    4.5392266529775471e-01    3.5009173883783986e-06
     1.50   100.238    4.5392265228566420e-01    2.2593607685307262e-06
     1.60   107.074    4.5392264672519278e-01    1.3338345026272773e-06
     1.70   113.866    4.5392264464088167e-01    7.4381447367514864e-07
     1.80   120.608    4.5392264385962799e-01    3.5999510238958662e-07
     1.90   127.284    4.5392264365695134e-01    1.1467395083259325e-07
     2.00   133.831    4.5392264363107726e-01    8.5740076532361038e-09
     2.10   140.390    4.5392264363094287e-01    2.0929216961814572e-09
     2.20   147.017    4.5392264363093709e-01    8.0082679405896326e-10
