    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059996938e-01    4.9709588888888889e-01
    28.00   650.030    1.7529642587930681e-02    7.0980786493558313e-04
    32.00   743.508    1.6178332167554640e-02    1.5372324854852630e-03
    36.00   836.994    1.3679235675238313e-02    8.4111239630091426e-04
    40.00   930.498    1.3300275892222602e-02    6.7725850754426467e-04
    44.00  1024.000    1.2197930888733464e-02    2.3384834146842503e-04
    48.00  1117.491    1.2180166764088705e-02    1.8743167591943677e-04
    52.00  1211.024    1.2087249276709705e-02    2.1595929539834042e-04
    56.00  1304.625    1.1873523075457715e-02    1.3625827612741739e-04
    60.00  1398.235    1.1869414441590778e-02    1.3933527079782948e-04
    64.00  1491.734    1.1805769155539433e-02    1.0091624115782954e-04
    68.00  1585.240    1.1792288827908559e-02    1.0101004807408673e-04
    72.00  1678.757    1.1776939369372335e-02    9.6298694002414759e-05
    76.00  1772.276    1.1763399431101360e-02    7.0934953027495241e-05
    80.00  1866.489    1.1760331653869702e-02    7.0570558491467940e-05
    84.00  1960.070    1.1742241138947023e-02    5.4040582171523870e-05
    88.00  2053.455    1.1741693883181690e-02    5.4938970568384276e-05
    92.00  2146.856    1.1735295795517766e-02    5.1857743570255107e-05
    96.00  2240.240    1.1728869700697597e-02    3.6759774656004956e-05
   100.00  2333.636    1.1728304305036760e-02    3.7269594378009212e-05
   104.00  2427.033    1.1721012255321772e-02    3.3498094634280545e-05
   108.00  2520.558    1.1720222356650501e-02    3.3701645288921779e-05
   112.00  2613.973    1.1719247280435118e-02    3.0114297776819089e-05
   116.00  2707.466    1.1715803058958441e-02    1.9855025508241809e-05
   120.00  2800.886    1.1715715785696112e-02    2.1457700708238104e-05
   124.00  2894.296    1.1714064622822038e-02    1.7066214868545383e-05
   128.00  2987.742    1.1713412374068987e-02    9.7764857942186432e-06
   132.00  3081.234    1.1713315511713202e-02    1.0108291340278166e-05
   136.00  3174.760    1.1712654111288391e-02    4.0229829738907926e-06
   140.00  3268.291    1.1712635647087064e-02    4.0092075940830794e-06
   144.00  3361.857    1.1712554369638391e-02    3.1078944585211967e-06
   148.00  3455.441    1.1712470688295786e-02    2.1168343967483282e-06
   152.00  3549.008    1.1712467338374737e-02    2.0915068012487408e-06
   156.00  3642.597    1.1712425392823061e-02    1.3146807131053606e-06
   160.00  3736.155    1.1712421055825107e-02    1.1167665703514682e-06
   164.00  3829.725    1.1712418794088022e-02    1.2127708799271419e-06
   168.00  3923.291    1.1712411196953876e-02    7.4312773230866711e-07
   172.00  4016.857    1.1712411103982101e-02    7.4583969847463261e-07
   176.00  4110.427    1.1712409342879098e-02    5.7613183991736015e-07
   180.00  4203.992    1.1712408281378409e-02    3.9506980457898686e-07
   184.00  4297.577    1.1712408217983588e-02    4.1609815480187916e-07
   188.00  4391.140    1.1712407454258207e-02    1.9740815975091907e-07
   192.00  4484.723    1.1712407382196930e-02    1.5179915034586288e-07
   196.00  4578.289    1.1712407338027843e-02    1.5837357182167939e-07
   200.00  4671.855    1.1712407204770814e-02    5.5292389947030366e-08
   204.00  4765.500    1.1712407202740619e-02    5.2313469797370533e-08
   208.00  4859.020    1.1712407167110195e-02    3.7990592663526510e-08
   212.00  4952.439    1.1712407155358363e-02    2.0714432925208412e-08
   216.00  5045.867    1.1712407154057799e-02    2.2652257155301832e-08
   220.00  5139.437    1.1712407145935690e-02    1.1253652931101587e-08
   224.00  5232.865    1.1712407145760443e-02    9.9270738181239380e-09
   228.00  5326.277    1.1712407145053316e-02    8.0012395797503442e-09
   232.00  5419.742    1.1712407144179123e-02    3.9328169506657943e-09
   236.00  5513.186    1.1712407144166010e-02    4.1868199233524537e-09
   240.00  5606.770    1.1712407143930549e-02    3.2824350385527697e-09
   244.00  5700.243    1.1712407143882060e-02    2.2029337709596528e-09
   248.00  5793.668    1.1712407143873130e-02    2.0637942512811631e-09
   252.00  5887.136    1.1712407143826290e-02    9.8795044718863832e-10
