    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059996938e-01    4.9709588888888889e-01
     2.00   101.902    1.3429469976967873e-01    1.1773902543768978e-01
     3.00   181.113    5.3183807089338182e-02    4.0407123000916222e-02
     4.00   238.275    2.6931568133616961e-02    1.1826889782754688e-02
     5.00   317.072    2.1026430528215234e-02    3.7028975553355208e-03
     6.00   461.086    1.5743660909680615e-02    3.3175598594025733e-03
     7.00   561.670    1.3110683261613378e-02    1.8986841517538565e-03
     8.00   683.935    1.2057772677385665e-02    6.4102423238899837e-04
     9.00   893.139    1.1761142066331253e-02    1.8372833940617447e-04
    10.00  1167.502    1.1715102756293687e-02    3.2840426572024588e-05
    11.00  1550.478    1.1712437379362216e-02    2.2339576703277455e-06
    12.00  2020.451    1.1712407150232926e-02    2.7868654733103841e-08
    13.00  2642.538    1.1712407143814678e-02    6.0906328785807157e-12
