epoch opt_elaps                   f          norm_g
0.00      0.00   0.6931471805999694    4.970959e-01
0.10    755.03   0.0125791270236173    9.311858e-04
0.20   1510.35   0.0121982003672077    7.055569e-04
0.30   2266.15   0.0120473242963115    5.993531e-04
0.40   3024.43   0.0119680509488854    5.148848e-04
0.50   3795.46   0.0119130653695769    4.568825e-04
0.60   4578.00   0.0118765989996286    3.913440e-04
0.70   5361.05   0.0118508034638101    3.589983e-04
0.80   6143.93   0.0118300416627539    3.313746e-04
0.90   6926.61   0.0118143475950651    3.124982e-04
1.00   7707.45   0.0118010944522376    2.987378e-04
1.10   8461.88   0.0117280319719342    1.519672e-04
1.20   9217.24   0.0117212507165577    1.132308e-04
1.30   9973.05   0.0117179953672181    8.857959e-05
1.40  10731.30   0.0117160231757553    7.006870e-05
1.50  11502.24   0.0117147315099825    5.519961e-05
1.60  12284.73   0.0117138596864998    4.292050e-05
1.70  13067.82   0.0117132533607153    3.213775e-05
1.80  13850.67   0.0117128376544682    2.237384e-05
1.90  14633.35   0.0117125726757246    1.348646e-05
2.00  15414.25   0.0117124359174638    5.143374e-06
2.10  16168.69   0.0117124162695644    2.703023e-06
2.20  16924.07   0.0117124109516975    1.670088e-06
2.30  17679.85   0.0117124087594137    1.043178e-06
2.40  18438.17   0.0117124077912097    6.363375e-07
2.50  19209.14   0.0117124073803501    3.712971e-07
2.60  19991.63   0.0117124072194374    2.026080e-07
2.70  20774.74   0.0117124071628759    9.860421e-08
2.80  21557.58   0.0117124071471175    4.072337e-08
2.90  22340.25   0.0117124071441610    1.429273e-08
3.00  23121.17   0.0117124071438483    6.187103e-09
3.10  23875.60   0.0117124071438264    4.756145e-09
