    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059996938e-01    4.9709588888888889e-01
     1.00   924.795    2.9869497963353681e-01    1.0081971568106385e-02
     2.00  1533.219    1.8441634550021960e-01    2.9039864155485395e-03
     3.00  2141.578    6.0905878777208197e-02    2.3936551451093318e-03
     4.00  2749.857    4.0383275921202638e-02    2.4136816304810437e-03
     5.00  3358.221    2.0842866075697786e-02    1.2068453214453064e-03
     6.00  3966.540    1.5736211712931703e-02    5.8345217577978194e-04
     7.00  4574.921    1.4395882907243827e-02    9.4881829167327379e-04
     8.00  5183.211    1.2754410253698690e-02    2.8051868279525220e-04
     9.00  5791.591    1.2294451500392028e-02    1.3795814344329271e-04
    10.00  6399.924    1.1972384182414758e-02    1.6851796639153288e-04
    11.00  7008.535    1.1892496812839312e-02    6.9532618668581545e-05
    12.00  7616.802    1.1797711539839941e-02    1.2766734043246516e-04
    13.00  8225.145    1.1765240303102772e-02    1.4269143670492336e-04
    14.00  8833.372    1.1737165679521122e-02    2.3443317720935887e-05
    15.00  9441.516    1.1727691452084649e-02    5.8840643425678615e-05
    16.00 10049.745    1.1719864797886214e-02    5.0448175060703688e-05
    17.00 10657.802    1.1717931418498776e-02    7.5031680828668948e-05
    18.00 11265.786    1.1715800842928257e-02    5.1056959133948988e-05
    19.00 11873.946    1.1713777400188835e-02    7.6569283254502696e-06
    20.00 12482.077    1.1713170936536271e-02    1.6101575006829474e-05
    21.00 13090.107    1.1712846329722972e-02    3.1779888137052209e-06
    22.00 13698.172    1.1712653152063957e-02    3.3205385995632051e-06
    23.00 14306.242    1.1712572253334672e-02    1.3256563930485896e-05
    24.00 14914.325    1.1712516742339463e-02    1.2718516307267413e-05
    25.00 15522.431    1.1712467944874847e-02    8.6105426469375103e-06
    26.00 16130.446    1.1712435598458587e-02    4.5979939331043754e-06
    27.00 16738.429    1.1712420392009031e-02    1.4518173845992315e-06
    28.00 17346.454    1.1712414243805648e-02    8.9345478316716373e-07
    29.00 17954.576    1.1712412098861586e-02    2.2580098938702523e-06
    30.00 18562.602    1.1712409191384554e-02    3.6782687320138676e-07
    31.00 19169.732    1.1712410026410691e-02    2.9490583366317230e-06
    32.00 19776.206    1.1712408247058295e-02    1.5284700002739680e-06
    33.00 20382.489    1.1712407516448222e-02    1.2365017453613307e-07
    34.00 20988.771    1.1712407928941865e-02    1.6308708378515969e-06
    35.00 21595.112    1.1712407392311421e-02    6.8607813409047219e-07
    36.00 22201.515    1.1712407241544206e-02    5.3097432608849097e-08
    37.00 22807.807    1.1712407255642468e-02    5.2504975070643427e-07
    38.00 23414.172    1.1712407205919132e-02    3.7013957708699193e-07
    39.00 24020.538    1.1712407188987891e-02    3.0421178569189109e-07
    40.00 24626.879    1.1712407180051915e-02    3.3509814796616742e-07
    41.00 25233.137    1.1712407153191167e-02    5.6740099362620773e-08
    42.00 25839.479    1.1712407156898360e-02    1.9969137858649822e-07
    43.00 26445.730    1.1712407147045885e-02    1.0717574678853758e-08
    44.00 27052.028    1.1712407151235482e-02    1.5935596430860263e-07
    45.00 27658.329    1.1712407145833709e-02    5.2050934336755941e-08
    46.00 28264.595    1.1712407145134031e-02    4.6846304868571816e-08
    47.00 28870.927    1.1712407144640781e-02    4.2034160340081931e-08
    48.00 29477.215    1.1712407144077622e-02    9.1565936365826582e-09
    49.00 30083.503    1.1712407144009113e-02    1.6360219262748408e-08
    50.00 30689.844    1.1712407143953021e-02    1.6949806411244588e-08
    51.00 31296.161    1.1712407143872089e-02    6.4866355577758907e-09
    52.00 31902.548    1.1712407143845496e-02    3.6976868535275429e-09
    53.00 32509.127    1.1712407143852398e-02    1.0180454192910639e-08
    54.00 33115.345    1.1712407143821922e-02    4.8656711725898473e-10
