    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.9215987491904263e-02
     4.00     5.492    5.0506522741172999e-01    2.0699061601388451e-02
     8.00    10.967    3.3093185636765216e-01    1.0168500483692640e-02
    12.00    16.464    3.0326118376192435e-01    5.1388907218672649e-03
    16.00    21.943    2.9412087260271630e-01    3.6851210114463560e-03
    20.00    27.491    2.8024978010681340e-01    3.3114032213260123e-03
    24.00    32.960    2.6474728753118087e-01    2.1816127895133586e-03
    28.00    38.432    2.6106451845737261e-01    2.3106718362851824e-03
    32.00    43.898    2.5742686804434284e-01    2.3083625358090612e-03
    36.00    49.367    2.5468653005476222e-01    1.9506519623563496e-03
    40.00    54.857    2.5214907319609992e-01    2.0253359406190840e-03
    44.00    60.355    2.4920703120960999e-01    1.7943626982612002e-03
    48.00    65.846    2.4779581611446150e-01    1.1239186189342121e-03
    52.00    71.335    2.4720482331234522e-01    1.2015797945742071e-03
    56.00    76.802    2.4459813644890144e-01    1.2652970486318267e-03
    60.00    82.273    2.4386859119374943e-01    6.8280817213911798e-04
    64.00    87.745    2.4345760486016693e-01    7.5406400981580055e-04
    68.00    93.210    2.4228143330496479e-01    5.8871808276996136e-04
    72.00    98.687    2.4152319893269403e-01    4.0463478294447072e-04
    76.00   104.177    2.4106324943861371e-01    5.2582769151051170e-04
    80.00   109.678    2.4031387071989341e-01    4.2695668732755895e-04
    84.00   115.150    2.4011995736046099e-01    4.3127287004285418e-04
    88.00   120.620    2.3982304721039258e-01    3.8769280963764065e-04
    92.00   126.096    2.3954225138443602e-01    4.4151744152353870e-04
    96.00   131.563    2.3929713473470407e-01    2.1554431710583375e-04
   100.00   137.039    2.3916471190867830e-01    3.9414516707517058e-04
   104.00   142.506    2.3888756172926606e-01    2.0664996282072291e-04
   108.00   148.007    2.3883705683130380e-01    2.6127508375555143e-04
   112.00   153.478    2.3862256916190622e-01    2.1623739163542804e-04
   116.00   158.947    2.3859626111867568e-01    1.5690977660828395e-04
   120.00   164.417    2.3840327529458194e-01    2.0820386460836471e-04
   124.00   169.902    2.3838514481139664e-01    1.6557269060700979e-04
   128.00   175.382    2.3823268902081216e-01    1.9917385139365238e-04
   132.00   180.858    2.3820556153464470e-01    1.4776507281887472e-04
   136.00   186.323    2.3812104629650704e-01    1.5334556701377460e-04
   140.00   191.792    2.3808859254868378e-01    8.3800555817741324e-05
   144.00   197.262    2.3805270614547183e-01    1.4068184992145562e-04
   148.00   202.729    2.3802131659849757e-01    7.5426902576716497e-05
   152.00   208.199    2.3800514827114830e-01    8.2524009264793480e-05
   156.00   213.672    2.3797598420877994e-01    6.9165467519554896e-05
   160.00   219.147    2.3796881099084763e-01    6.6179139225086230e-05
   164.00   224.618    2.3794573353210158e-01    5.6146011267845280e-05
   168.00   230.091    2.3794307311955307e-01    4.5595256158099215e-05
   172.00   235.564    2.3792601078479675e-01    4.3205194992108876e-05
   176.00   241.051    2.3792483569008374e-01    3.5641264576328944e-05
   180.00   246.518    2.3791358300375171e-01    4.9189710901230528e-05
   184.00   251.988    2.3791157131131307e-01    3.0605617420921670e-05
   188.00   257.486    2.3790685654844995e-01    3.1982014119764622e-05
   192.00   262.974    2.3790400367710277e-01    2.4691931360609096e-05
   196.00   268.446    2.3790240068049182e-01    1.8875539996667825e-05
   200.00   273.923    2.3789938398334154e-01    2.0981102108024253e-05
   204.00   279.418    2.3789887651709993e-01    1.8817717167983223e-05
   208.00   284.892    2.3789651233083384e-01    1.6142343531718452e-05
   212.00   290.371    2.3789632315439574e-01    1.0749432657828025e-05
   216.00   295.845    2.3789486574689717e-01    1.3049406086002862e-05
   220.00   301.324    2.3789473975148434e-01    1.4597423516805499e-05
   224.00   306.797    2.3789383032258832e-01    1.1496136776980397e-05
   228.00   312.278    2.3789362520276369e-01    9.2997118423841867e-06
   232.00   317.770    2.3789320859325230e-01    9.4579846066673512e-06
   236.00   323.245    2.3789285733286578e-01    7.6618994740308937e-06
   240.00   328.740    2.3789272156295327e-01    6.7459527412247211e-06
   244.00   334.236    2.3789240550846275e-01    8.0393114074274448e-06
   248.00   339.735    2.3789235187229157e-01    5.5454803090045343e-06
   252.00   345.221    2.3789208115499177e-01    5.0827122013585102e-06
   256.00   350.690    2.3789205931022839e-01    5.3068858453803375e-06
   260.00   356.196    2.3789187617577837e-01    6.6321486019171207e-06
   264.00   361.688    2.3789185911634236e-01    3.8548274175518315e-06
   268.00   367.193    2.3789175946519994e-01    4.4920749554108690e-06
   272.00   372.685    2.3789173036219469e-01    2.7864907036368165e-06
   276.00   378.183    2.3789168358821430e-01    4.9517696501151139e-06
   280.00   383.672    2.3789163084727027e-01    2.4740131142316003e-06
   284.00   389.190    2.3789161319846552e-01    2.1597828253570887e-06
   288.00   394.681    2.3789154781476629e-01    2.3908861753531062e-06
   292.00   400.187    2.3789154267461826e-01    2.1402510925604983e-06
   296.00   405.693    2.3789149783073590e-01    2.5145935198479866e-06
   300.00   411.189    2.3789149406456275e-01    2.2185092795406005e-06
   304.00   416.682    2.3789146828488247e-01    1.9556336773231550e-06
   308.00   422.170    2.3789146001163108e-01    1.5119746079802500e-06
   312.00   427.664    2.3789144972507731e-01    1.2968894429957290e-06
   316.00   433.172    2.3789143573173044e-01    1.3205565592144033e-06
   320.00   438.662    2.3789143285563022e-01    1.4893862412135197e-06
   324.00   444.154    2.3789142150462103e-01    1.1593163315494073e-06
   328.00   449.661    2.3789142070767466e-01    8.5716053715338890e-07
   332.00   455.154    2.3789141320191065e-01    6.9842979148166690e-07
   336.00   460.644    2.3789141253017826e-01    5.2946442456970640e-07
   340.00   466.129    2.3789140900609917e-01    1.1372537361493944e-06
   344.00   471.614    2.3789140758389823e-01    6.2514950086000859e-07
   348.00   477.123    2.3789140626939939e-01    4.8012846406941201e-07
   352.00   482.630    2.3789140453063143e-01    5.1129670434847379e-07
   356.00   488.114    2.3789140407792431e-01    4.0618655283695087e-07
   360.00   493.636    2.3789140254861971e-01    4.3857884223620195e-07
   364.00   499.140    2.3789140239740847e-01    2.8837842191374064e-07
   368.00   504.641    2.3789140129310399e-01    4.4533960102974221e-07
   372.00   510.129    2.3789140121754612e-01    2.7467794814855723e-07
   376.00   515.618    2.3789140052379523e-01    4.1763296258398026e-07
   380.00   521.142    2.3789140033370737e-01    1.7902917577887004e-07
   384.00   526.644    2.3789140006586920e-01    2.8650658284485235e-07
   388.00   532.131    2.3789139970364809e-01    2.5186840588910659e-07
   392.00   537.614    2.3789139963001479e-01    1.8142726248380740e-07
   396.00   543.121    2.3789139928228434e-01    1.7183228726472438e-07
   400.00   548.604    2.3789139925992436e-01    1.5751106012717138e-07
   404.00   554.097    2.3789139902177583e-01    1.6284031691164004e-07
   408.00   559.584    2.3789139899088860e-01    1.1248583586713617e-07
   412.00   565.087    2.3789139887324637e-01    1.1852455718781393e-07
