    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.9215987491904263e-02
     4.00     5.425    4.3302229182243879e-01    1.7728641831266396e-02
     8.00    10.882    2.9789910201694109e-01    3.4270569674447098e-03
    12.00    16.345    2.5420100614157720e-01    2.4027419065480765e-03
    16.00    21.790    2.4753163355959035e-01    2.6109353391758701e-03
    20.00    27.230    2.4373841796772835e-01    1.2033817294238149e-03
    24.00    32.671    2.4182685976689583e-01    7.1524109051886707e-04
    28.00    38.132    2.4017616483256538e-01    3.7448733000722072e-04
    32.00    43.574    2.3941886731152645e-01    2.6725364285678241e-04
    36.00    49.013    2.3908600149101164e-01    3.3708507832002314e-04
    40.00    54.458    2.3877019645549713e-01    2.8461470926296968e-04
    48.00    65.360    2.3841169755931246e-01    1.8614401290813106e-04
    52.00    70.800    2.3825306925514894e-01    1.3430043578388824e-04
    56.00    76.247    2.3808926569107586e-01    1.4930922087569136e-04
    60.00    81.701    2.3801559090458105e-01    1.7631812817417685e-04
    64.00    87.157    2.3797268109445718e-01    8.6650326352653227e-05
    68.00    92.598    2.3794202102740483e-01    5.9763865803228154e-05
    72.00    98.062    2.3792690275131598e-01    7.0743998884231822e-05
    76.00   103.500    2.3791533878319296e-01    4.1848569067202035e-05
    80.00   108.958    2.3790765981507908e-01    4.9841866494373431e-05
    84.00   114.405    2.3790133147249509e-01    4.5828962379490995e-05
    88.00   119.875    2.3789811232778182e-01    2.1338436818792012e-05
    92.00   125.312    2.3789526516908888e-01    1.2616837475375038e-05
    96.00   130.773    2.3789389949174386e-01    9.5231533218765505e-06
   100.00   136.213    2.3789299499810929e-01    1.1674742920758180e-05
   104.00   141.654    2.3789271552415667e-01    9.4288674423143118e-06
   108.00   147.090    2.3789241907984185e-01    2.5136923474082531e-05
   112.00   152.608    2.3789208408908843e-01    9.0430774654133069e-06
   116.00   158.044    2.3789192653835065e-01    8.3248442940009778e-06
   120.00   163.484    2.3789175927316816e-01    6.6519889739980290e-06
   128.00   174.404    2.3789159640355803e-01    3.6408570884938739e-06
   132.00   179.846    2.3789153862719484e-01    3.3425533428964022e-06
   136.00   185.293    2.3789151794346175e-01    5.9827870197083543e-06
   140.00   190.712    2.3789148592299911e-01    3.2192273703969345e-06
   144.00   196.152    2.3789145929376854e-01    2.0757487258672642e-06
   148.00   201.576    2.3789143714060645e-01    2.1691852626392799e-06
   152.00   206.995    2.3789142780970604e-01    1.5011233651897111e-06
   156.00   212.438    2.3789141415639356e-01    1.4786582574647545e-06
   160.00   217.866    2.3789141017393572e-01    8.3036950283881232e-07
   164.00   223.294    2.3789140658862684e-01    1.3595476548526341e-06
   168.00   228.721    2.3789140391937005e-01    6.3228016663520114e-07
   172.00   234.143    2.3789140201246053e-01    6.1847982468561257e-07
   176.00   239.611    2.3789140090516411e-01    4.3581244278820609e-07
   180.00   245.049    2.3789140031529460e-01    3.1095002466070565e-07
   184.00   250.460    2.3789140011721696e-01    1.1899974094550338e-06
   188.00   255.878    2.3789139942081400e-01    3.8328592093721258e-07
   192.00   261.328    2.3789139911863666e-01    4.1980513899281790e-07
   196.00   266.759    2.3789139893418354e-01    1.6390663974292273e-07
   200.00   272.180    2.3789139876633517e-01    9.7880488941986291e-08
   204.00   277.594    2.3789139867920003e-01    8.8704954599528747e-08
   208.00   283.040    2.3789139864338782e-01    7.4583553649890417e-08
   212.00   288.449    2.3789139861118622e-01    7.7914749606015819e-08
   216.00   293.859    2.3789139859161545e-01    8.2754064778044967e-08
   220.00   299.291    2.3789139858238170e-01    3.6781799508157038e-08
   224.00   304.720    2.3789139857914074e-01    1.7036841274787024e-07
   228.00   310.144    2.3789139856700098e-01    2.5255760593250892e-08
   232.00   315.553    2.3789139856283742e-01    2.5036115627302020e-08
   236.00   320.971    2.3789139856072178e-01    3.8791966427627366e-08
   240.00   326.412    2.3789139855924663e-01    1.0975579489543976e-08
   244.00   331.830    2.3789139855858835e-01    9.3355997495904089e-09
   248.00   337.243    2.3789139855809444e-01    7.9145313048088769e-09
   252.00   342.679    2.3789139855769850e-01    9.1322469688683906e-09
   256.00   348.130    2.3789139855747105e-01    5.4196402357392972e-09
   260.00   353.541    2.3789139855730740e-01    4.2495331281521691e-09
   264.00   358.953    2.3789139855721700e-01    9.6073460329449750e-09
   268.00   364.362    2.3789139855716998e-01    2.3499607519546950e-09
   272.00   369.798    2.3789139855714866e-01    7.9827497648112097e-09
   276.00   375.226    2.3789139855710256e-01    3.5400238066714779e-09
   280.00   380.638    2.3789139855710376e-01    3.8838934811551392e-09
   284.00   386.063    2.3789139855708902e-01    1.2362798048177565e-09
   288.00   391.493    2.3789139855707658e-01    6.9555129852374662e-10
