    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.9215987491904263e-02
     1.00    42.840    4.2101675146497647e-01    2.3587572288091751e-03
     2.00    69.127    3.1726913470525675e-01    3.3590835437933547e-03
     3.00    95.384    2.8641088305703055e-01    2.7259116793483988e-03
     4.00   121.741    2.6463657892329384e-01    1.2344997312041582e-03
     5.00   147.982    2.5403308312704120e-01    1.4437193813910119e-03
     6.00   174.236    2.4827426360021218e-01    1.2986760126105408e-03
     7.00   200.484    2.4463271116112476e-01    7.5206588689157657e-04
     8.00   226.768    2.4234133871158345e-01    9.3643144565648420e-04
     9.00   253.069    2.4082865908915035e-01    9.4504860791735522e-04
    10.00   279.378    2.3978762849518290e-01    5.1766414388735530e-04
    11.00   305.716    2.3909164556528997e-01    4.2361249366427409e-04
    12.00   331.950    2.3864768156565505e-01    3.4289417042518276e-04
    13.00   358.225    2.3842948641145686e-01    3.8836952615378868e-04
    14.00   384.398    2.3828299550428367e-01    4.0255232992664067e-04
    15.00   410.627    2.3813390243375868e-01    1.8028852979115592e-04
    16.00   436.780    2.3804933007935172e-01    1.9707754587058046e-04
    17.00   462.959    2.3799202376090656e-01    1.5628260391603816e-04
    18.00   489.053    2.3797107046678947e-01    2.3105290662340681e-04
    19.00   515.160    2.3793915806282129e-01    1.1776905084948927e-04
    20.00   541.256    2.3792785272704595e-01    1.0557775433481294e-04
    21.00   567.359    2.3791438762091610e-01    8.0661637911951824e-05
    22.00   593.444    2.3790517779839032e-01    5.8185139243285989e-05
    23.00   619.535    2.3790202279925646e-01    8.6217480853864272e-05
    24.00   645.578    2.3789780901119412e-01    4.8723394615283993e-05
    25.00   671.608    2.3789519377680349e-01    2.1607154538416648e-05
    26.00   697.789    2.3789394097334057e-01    1.8319860023387509e-05
    27.00   723.845    2.3789319887208474e-01    1.9590012149572574e-05
    28.00   749.973    2.3789249900134457e-01    1.0745976689923090e-05
    29.00   776.077    2.3789212595966541e-01    9.8539435321905906e-06
    30.00   802.173    2.3789188492850699e-01    9.6570854911158439e-06
    31.00   828.180    2.3789170950633085e-01    6.7321077803058985e-06
    32.00   854.268    2.3789162505835279e-01    6.9569457505719171e-06
    33.00   880.339    2.3789156052687660e-01    8.6675243014392497e-06
    34.00   906.429    2.3789150444199114e-01    7.8098237967498466e-06
    35.00   932.484    2.3789146150765170e-01    3.5572297397672505e-06
    36.00   958.526    2.3789144917376059e-01    5.4048609280606961e-06
    37.00   984.558    2.3789143246815087e-01    3.2798143813858276e-06
    38.00  1010.593    2.3789142227757246e-01    3.4863589608530075e-06
    39.00  1036.639    2.3789141513838560e-01    2.8568938685183218e-06
    40.00  1062.635    2.3789140755745178e-01    1.0048232913641191e-06
    41.00  1088.629    2.3789140501672476e-01    1.3903523592854716e-06
    42.00  1114.634    2.3789140326944305e-01    1.3649738476155276e-06
    43.00  1140.726    2.3789140184775318e-01    1.1270293766210143e-06
    44.00  1166.737    2.3789140067292036e-01    8.3154028249452072e-07
    45.00  1192.803    2.3789139987386393e-01    4.5523151175974108e-07
    46.00  1218.818    2.3789139942644419e-01    3.8242874001025842e-07
    47.00  1244.987    2.3789139910905818e-01    2.6863327177474625e-07
    48.00  1270.994    2.3789139893861569e-01    2.4338937274988405e-07
    49.00  1297.052    2.3789139879066035e-01    1.7641282363098539e-07
    50.00  1323.132    2.3789139870647308e-01    1.4664492114414691e-07
    51.00  1349.165    2.3789139865503592e-01    1.3666944244493858e-07
    52.00  1375.169    2.3789139862636774e-01    1.0897860723539103e-07
    53.00  1401.215    2.3789139860328626e-01    1.0663756114973843e-07
    54.00  1427.248    2.3789139858746727e-01    7.1518979022496186e-08
    55.00  1453.271    2.3789139857637964e-01    6.8261322960909891e-08
    56.00  1479.320    2.3789139857049488e-01    6.0186936785178910e-08
    57.00  1505.299    2.3789139856556785e-01    2.3933027866561661e-08
    58.00  1531.292    2.3789139856291722e-01    3.5562380850597725e-08
    59.00  1557.244    2.3789139856071903e-01    2.2394296039756812e-08
    60.00  1583.214    2.3789139855943725e-01    1.7081529344258151e-08
    61.00  1609.168    2.3789139855866678e-01    1.7931049920485602e-08
    62.00  1635.135    2.3789139855816599e-01    1.9100448634323800e-08
    63.00  1661.059    2.3789139855779620e-01    1.2088365661369780e-08
    64.00  1687.102    2.3789139855757913e-01    1.1491757977067354e-08
    65.00  1713.079    2.3789139855740896e-01    1.1979053466905827e-08
    66.00  1739.076    2.3789139855727257e-01    5.5514434052329897e-09
    67.00  1765.018    2.3789139855722630e-01    6.6363393833826426e-09
    68.00  1791.060    2.3789139855716640e-01    4.7531331187354596e-09
    69.00  1817.017    2.3789139855714025e-01    4.6714830700061425e-09
    70.00  1842.945    2.3789139855711389e-01    3.7821379847115960e-09
    71.00  1868.903    2.3789139855709371e-01    2.5637647244338616e-09
    72.00  1894.826    2.3789139855708355e-01    3.5133067680422922e-09
    73.00  1920.811    2.3789139855708066e-01    2.4749125700625164e-09
    74.00  1946.754    2.3789139855707661e-01    1.0556227923948073e-09
    75.00  1972.775    2.3789139855706959e-01    1.5204922064813417e-09
    76.00  1998.760    2.3789139855706351e-01    8.8120493008761668e-10
