    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.9215987491904263e-02
     1.00    39.712    2.4879680077267347e-01    1.4556373394454731e-03
     2.00    79.354    2.4474585623056777e-01    1.7291461308123865e-03
     3.00   118.952    2.4241882380796631e-01    6.8569754111499881e-04
     4.00   158.541    2.4173459240419834e-01    5.8919173543822332e-04
     5.00   198.152    2.4122580907578170e-01    7.1446196266506713e-04
     6.00   237.732    2.4106910472661933e-01    1.5127774610860839e-03
     7.00   277.318    2.4012711213414828e-01    5.7437311065744977e-04
     8.00   316.879    2.4008115159565402e-01    6.5271193446321486e-04
     9.00   356.458    2.3974388301812741e-01    6.5830454135238985e-04
    10.00   396.026    2.3964761102756332e-01    6.3226348851126441e-04
    11.00   435.605    2.3950013362743283e-01    8.2268156082973716e-04
    12.00   475.236    2.3931782213154443e-01    6.2662748565740409e-04
    13.00   514.982    2.3914971274511354e-01    3.0945331984846228e-04
    14.00   554.653    2.3920298770200610e-01    7.1028957175733171e-04
    15.00   594.390    2.3907024294814022e-01    5.0160717885042454e-04
    16.00   633.992    2.3896329534616845e-01    3.6277538297185428e-04
    17.00   673.570    2.3893387320778903e-01    4.4645690206276343e-04
    18.00   713.142    2.3885045651170203e-01    5.4866269745163095e-04
    19.00   752.735    2.3877151337788335e-01    4.1360007160595589e-04
    20.00   792.320    2.3875926932925279e-01    2.9839166305855648e-04
    21.00   831.901    2.3873534381556000e-01    5.6292580178467027e-04
    22.00   871.461    2.3865119158596476e-01    4.1309010471219992e-04
    23.00   911.067    2.3862028339394428e-01    3.1683185144576465e-04
    24.00   950.611    2.3859233062771240e-01    3.0973521876915075e-04
    25.00   990.177    2.3859928040979272e-01    4.6601116508253635e-04
    26.00  1029.797    2.3856164894402490e-01    4.0377245293122941e-04
    27.00  1069.393    2.3853124242801990e-01    3.6810835201095247e-04
    28.00  1108.935    2.3856976977519043e-01    5.9834429222859853e-04
    29.00  1148.469    2.3852542596943752e-01    3.8065671655649518e-04
    30.00  1188.037    2.3850659632333793e-01    6.4486490496755053e-04
    31.00  1227.573    2.3847592336060680e-01    4.9310310915346388e-04
    32.00  1267.124    2.3850158594944784e-01    5.3895420677353397e-04
    33.00  1306.692    2.3839377090398425e-01    3.2161536048834943e-04
    34.00  1346.289    2.3838767569754860e-01    2.5607339487225967e-04
    35.00  1385.842    2.3839888482033719e-01    1.7187978058789730e-04
    36.00  1425.422    2.3836838210400230e-01    2.1884782527350718e-04
    37.00  1465.000    2.3838122736475234e-01    3.8362261070902406e-04
    38.00  1504.541    2.3835450633808977e-01    2.4805764074589242e-04
    39.00  1544.117    2.3835281236452466e-01    2.8050351814386493e-04
    40.00  1583.691    2.3836873728043600e-01    3.9156220213160743e-04
    41.00  1623.265    2.3831531849156237e-01    2.4071529649875433e-04
    42.00  1662.840    2.3831916321070107e-01    3.8969843519246703e-04
    43.00  1702.390    2.3831826171770695e-01    3.3404305787454702e-04
    44.00  1741.945    2.3829468878169724e-01    2.5590638859225221e-04
    45.00  1781.494    2.3826224738400190e-01    3.0577626071705922e-04
    46.00  1821.063    2.3828474271948044e-01    2.7380435821072394e-04
    47.00  1860.614    2.3827412096357928e-01    2.7719351297166061e-04
    48.00  1900.176    2.3827817977537030e-01    3.3772265113314842e-04
    49.00  1939.781    2.3828301964537832e-01    3.6859524939966367e-04
    50.00  1979.355    2.3831582615418057e-01    4.2582485980359122e-04
    51.00  2018.899    2.3824752525836840e-01    3.1217294485014088e-04
    52.00  2058.483    2.3830187362607591e-01    5.0405861007345198e-04
    53.00  2098.023    2.3826800231769227e-01    3.1956416028855326e-04
    54.00  2137.604    2.3823134709585850e-01    2.8854687452691268e-04
    55.00  2177.189    2.3822478675091330e-01    2.1595237135804175e-04
    56.00  2216.755    2.3821790737654069e-01    1.8573700003799570e-04
    57.00  2256.328    2.3823976524208954e-01    3.6448478784408694e-04
    58.00  2296.050    2.3823398132864210e-01    3.6964925107901559e-04
    59.00  2335.594    2.3820821667613309e-01    3.1488043279197166e-04
    60.00  2375.170    2.3816481546023993e-01    1.5710853226864335e-04
    61.00  2414.712    2.3818215539065068e-01    2.1306015472712111e-04
    62.00  2454.311    2.3815646187866085e-01    1.9698478924577077e-04
    63.00  2493.888    2.3818439488858245e-01    4.1693673768103255e-04
    64.00  2533.460    2.3815400186100652e-01    1.7542644266224406e-04
    65.00  2573.042    2.3818079938701711e-01    3.5808648819142996e-04
    66.00  2612.589    2.3816939739749948e-01    2.8185713287949435e-04
    67.00  2652.141    2.3814801359626225e-01    1.9749599744913805e-04
    68.00  2691.691    2.3813926649745282e-01    1.3856870870270808e-04
    69.00  2731.269    2.3813912895246225e-01    1.1099172780102924e-04
    70.00  2770.809    2.3814297803967599e-01    1.6356265104375058e-04
    71.00  2810.279    2.3814964550891432e-01    2.4489202763338871e-04
    72.00  2849.701    2.3816315105613975e-01    2.8531108462024680e-04
    73.00  2888.998    2.3814635300656747e-01    2.3007309994192845e-04
    74.00  2928.283    2.3815156271209525e-01    2.3142703680710999e-04
    75.00  2967.518    2.3813921446765540e-01    2.9556955012043930e-04
    76.00  3006.683    2.3813557434610619e-01    2.6428238041577800e-04
    77.00  3045.754    2.3810711336743284e-01    1.9217773786115030e-04
    78.00  3084.780    2.3810594242164737e-01    1.5990750324305881e-04
    79.00  3123.761    2.3810512327547634e-01    1.5604159183804867e-04
    80.00  3162.607    2.3813944713280069e-01    2.9723112150134128e-04
    81.00  3201.373    2.3811234412549895e-01    1.8094930040212759e-04
    82.00  3240.111    2.3810640649294920e-01    1.9423328833729253e-04
    83.00  3278.817    2.3811224048436860e-01    2.8249493130066619e-04
    84.00  3317.547    2.3811832552006010e-01    2.7644529234059677e-04
    85.00  3356.257    2.3810746728410298e-01    2.0377098794693981e-04
    86.00  3394.995    2.3810011371506157e-01    1.8756536991648243e-04
    87.00  3433.645    2.3809296157498905e-01    1.7671489875675561e-04
    88.00  3472.304    2.3809747143391616e-01    2.3158661835313203e-04
    89.00  3510.950    2.3808534461438732e-01    1.6449665942066998e-04
    90.00  3549.614    2.3811038460328918e-01    2.8177923353599562e-04
    91.00  3588.276    2.3809440161053846e-01    2.3735078496482697e-04
    92.00  3626.982    2.3809989819378280e-01    2.3859948918642063e-04
    93.00  3665.626    2.3808434753574234e-01    1.5640446097555570e-04
    94.00  3704.286    2.3809381514296082e-01    2.1603902110248213e-04
    95.00  3742.932    2.3807070765035226e-01    1.1266420458192637e-04
    96.00  3781.576    2.3807188035003291e-01    1.2306940731933089e-04
    97.00  3820.232    2.3807465254620133e-01    1.3381607197860066e-04
    98.00  3858.881    2.3806937209850665e-01    1.6456177435020857e-04
    99.00  3897.533    2.3806753578638667e-01    1.6661280342403947e-04
   100.00  3936.222    2.3807175845916842e-01    2.5418966229062917e-04
   101.00  3974.882    2.3807028774814798e-01    1.8044844749334730e-04
   102.00  4013.703    2.3806420690976082e-01    1.5334688717613183e-04
   103.00  4052.371    2.3807179304690163e-01    2.4374989878903614e-04
   104.00  4091.030    2.3805222586652933e-01    1.5858613128647193e-04
   105.00  4129.682    2.3805786952367680e-01    2.3557208839831257e-04
   106.00  4168.352    2.3805451926166074e-01    2.3698539530279508e-04
   107.00  4206.998    2.3805691877682589e-01    1.9498873446522412e-04
   108.00  4245.646    2.3805195806374152e-01    1.7113906460052960e-04
   109.00  4284.317    2.3805969140369590e-01    2.7312768602602198e-04
   110.00  4322.960    2.3808535946601150e-01    4.0190759604891401e-04
   111.00  4361.644    2.3805220160068752e-01    2.1463273473543401e-04
   112.00  4400.266    2.3804893347550851e-01    1.9944461146608014e-04
   113.00  4438.912    2.3805920277803885e-01    2.5197546900583415e-04
   114.00  4477.594    2.3803522207421210e-01    9.1630542462248259e-05
   115.00  4516.242    2.3803439562923928e-01    9.9645439436024595e-05
   116.00  4554.879    2.3803337964436852e-01    1.1259222713892087e-04
   117.00  4593.516    2.3805567698850766e-01    2.5109262955766681e-04
   118.00  4632.144    2.3806369579723452e-01    2.9913287252664070e-04
   119.00  4670.780    2.3804722613366960e-01    2.3652876305580657e-04
   120.00  4709.411    2.3804359942670553e-01    2.3374191280498463e-04
   121.00  4748.065    2.3803786664603083e-01    1.6222184302900971e-04
   122.00  4786.751    2.3805164739763249e-01    2.6202993511291716e-04
   123.00  4825.402    2.3803120531340166e-01    1.6385523282936979e-04
   124.00  4864.054    2.3803786293388041e-01    2.2302883848300035e-04
   125.00  4902.688    2.3803145958686459e-01    1.8312906675136304e-04
   126.00  4941.321    2.3802463427293294e-01    1.8791411354301466e-04
   127.00  4979.940    2.3802559523879441e-01    1.6983247217960075e-04
   128.00  5018.593    2.3803877607741666e-01    2.3377562162343630e-04
   129.00  5057.217    2.3802724286650304e-01    1.8489613622430710e-04
   130.00  5095.864    2.3803654288073520e-01    2.3551891025621889e-04
   131.00  5134.535    2.3802765560574868e-01    1.4452931195831824e-04
   132.00  5173.210    2.3802527690531430e-01    1.6232993224629268e-04
   133.00  5211.826    2.3804475023323829e-01    2.3216212995038387e-04
   134.00  5250.481    2.3803718110650449e-01    2.1444668603762655e-04
   135.00  5289.129    2.3803010800480529e-01    1.6688188329341466e-04
   136.00  5327.781    2.3802067205914393e-01    8.7941655701919807e-05
   137.00  5366.415    2.3801750872424790e-01    9.3531418792156020e-05
   138.00  5405.072    2.3802598822089868e-01    1.7117485612909599e-04
   139.00  5443.712    2.3801865507089187e-01    1.5429376683448126e-04
   140.00  5482.374    2.3803932608281300e-01    2.7820015191926871e-04
   141.00  5521.000    2.3801671890059636e-01    1.4336702950221955e-04
   142.00  5559.566    2.3800961859578673e-01    1.0393072535888070e-04
   143.00  5598.075    2.3801542685166147e-01    1.5622432125428243e-04
   144.00  5636.495    2.3801776492241197e-01    1.6052177309749935e-04
   145.00  5674.855    2.3802474043566221e-01    2.3718097096231931e-04
   146.00  5713.286    2.3800742852808182e-01    1.4425163437223223e-04
   147.00  5751.559    2.3802023646087039e-01    2.2557606487332398e-04
   148.00  5789.825    2.3801697787390960e-01    2.3716040383049000e-04
   149.00  5827.992    2.3801069454015630e-01    1.6044366741015096e-04
   150.00  5866.146    2.3800198421899849e-01    1.0925326705791458e-04
   151.00  5904.252    2.3800058036783550e-01    8.0780151659043745e-05
   152.00  5942.261    2.3800805170395553e-01    1.5325790592261070e-04
   153.00  5980.254    2.3800575281742165e-01    1.2167913261286944e-04
   154.00  6018.179    2.3801068895428446e-01    2.0301478607746484e-04
