    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.9215987491904263e-02
     0.10   123.252    2.5816732611257415e-01    1.1572831518154906e-03
     0.20   246.921    2.4713631192533791e-01    7.6527263264330894e-04
     0.30   370.307    2.4323651101626639e-01    6.3119579249200548e-04
     0.40   494.031    2.4125660094290577e-01    3.6648984020894431e-04
     0.50   618.061    2.4027432842533816e-01    3.1473809915518814e-04
     0.60   742.054    2.3963788959186627e-01    2.6896877249859246e-04
     0.70   866.073    2.3906908981136549e-01    2.6287750694601485e-04
     0.80   989.608    2.3869014499838342e-01    2.1386671219997052e-04
     0.90  1113.505    2.3839641396667627e-01    2.0210389203717202e-04
     1.00  1237.057    2.3814484865726798e-01    1.8259471255358689e-04
     1.10  1360.312    2.3793169902744118e-01    7.1362684734772177e-05
     1.20  1483.881    2.3790754877299045e-01    4.4154411049683682e-05
     1.30  1607.251    2.3789901571468330e-01    2.9458031082935086e-05
     1.40  1731.498    2.3789517160972723e-01    2.0708993135630987e-05
     1.50  1855.203    2.3789329302754122e-01    1.4641915959320555e-05
     1.60  1979.300    2.3789227759458784e-01    1.0105049542588538e-05
     1.70  2103.315    2.3789176734134845e-01    6.4304520570831165e-06
     1.80  2227.230    2.3789152844805461e-01    3.9142503046905047e-06
     1.90  2351.401    2.3789143058721973e-01    2.0371879600302316e-06
     2.00  2474.961    2.3789140167546641e-01    6.5040566932759748e-07
     2.10  2598.583    2.3789139888780342e-01    2.0347751702922551e-07
     2.20  2722.250    2.3789139862429348e-01    9.0853147635557438e-08
     2.30  2845.988    2.3789139857244437e-01    4.2569948585806358e-08
     2.40  2970.076    2.3789139856055877e-01    2.0898739151456122e-08
     2.50  3094.131    2.3789139855778904e-01    9.5492535136690684e-09
     2.60  3218.633    2.3789139855718613e-01    3.9684805294001386e-09
     2.70  3343.085    2.3789139855708696e-01    1.3538977047115568e-09
     2.80  3467.088    2.3789139855707031e-01    3.9658518633182006e-10
