    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059542213e-01    1.3585262750173788e-02
     4.00    31.969    2.9987001399004126e-01    1.7627532301220494e-03
     8.00    64.355    2.9373968778295090e-01    1.1391848117591559e-03
    12.00    96.597    2.5520580749819005e-01    2.1254322659563945e-03
    16.00   128.700    2.0223867657249894e-01    3.7317044668177125e-04
    20.00   160.905    2.0091457647614747e-01    4.1958915937578362e-04
    24.00   193.047    1.9721383389216102e-01    7.4046049059825893e-04
    28.00   225.080    1.6487986393606016e-01    6.1544462398338529e-04
    32.00   257.219    1.6215782487547400e-01    1.6955467655401497e-04
    36.00   289.405    1.6161254611635331e-01    1.9578422212415935e-04
    40.00   321.634    1.5706097329507268e-01    1.9235433105221388e-04
    44.00   353.787    1.5688268674995509e-01    2.1195042461504823e-04
    48.00   385.910    1.5581571396453139e-01    2.5051601948345559e-04
    52.00   418.034    1.4531753756468993e-01    2.0796004564736581e-04
    56.00   450.182    1.4470432896040700e-01    1.1751853914887853e-04
    60.00   482.323    1.4455249132571601e-01    1.3407652796832730e-04
    64.00   514.499    1.4214000601390531e-01    1.1259684690297245e-04
    68.00   546.658    1.4177826373423463e-01    7.4015555261302393e-05
    72.00   578.797    1.4170537896653457e-01    7.9326608280379184e-05
    76.00   610.937    1.3987499797948066e-01    7.8900145844219588e-05
    80.00   643.067    1.3882279146266352e-01    5.6430018409092468e-05
    84.00   675.159    1.3879447472187015e-01    5.6392925027652863e-05
    88.00   707.305    1.3835244242700392e-01    4.9023636949987235e-05
    92.00   739.405    1.3827995737080559e-01    3.9896790070105176e-05
    96.00   771.544    1.3824771421500606e-01    3.7263129263346126e-05
   100.00   803.646    1.3740432599964178e-01    5.1429374201156320e-05
   104.00   835.739    1.3688121202748307e-01    2.9897413224220014e-05
   108.00   867.875    1.3687792293086470e-01    3.1295734168609889e-05
   112.00   899.964    1.3675486526031655e-01    3.0640189551508914e-05
   116.00   932.046    1.3647471458092003e-01    2.7284936745376385e-05
   120.00   964.192    1.3647292801038863e-01    2.6512542620287136e-05
   124.00   996.314    1.3640660817007014e-01    2.1498546199500295e-05
   128.00  1028.483    1.3600532406518226e-01    2.0571987265226639e-05
   132.00  1060.563    1.3599838409655152e-01    2.0449155498334637e-05
   136.00  1092.665    1.3598376545064964e-01    1.8180261422740964e-05
   140.00  1124.780    1.3574781320714735e-01    2.1090211010598314e-05
   144.00  1156.872    1.3570546250911078e-01    1.8298050892626993e-05
   148.00  1188.930    1.3570256433020111e-01    1.6189181762839176e-05
   152.00  1221.165    1.3561339199277153e-01    1.4409912286211940e-05
   156.00  1253.249    1.3552366895623263e-01    1.3152238857085499e-05
   160.00  1285.345    1.3552325652844915e-01    1.3263805971885782e-05
   164.00  1317.407    1.3550519403259190e-01    1.3504309032398621e-05
   168.00  1349.496    1.3533034910338823e-01    1.0856349254102095e-05
   172.00  1381.609    1.3532075426830320e-01    8.6909001241506373e-06
   176.00  1413.695    1.3531967111487336e-01    7.7204012000765573e-06
   180.00  1445.793    1.3528940086508881e-01    9.4151385528874779e-06
   184.00  1477.838    1.3526690803886929e-01    7.6967032364413124e-06
   188.00  1509.905    1.3526656466217460e-01    7.2422396108930033e-06
   192.00  1541.951    1.3525266827098006e-01    5.3057888744047557e-06
   196.00  1574.036    1.3519946566766905e-01    6.9878920300090054e-06
   200.00  1606.124    1.3519918740315093e-01    6.2795945930719793e-06
   204.00  1638.198    1.3519780112249130e-01    5.5524885490432754e-06
   208.00  1670.287    1.3517589270994185e-01    5.3603974174791384e-06
   212.00  1702.351    1.3517206921841063e-01    4.6505306483621100e-06
   216.00  1734.476    1.3517183398839003e-01    4.3939686792245546e-06
   220.00  1766.612    1.3516334936391711e-01    4.5655684472895628e-06
   224.00  1798.736    1.3514715337265076e-01    3.9861965343324244e-06
   228.00  1830.859    1.3514711925734560e-01    3.8063710794031274e-06
   232.00  1863.022    1.3514596823672193e-01    2.8637783781620104e-06
   236.00  1895.176    1.3513515286361080e-01    4.1171844935581148e-06
   240.00  1927.364    1.3513459660884730e-01    3.8179722312402688e-06
   244.00  1959.480    1.3513437989371957e-01    3.6627272643137134e-06
   248.00  1991.645    1.3512724240460511e-01    2.4093688800438030e-06
   252.00  2023.812    1.3511797487365401e-01    3.2151257295531282e-06
   256.00  2055.985    1.3511795509376423e-01    3.1261004864232749e-06
   260.00  2088.102    1.3511709931969104e-01    2.4091581307121863e-06
