    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059542213e-01    1.3585262750173788e-02
     4.00    31.774    5.5358330851823223e-01    3.4629547532003908e-03
    12.00    96.041    2.7478335640880192e-01    8.6364887732879702e-04
    16.00   128.240    1.9877308497934038e-01    5.3370938968111284e-04
    20.00   160.308    1.7817465827446607e-01    4.9670943401930890e-04
    24.00   192.367    1.5154441648610448e-01    3.2543974721879765e-04
    28.00   224.546    1.4978459357864116e-01    5.5990031342517904e-04
    32.00   256.618    1.4240249161205210e-01    1.5240049894043825e-04
    36.00   288.727    1.3892358658820697e-01    1.0858424733267894e-04
    40.00   320.852    1.3792805402856287e-01    1.2557498087319009e-04
    44.00   353.002    1.3715780511830497e-01    9.0424213973836154e-05
    48.00   385.112    1.3670466560256081e-01    3.7119045731436407e-05
    52.00   417.270    1.3652353293211594e-01    2.8582454824860346e-05
    60.00   481.519    1.3597258024949532e-01    2.8286978700482144e-05
    68.00   545.692    1.3577648496573747e-01    2.5333419859526262e-05
    76.00   609.891    1.3557925898251058e-01    2.1762481132963209e-05
    80.00   642.009    1.3549072438733673e-01    4.1134621846304602e-05
    84.00   674.357    1.3537294190367763e-01    2.6356649102928599e-05
    88.00   706.465    1.3529957347379415e-01    1.5106616186447707e-05
    92.00   738.619    1.3526197697024606e-01    1.8277653856381505e-05
    96.00   770.733    1.3520633690305703e-01    1.3355178222094911e-05
   104.00   834.890    1.3517690368319527e-01    7.6745543126552262e-06
   108.00   867.039    1.3517535875206946e-01    1.1273840485574085e-05
   116.00   931.318    1.3515619335579843e-01    6.3385352127943176e-06
   120.00   963.446    1.3514336399016658e-01    6.6409961645443818e-06
   124.00   995.575    1.3513457808494769e-01    3.9463939377484776e-06
   128.00  1027.724    1.3512867918757593e-01    4.8230123708090393e-06
   132.00  1059.847    1.3512384057618793e-01    6.0199089871595940e-06
   140.00  1124.116    1.3511492435570019e-01    5.8707899759747760e-06
   144.00  1156.238    1.3510882988076592e-01    1.4038721699524196e-05
   148.00  1188.374    1.3510462433210607e-01    3.3722857311867177e-06
   152.00  1220.527    1.3509890366236985e-01    3.2917665246095174e-06
   160.00  1284.857    1.3509100881581107e-01    6.5472071137009770e-06
   164.00  1317.033    1.3508686972863920e-01    4.9993203700063711e-06
   168.00  1349.164    1.3508057519450378e-01    3.1114920072264722e-06
   176.00  1413.450    1.3507654949209452e-01    2.2799033463890918e-06
   184.00  1477.733    1.3507438378170095e-01    2.3381762187800011e-06
   188.00  1509.877    1.3507289700496963e-01    2.2553668885771007e-06
   192.00  1542.044    1.3507205902713237e-01    2.3203925901902180e-06
   196.00  1574.228    1.3506943514135386e-01    1.9404948594960237e-06
   204.00  1638.548    1.3506752244437276e-01    2.2340435117875671e-06
   208.00  1670.714    1.3506632514631087e-01    2.6158863248769147e-06
   212.00  1702.857    1.3506488719556747e-01    2.0064804356163902e-06
   220.00  1767.179    1.3506396201824489e-01    1.3390879973290058e-06
   224.00  1799.316    1.3506315966745322e-01    2.0474898469078246e-06
   228.00  1831.473    1.3506252137338257e-01    1.5488705696048006e-06
   232.00  1863.592    1.3506215628030405e-01    2.0541230404938381e-06
   236.00  1895.677    1.3506169486024613e-01    1.2124950337959208e-06
   240.00  1927.742    1.3506144943580597e-01    1.8947680512738863e-06
   244.00  1959.860    1.3506136844981165e-01    1.0012111203801225e-06
   248.00  1991.953    1.3506103864187385e-01    8.8286996819751120e-07
   252.00  2024.094    1.3506070909939422e-01    8.5207372471430409e-07
   256.00  2056.220    1.3506049274730988e-01    1.1407777488980501e-06
   260.00  2088.365    1.3506001687701491e-01    6.0130231167379680e-07
   264.00  2120.473    1.3505987358643046e-01    7.4034122688095902e-07
   268.00  2152.564    1.3505960873591280e-01    9.0115793294749965e-07
   272.00  2184.704    1.3505930600165295e-01    1.2635382661867025e-06
   276.00  2216.856    1.3505922705363946e-01    5.6577390680911737e-07
   280.00  2248.964    1.3505913763803437e-01    1.2411393454867184e-06
   284.00  2281.048    1.3505898749615816e-01    6.5419202679336346e-07
   288.00  2313.139    1.3505894376733954e-01    4.7025268043355493e-07
   292.00  2345.263    1.3505880946181367e-01    4.7923828518042349e-07
   296.00  2377.356    1.3505867589482889e-01    4.4484242633336116e-07
   300.00  2409.449    1.3505865524701888e-01    7.6666480601449880e-07
   304.00  2441.543    1.3505852420134440e-01    5.1116038771592184e-07
   308.00  2473.610    1.3505841962238116e-01    2.7116145039729950e-07
   312.00  2505.845    1.3505838597402325e-01    4.5191709111051421e-07
   316.00  2538.102    1.3505831832738099e-01    2.5414076296283567e-07
