    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059542213e-01    1.3585262750173788e-02
     1.00   384.611    1.4397983887616425e-01    5.5341980385549777e-04
     2.00   654.953    1.3551043449459443e-01    6.2978622575431454e-05
     3.00   927.426    1.3561040245851766e-01    1.5796457738503848e-04
     4.00  1197.875    1.3522546324409668e-01    5.9536972821823417e-05
     5.00  1477.054    1.3509591035617691e-01    2.4370232953208419e-05
     6.00  1747.545    1.3508208429374510e-01    2.7189587889862378e-05
     7.00  2021.098    1.3509707115155875e-01    5.4165824738029078e-05
     8.00  2296.495    1.3507124304063936e-01    2.7280414355019967e-05
     9.00  2573.871    1.3505905104653140e-01    3.5592907601305387e-06
    10.00  2845.483    1.3505838998507796e-01    4.6290715357986217e-06
    11.00  3122.307    1.3505871226636751e-01    7.5913481721165402e-06
    12.00  3392.005    1.3505898369839717e-01    9.1370962334261935e-06
    13.00  3666.058    1.3505855743229442e-01    6.9799124694552388e-06
    14.00  3940.340    1.3505798021883944e-01    4.5925224553463532e-07
    15.00  4212.550    1.3505798693163398e-01    1.0169017995211125e-06
    16.00  4482.981    1.3505798198770855e-01    8.5670561024993826e-07
    17.00  4754.614    1.3505797443711534e-01    2.7346609577939546e-07
    18.00  5031.448    1.3505797488636048e-01    3.8523251088405328e-07
    19.00  5301.076    1.3505797319519747e-01    5.8755202495158829e-08
    20.00  5573.064    1.3505797314250687e-01    3.9419913025983259e-08
    21.00  5845.603    1.3505797312608075e-01    2.7521493074073018e-08
    22.00  6122.900    1.3505797313551790e-01    4.2793117245874559e-08
    23.00  6392.772    1.3505797313111423e-01    4.1890074841670107e-08
    24.00  6669.074    1.3505797311180467e-01    6.4099358984715955e-09
    25.00  6938.901    1.3505797311133022e-01    2.5496459530180397e-09
    26.00  7215.249    1.3505797311210344e-01    7.7999290839284888e-09
    27.00  7485.714    1.3505797311157502e-01    2.2612144644210495e-09
    28.00  7758.636    1.3505797311111900e-01    9.7405623797749051e-10
