    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059542213e-01    1.3585262750173788e-02
     1.00   394.115    1.4129548147876261e-01    1.6000331004145275e-04
     2.00   788.560    1.3845164945973831e-01    5.2183084683130393e-05
     3.00  1182.943    1.3753231465166912e-01    4.8895584982388802e-05
     4.00  1576.061    1.3707387517602826e-01    5.6054927533183332e-05
     5.00  1969.465    1.3678429001558026e-01    5.4258040732629456e-05
     6.00  2362.406    1.3658577381079876e-01    4.9526002546662818e-05
     7.00  2755.938    1.3643588604029522e-01    3.2052885404901398e-05
     8.00  3148.959    1.3632570221386223e-01    2.1699438186012929e-05
     9.00  3543.147    1.3624562270522231e-01    3.8366610213354095e-05
    10.00  3937.434    1.3616973758433257e-01    2.8994966530600726e-05
    11.00  4330.996    1.3611670748507532e-01    4.0821030461586196e-05
    12.00  4724.106    1.3606404193714194e-01    3.5294023479760912e-05
    13.00  5117.196    1.3601763500481526e-01    2.0281422959290494e-05
    14.00  5510.169    1.3598235096803424e-01    3.1276014288544052e-05
    15.00  5902.051    1.3594631584251538e-01    1.8498011829177582e-05
    16.00  6294.021    1.3591638590458746e-01    1.7224829037678347e-05
    17.00  6685.424    1.3589581615222773e-01    3.5080802563875034e-05
    18.00  7075.799    1.3586682901255875e-01    1.9790865143069009e-05
    19.00  7467.292    1.3584833892742756e-01    3.1300100348082208e-05
    20.00  7859.070    1.3582607382344880e-01    1.9014951955893858e-05
    21.00  8250.945    1.3581197309048820e-01    3.6859983127818074e-05
    22.00  8643.083    1.3578923642210772e-01    1.8910443241502153e-05
    23.00  9035.084    1.3577328466281818e-01    1.3104313955883613e-05
    24.00  9425.566    1.3576070091486173e-01    2.3872500196722469e-05
    25.00  9815.273    1.3574643263194006e-01    2.2515949466023965e-05
    26.00 10205.072    1.3574093259131906e-01    3.7232400379695840e-05
