    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059542213e-01    1.3585262750173788e-02
     0.10   286.192    1.3931670855320732e-01    2.9017447929273005e-04
     0.20   571.697    1.3634913629016429e-01    1.4562700078033387e-04
     0.30   857.314    1.3607968657280231e-01    1.4677090818615080e-04
     0.40  1143.204    1.3579519476295401e-01    9.0240845439216400e-05
     0.50  1431.172    1.3563208521016987e-01    8.2445627968098922e-05
     0.60  1725.921    1.3534256393910646e-01    4.1861708791849131e-05
     0.70  2022.017    1.3525141786811276e-01    2.1260183803023298e-05
     0.80  2317.478    1.3517158311344829e-01    2.0081468686112374e-05
     0.90  2612.974    1.3512770943967944e-01    9.7949270098878549e-06
     1.00  2906.590    1.3507363671451436e-01    1.3789775311634802e-05
     1.10  3192.249    1.3505950648039761e-01    5.8237111862402579e-06
     1.20  3477.900    1.3505846104394451e-01    3.2242303172915125e-06
     1.30  3763.679    1.3505823676678880e-01    2.3683043907389853e-06
     1.40  4049.730    1.3505809992216208e-01    1.5888138341537152e-06
     1.50  4337.756    1.3505803686730231e-01    1.0623015668993266e-06
     1.60  4632.417    1.3505799754384717e-01    5.8438835884312345e-07
     1.70  4927.761    1.3505798165952496e-01    3.1596757120253401e-07
     1.80  5223.452    1.3505797533294611e-01    1.6059111848535720e-07
     1.90  5518.965    1.3505797338674763e-01    6.8982382747716188e-08
     2.00  5812.290    1.3505797311677997e-01    1.1182674383214153e-08
     2.10  6097.776    1.3505797311201040e-01    3.7489888590921012e-09
     2.20  6383.649    1.3505797311137657e-01    1.5773142143464409e-09
     2.30  6669.212    1.3505797311107032e-01    7.5826957377734804e-10
