    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.1826524339350995e-02
     4.00     1.561    4.3826400155157247e-01    2.1634880147812282e-03
     8.00     3.131    4.2934126811366125e-01    1.0450377078193866e-03
    12.00     4.729    4.2909139410530484e-01    9.8984362708470926e-04
    16.00     6.300    4.2840261639550237e-01    7.1913021581318732e-04
    20.00     7.873    4.2827920386548274e-01    3.3119557031660639e-04
    24.00     9.449    4.2825485248971090e-01    1.7340662257888130e-04
    28.00    11.027    4.2824763772564145e-01    1.3495465873270877e-04
    32.00    12.604    4.2824220326254131e-01    1.6121867592295400e-04
    36.00    14.179    4.2823612679155026e-01    1.4122879437349160e-04
    40.00    15.786    4.2822863901767944e-01    1.1325365542718504e-04
    44.00    17.361    4.2822363281943915e-01    9.0742342010110153e-05
    48.00    18.935    4.2821903040945142e-01    1.1977345068308617e-04
    52.00    20.510    4.2821607424092101e-01    1.1612378587804854e-04
    56.00    22.082    4.2821258874984286e-01    8.7674990761933813e-05
    60.00    23.660    4.2821073893570893e-01    8.6889434975456791e-05
    64.00    25.258    4.2820732599289424e-01    4.8662103339781146e-05
    68.00    26.831    4.2820696691526944e-01    4.0767717696446284e-05
    72.00    28.412    4.2820448665158489e-01    4.4713413288095584e-05
    76.00    30.007    4.2820418801392784e-01    4.4919486474406705e-05
    80.00    31.582    4.2820249779426045e-01    2.8839227437493504e-05
    84.00    33.158    4.2820226505981723e-01    1.8643121758345459e-05
    88.00    34.748    4.2820131316210680e-01    2.9771308571244145e-05
    92.00    36.320    4.2820106265436686e-01    1.4201586827942236e-05
    96.00    37.895    4.2820052331895814e-01    1.7444141169081942e-05
   100.00    39.470    4.2820028679766675e-01    1.7177500495433555e-05
   104.00    41.049    4.2819987909802476e-01    2.5861322030322332e-05
   108.00    42.621    4.2819965603619736e-01    1.6385517586529005e-05
   112.00    44.194    4.2819929176387916e-01    1.5574429914272168e-05
   116.00    45.791    4.2819886460563200e-01    1.6740785310244140e-05
   120.00    47.365    4.2819864506226002e-01    2.0852939951539742e-05
   124.00    48.939    4.2819821841847705e-01    1.5046127140922834e-05
   128.00    50.513    4.2819807981303964e-01    1.3223222383470754e-05
   132.00    52.084    4.2819755592565312e-01    1.5336077869450495e-05
   136.00    53.661    4.2819748547216296e-01    1.3531986734961288e-05
   140.00    55.255    4.2819702865606374e-01    1.8143726630139802e-05
