    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.1826524339350995e-02
     4.00     1.556    4.6441566542291868e-01    9.5802977134526943e-03
     8.00     3.126    4.2843256129771784e-01    4.3900471023916555e-04
    16.00     6.294    4.2822821687474705e-01    9.7729722898035024e-05
    20.00     7.871    4.2821610105307245e-01    1.3336761891912259e-04
    24.00     9.442    4.2820705059926201e-01    6.3139374006084302e-05
    28.00    11.012    4.2820353644664572e-01    3.8830201895641318e-05
    32.00    12.582    4.2820181419720960e-01    2.5789982190785125e-05
    36.00    14.165    4.2820074350195320e-01    1.9568906068752365e-05
    40.00    15.753    4.2820013776615989e-01    3.2026099858639202e-05
    44.00    17.327    4.2819936096873967e-01    5.2042664261492634e-05
    48.00    18.924    4.2819829809230586e-01    2.2339917705533731e-05
    52.00    20.497    4.2819779555418641e-01    1.1793275834221394e-05
    56.00    22.071    4.2819719665570244e-01    1.3661999624755055e-05
    60.00    23.662    4.2819667166617192e-01    1.2140208404401550e-05
    64.00    25.269    4.2819633644126753e-01    1.6044310827148461e-05
    68.00    26.854    4.2819604611845868e-01    1.0479931039929615e-05
    72.00    28.441    4.2819576785710944e-01    1.9680900922882369e-05
    80.00    31.737    4.2819557099510730e-01    5.5928301074519599e-06
    84.00    33.429    4.2819549180246386e-01    6.2781032415070435e-06
    88.00    35.168    4.2819542447392300e-01    4.1277259964661952e-06
    92.00    36.797    4.2819538476371904e-01    1.4922370530426617e-05
    96.00    38.461    4.2819531727034177e-01    5.1491935033422221e-06
   100.00    40.112    4.2819528041880839e-01    3.9872940816817912e-06
   104.00    41.735    4.2819524793788394e-01    1.5792123219042487e-05
   108.00    43.375    4.2819519090887098e-01    6.6047431377382169e-06
   112.00    45.006    4.2819513501681811e-01    5.7440486690102040e-06
   116.00    46.906    4.2819507126209411e-01    5.1574780411332082e-06
   120.00    48.804    4.2819502099673096e-01    3.5563108680210138e-06
   124.00    50.726    4.2819498344530532e-01    4.1599501839741610e-06
   128.00    52.630    4.2819495718626949e-01    3.4416766485766198e-06
   136.00    56.422    4.2819491723704339e-01    2.3888216756457714e-06
   140.00    58.180    4.2819490886026085e-01    2.7010327853737587e-06
   144.00    59.938    4.2819490050697023e-01    6.0970445385149594e-06
   148.00    61.701    4.2819488465927735e-01    2.1556187479951456e-06
   152.00    63.454    4.2819487863213423e-01    2.1202344920671149e-06
   156.00    65.197    4.2819486588836203e-01    5.3844655136387039e-06
   160.00    66.932    4.2819485648073952e-01    5.0820019939469986e-06
   164.00    68.679    4.2819484622605647e-01    2.5653368664511983e-06
   168.00    70.563    4.2819483891568844e-01    1.7103131561881722e-06
   172.00    72.404    4.2819483549214027e-01    9.8280907947819662e-07
   176.00    74.243    4.2819483246323375e-01    7.5976783612421391e-07
   180.00    76.081    4.2819483064103714e-01    6.8004363422413926e-07
   184.00    77.920    4.2819482976346951e-01    5.6225009791463531e-07
   188.00    79.761    4.2819482927004943e-01    3.7904252502479402e-07
   192.00    81.633    4.2819482906068379e-01    8.2648656682164347e-07
   196.00    83.466    4.2819482883645765e-01    5.4848697692984693e-07
   200.00    85.300    4.2819482873018744e-01    2.2233656930948026e-07
   204.00    87.136    4.2819482866659381e-01    3.6144766337308582e-07
   208.00    88.978    4.2819482863375979e-01    4.6846246773780239e-07
   212.00    90.838    4.2819482858993513e-01    1.2459735466188655e-07
   216.00    92.702    4.2819482854865704e-01    9.6215830031148139e-08
   220.00    94.558    4.2819482852005381e-01    1.3871188936599301e-07
   224.00    96.405    4.2819482849042351e-01    1.2622587886487571e-07
   228.00    98.242    4.2819482845516199e-01    1.2947548266041644e-07
   232.00   100.076    4.2819482842764478e-01    1.1327627055828134e-07
   236.00   101.942    4.2819482843518419e-01    5.4262155608443167e-07
   240.00   103.838    4.2819482838722139e-01    1.1077254965809449e-07
   244.00   105.683    4.2819482836036959e-01    8.0969419488033319e-08
   248.00   107.517    4.2819482834329903e-01    6.9132814237620086e-08
   252.00   109.491    4.2819482833266254e-01    4.5098644834145504e-08
