    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.1826524339350995e-02
     1.00     5.019    4.8629011006734935e-01    1.1364450618930357e-02
     2.00     8.720    4.8227202831285587e-01    7.9533627067555294e-03
     3.00    12.417    4.6210521773215868e-01    6.2898709205222491e-03
     4.00    16.139    4.4456379915302197e-01    3.7076704606536703e-03
     5.00    19.867    4.4203875399089171e-01    5.9318862942610000e-03
     6.00    23.576    4.3697142528967797e-01    4.6282632337031398e-03
     7.00    27.304    4.3291644178631705e-01    2.8991979517187351e-03
     8.00    31.024    4.3100129294820022e-01    2.2016116952828344e-03
     9.00    34.757    4.2993709376118133e-01    1.1780421587876287e-03
    10.00    38.489    4.2916515511401360e-01    9.8873784403320244e-04
    11.00    42.194    4.2882205680467911e-01    7.7230380676578277e-04
    12.00    45.896    4.2862322938643072e-01    1.0508634603227632e-03
    13.00    49.609    4.2844723578859190e-01    5.9206624236441351e-04
    14.00    53.350    4.2832643788702723e-01    2.8805779054918881e-04
    15.00    57.091    4.2828897668591914e-01    3.4787737785008772e-04
    16.00    60.821    4.2824491584814306e-01    1.5913978345091271e-04
    17.00    64.542    4.2822569783458420e-01    1.4453268969799355e-04
    18.00    68.269    4.2821221806140441e-01    9.2840390596194127e-05
    19.00    71.982    4.2820457038808069e-01    8.0775880865608385e-05
    20.00    75.687    4.2820124513654167e-01    7.4087702675431334e-05
    21.00    79.401    4.2819818602634063e-01    4.8706185458812984e-05
    22.00    83.116    4.2819699534306810e-01    4.5330094588216553e-05
    23.00    86.850    4.2819639189999603e-01    5.0868427287176657e-05
    24.00    90.590    4.2819581149484742e-01    3.3639569925130900e-05
    25.00    94.321    4.2819533086546330e-01    2.1282063293210778e-05
    26.00    98.031    4.2819519762324948e-01    2.2084487747679970e-05
    27.00   101.739    4.2819500287947837e-01    1.2259079612434723e-05
    28.00   105.487    4.2819493734064318e-01    6.6114865104818022e-06
    29.00   109.209    4.2819489858579768e-01    6.9287868972994319e-06
    30.00   113.103    4.2819487204300521e-01    7.0646251153942649e-06
    31.00   116.990    4.2819485366299365e-01    4.7518257868189709e-06
    32.00   120.761    4.2819484328709750e-01    5.3687993228860566e-06
    33.00   124.559    4.2819483635655931e-01    2.9614200799609985e-06
    34.00   128.331    4.2819483292046961e-01    1.2794237242205871e-06
    35.00   132.119    4.2819483065199981e-01    1.1517949163229799e-06
    36.00   136.270    4.2819482993847952e-01    1.0230088286465513e-06
    37.00   140.295    4.2819482930259445e-01    1.1140553331244890e-06
    38.00   144.369    4.2819482884562077e-01    6.1797967978966545e-07
    39.00   148.268    4.2819482868950198e-01    6.0726792839715619e-07
    40.00   152.177    4.2819482855495838e-01    5.9340514273007223e-07
    41.00   156.084    4.2819482842566831e-01    2.6596412399057439e-07
    42.00   159.994    4.2819482839594164e-01    3.5467110393956782e-07
    43.00   163.939    4.2819482835056732e-01    1.4135764689507901e-07
    44.00   167.876    4.2819482833040134e-01    1.6269589865000116e-07
    45.00   171.701    4.2819482832102218e-01    1.4102140992633233e-07
    46.00   175.407    4.2819482831359484e-01    6.2605197983176193e-08
    47.00   179.102    4.2819482831097705e-01    9.2436538732720280e-08
    48.00   182.821    4.2819482830844680e-01    6.4713979838767000e-08
    49.00   186.547    4.2819482830675615e-01    3.5716165448908751e-08
    50.00   190.250    4.2819482830599009e-01    3.4625580899150455e-08
    51.00   193.949    4.2819482830545763e-01    1.4546777718488408e-08
    52.00   197.656    4.2819482830521755e-01    1.8211271487185618e-08
    53.00   201.370    4.2819482830506023e-01    2.0024599158760375e-08
    54.00   205.081    4.2819482830497513e-01    1.8525755215181720e-08
    55.00   208.807    4.2819482830485106e-01    1.1105035468032760e-08
    56.00   212.529    4.2819482830480599e-01    4.9187390547115509e-09
    57.00   216.232    4.2819482830478744e-01    5.2323258511986995e-09
    58.00   219.929    4.2819482830477335e-01    5.0942688757128197e-09
    59.00   223.640    4.2819482830477335e-01    3.9132734251388074e-09
    60.00   227.361    4.2819482830477412e-01    3.8238355598502435e-09
    61.00   231.080    4.2819482830476757e-01    3.1973381619137962e-09
    62.00   234.814    4.2819482830475442e-01    1.3245585658856573e-09
    63.00   238.527    4.2819482830475569e-01    6.2177820041371867e-10
