    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.1826524339350995e-02
     1.00     5.722    4.3279571186225202e-01    2.1738999977652931e-03
     2.00    11.484    4.3072555449733552e-01    1.6339048704487452e-03
     3.00    17.202    4.2999931515748752e-01    1.4247803450232967e-03
     4.00    22.898    4.2977944853237082e-01    1.3776083100401810e-03
     5.00    28.602    4.2939594347671339e-01    1.1322124357227902e-03
     6.00    34.318    4.2932238294383401e-01    1.3519606481466463e-03
     7.00    40.035    4.2920978035740265e-01    9.5000986681166891e-04
     8.00    45.754    4.2905908104217777e-01    9.4852836838988438e-04
     9.00    51.473    4.2890678224714468e-01    6.0646241291939670e-04
    10.00    57.238    4.2901239985565470e-01    1.3772155916919853e-03
    11.00    62.955    4.2890095606902939e-01    9.8540573775212715e-04
    12.00    68.664    4.2891763533310978e-01    1.3123329843080440e-03
    13.00    74.398    4.2873104561030101e-01    7.4912114437275393e-04
    14.00    80.098    4.2876002093281357e-01    7.4171093605744566e-04
    15.00    85.830    4.2863035994370496e-01    4.9996004424728501e-04
    16.00    91.572    4.2864703273815663e-01    6.6933141633616303e-04
    17.00    97.305    4.2872731569265016e-01    9.1477778513732568e-04
    18.00   103.031    4.2864373195994848e-01    1.0154360207780570e-03
    19.00   108.756    4.2876728322714158e-01    1.2898888990281502e-03
    20.00   114.486    4.2858272287856936e-01    5.3444128065562924e-04
    21.00   120.206    4.2853710611468976e-01    5.2217849023693122e-04
    22.00   125.941    4.2858049229007544e-01    1.1277036683606714e-03
    23.00   131.649    4.2853467869842793e-01    6.7832407790199768e-04
    24.00   137.371    4.2849838819136443e-01    6.6545892831918353e-04
    25.00   143.117    4.2857432600567480e-01    1.0371198898506207e-03
    26.00   148.854    4.2841785962719192e-01    3.1689295003363053e-04
    27.00   154.583    4.2845561354910000e-01    3.3568860903678173e-04
    28.00   160.301    4.2845520960258887e-01    4.9715717159224662e-04
    29.00   166.001    4.2852235421934620e-01    9.0691649764010525e-04
    30.00   171.695    4.2846637077026256e-01    5.6058839955150657e-04
    31.00   177.486    4.2845509945237120e-01    7.0461614356826668e-04
    32.00   183.295    4.2841771884735813e-01    3.0755483668203402e-04
    33.00   189.088    4.2842207880835653e-01    4.7595217421984078e-04
    34.00   194.876    4.2840807105981604e-01    4.7300324953975214e-04
    35.00   200.618    4.2843609691354106e-01    5.6717223609546535e-04
    36.00   206.334    4.2840240541110763e-01    4.0380646234796172e-04
    37.00   212.045    4.2839878489448213e-01    4.0170675655573743e-04
    38.00   217.759    4.2845179508164916e-01    8.9978294221881015e-04
    39.00   223.457    4.2838929584748409e-01    4.5416573983231474e-04
    40.00   229.183    4.2841253775996496e-01    6.1345845070079623e-04
    41.00   234.896    4.2841687634173897e-01    4.4368247906281631e-04
    42.00   240.614    4.2839857079643923e-01    5.0777423950060956e-04
    43.00   246.334    4.2834455652108772e-01    2.4667578071436248e-04
    44.00   252.035    4.2834364648283263e-01    2.5391525421349797e-04
    45.00   257.747    4.2834841029332055e-01    3.3798395374603373e-04
    46.00   263.474    4.2837712235654812e-01    5.4014829874749935e-04
    47.00   269.196    4.2834672841372073e-01    2.5230952700113320e-04
    48.00   274.923    4.2834431220252145e-01    2.8938317513712495e-04
    49.00   280.646    4.2838658052783601e-01    7.2134022788566780e-04
    50.00   286.358    4.2835605978039626e-01    3.4846566602827767e-04
    51.00   292.080    4.2835190594757994e-01    4.7638164687904393e-04
    52.00   297.797    4.2835371638531733e-01    3.7151187590104423e-04
    53.00   303.531    4.2833323923910799e-01    3.4527381252546607e-04
    54.00   309.261    4.2835198089470600e-01    4.2235926747207295e-04
    55.00   314.946    4.2833518583910934e-01    3.1316869942488363e-04
