    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.1826524339350995e-02
     0.10     6.562    4.3269774532390409e-01    1.1303138894485857e-03
     0.20    13.162    4.3020060390213199e-01    8.6353743195498984e-04
     0.30    19.854    4.2932843776558272e-01    6.0750451401755728e-04
     0.40    26.612    4.2891644462430906e-01    4.4952669379609046e-04
     0.50    33.418    4.2866714489358310e-01    3.9487661866765005e-04
     0.60    40.243    4.2852202050422955e-01    2.8449761649196000e-04
     0.70    47.064    4.2841997098886131e-01    2.4091322364240916e-04
     0.80    53.810    4.2833004633130067e-01    2.0134984159180216e-04
     0.90    60.490    4.2826406092123148e-01    1.4714535371876167e-04
     1.00    67.096    4.2820289697305264e-01    5.7297203150062009e-05
     1.10    73.672    4.2819534017353283e-01    1.3511868417650141e-05
     1.20    80.268    4.2819499879804773e-01    7.7545012641435462e-06
     1.30    86.947    4.2819489677260147e-01    4.7830052430643655e-06
     1.40    93.693    4.2819485593292117e-01    3.0921257013161304e-06
     1.50   100.510    4.2819483963210558e-01    2.0041490428156909e-06
     1.60   107.336    4.2819483269950087e-01    1.2866098721035865e-06
     1.70   116.778    4.2819482976716478e-01    7.2784809629426096e-07
     1.80   126.135    4.2819482866015163e-01    3.6154287553320093e-07
     1.90   135.404    4.2819482834198896e-01    1.0952871449254219e-07
     2.00   144.589    4.2819482830503669e-01    1.0886684123672900e-08
     2.10   153.710    4.2819482830477423e-01    2.3538749606648940e-09
     2.20   160.538    4.2819482830475442e-01    9.0799517193980591e-10
