    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056001268e-01    3.1116950283616701e-01
    12.00     0.563    4.4229459187716375e-01    8.8469899754541184e-02
    14.00     0.720    1.3535466569107676e-01    1.7400305150691166e-02
    16.00     0.877    8.2002234323158202e-02    1.1196063519015496e-02
    18.00     1.031    5.0138841506103593e-02    9.2923799531281093e-03
    20.00     1.185    3.2911060824888594e-02    7.2927578115650074e-03
    22.00     1.340    2.0165485806815958e-02    5.0235132368265916e-03
    24.00     1.495    1.2312010162308634e-02    3.4149999291871441e-03
    26.00     1.649    8.2663912185081158e-03    2.0099560147935507e-03
    28.00     1.806    6.6812263022972499e-03    1.0613827730059980e-03
    30.00     1.962    5.8819842250837301e-03    6.2823263049873877e-04
    32.00     2.117    5.3502101757612643e-03    5.3055128203318368e-04
    34.00     2.272    5.1870725122018600e-03    4.5039635313461605e-04
    36.00     2.426    5.0151125117245425e-03    4.2905657630333956e-04
    38.00     2.581    4.7645426497087383e-03    2.8482604642925743e-04
    40.00     2.738    4.6675177407196058e-03    2.3154073521028146e-04
    42.00     2.893    4.6003880247693337e-03    1.8198812641013126e-04
    44.00     3.048    4.4981638963469961e-03    2.1824855785659850e-04
    46.00     3.204    4.4406355528497860e-03    2.1712948623528469e-04
    48.00     3.358    4.4064253998128099e-03    1.6445557148590863e-04
    50.00     3.512    4.3468215196027730e-03    1.5881803091843331e-04
    52.00     3.666    4.3204767010259415e-03    1.7720429392908095e-04
    54.00     3.821    4.3008196472659691e-03    1.7705882356510759e-04
    56.00     3.977    4.2400229528077090e-03    1.2218386298053197e-04
    58.00     4.130    4.1785340832831116e-03    1.6045056614686485e-04
    60.00     4.285    4.1676059768799827e-03    1.4433282480490073e-04
    62.00     4.439    4.1430225263139817e-03    1.0118450768222902e-04
    64.00     4.594    4.1110553484936070e-03    1.0131446035935754e-04
    66.00     4.748    4.1051035789912947e-03    9.3229839967329576e-05
    68.00     4.904    4.0964671494224010e-03    8.3083897057206651e-05
    70.00     5.060    4.0616198299026941e-03    7.0518839938028003e-05
    72.00     5.219    4.0299811317678390e-03    7.7398994639040882e-05
    74.00     5.374    4.0259509932819276e-03    6.7694747705384986e-05
    76.00     5.528    4.0153162380082213e-03    6.1376057233492024e-05
    78.00     5.683    3.9936262119815973e-03    7.5424854775832243e-05
    80.00     5.839    3.9871743011769449e-03    6.5052973609294599e-05
    82.00     5.994    3.9827028834046744e-03    5.5074899706397371e-05
    84.00     6.149    3.9673294150549205e-03    4.2132233785648856e-05
    86.00     6.305    3.9566534230133640e-03    5.1434848061718712e-05
    88.00     6.462    3.9553324428642980e-03    5.7488855865504481e-05
    90.00     6.616    3.9505216551145340e-03    5.1619315453090687e-05
    92.00     6.770    3.9364159601887935e-03    5.5171119774682344e-05
    94.00     6.923    3.9296472835779524e-03    5.3907154274910688e-05
    96.00     7.078    3.9281988225754860e-03    4.1522264257218822e-05
    98.00     7.232    3.9228738885221407e-03    3.8372143864073179e-05
   100.00     7.388    3.9165700264569454e-03    4.3412915444488772e-05
   102.00     7.542    3.9154230057562960e-03    3.7041190269334136e-05
   104.00     7.697    3.9126540958763526e-03    3.5101450212373338e-05
   106.00     7.851    3.9039113023725432e-03    4.4615546035250881e-05
   108.00     8.004    3.8993905778021195e-03    3.5281406065923341e-05
