    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056001268e-01    3.1116950283616701e-01
     2.00     0.207    3.6657285862230765e-01    1.0416869671474352e-01
     3.00     0.397    2.1088950509732060e-01    4.5370204991480451e-02
     4.00     0.688    8.8253098988912690e-02    2.2541977356102236e-02
     5.00     0.976    4.1983658467166382e-02    9.5615519652931160e-03
     6.00     1.391    1.6850736179333997e-02    3.7385818806788857e-03
     7.00     1.803    7.6799146369861595e-03    1.3758153177402712e-03
     8.00     2.251    4.8077511281307463e-03    4.9285850112592720e-04
     9.00     3.068    4.0390795474711493e-03    1.7492479328058805e-04
    10.00     3.996    3.8843689791212407e-03    4.7074497434381965e-05
    11.00     5.077    3.8659238422098672e-03    7.0709240029826463e-06
    12.00     6.558    3.8653391253123145e-03    2.4949354990854713e-07
    13.00     8.746    3.8653381680293190e-03    4.1643517672149807e-10
