    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056001268e-01    3.1116950283616701e-01
     8.00     0.292    3.1257001370462839e-01    7.5074868363566860e-02
    12.00     0.432    2.3726711465557654e-01    3.8842710894747889e-02
    16.00     0.572    9.8436415640024255e-02    1.3680430074602956e-02
    20.00     0.711    5.7059704045638454e-02    6.8876411782193099e-03
    24.00     0.848    3.4660801541935828e-02    5.6438613563577263e-03
    28.00     0.985    2.3419605189623119e-02    3.9405895941315118e-03
    32.00     1.128    1.3886743658502732e-02    3.1613028180671209e-03
    36.00     1.265    9.8065703584441152e-03    1.6102471628977098e-03
    40.00     1.402    6.9452047004493356e-03    9.1940377031654640e-04
    48.00     1.680    5.2413907046615351e-03    3.4363542993248980e-04
    52.00     1.820    4.9090483978512780e-03    2.5273160629564587e-04
    56.00     1.959    4.7493967774094713e-03    5.6497930457828464e-04
    60.00     2.101    4.5223627070733168e-03    2.3511335178296589e-04
    64.00     2.245    4.3234428052645185e-03    7.8278901634837631e-05
    68.00     2.385    4.2540792560679282e-03    1.0119635197660686e-04
    72.00     2.522    4.1314243490130857e-03    8.4367510769224469e-05
    76.00     2.662    4.0666897643538017e-03    1.1235497944818072e-04
    84.00     2.958    4.0522333265736437e-03    8.3199065170253621e-05
    92.00     3.242    3.9953898515673707e-03    5.6888235705633994e-05
   100.00     3.562    3.9716264122116969e-03    9.3550752685246809e-05
   104.00     3.707    3.9542012573156654e-03    7.3534564331501225e-05
   108.00     3.858    3.9296440343012115e-03    3.6759695525881604e-05
   112.00     4.010    3.9189257498987353e-03    1.1125206205329439e-04
   116.00     4.154    3.9051307086305801e-03    4.4554538592271307e-05
   120.00     4.302    3.9035405908814792e-03    4.4031614813723667e-05
   124.00     4.463    3.8887076056261065e-03    2.8922494886168770e-05
   132.00     4.779    3.8876486041905583e-03    3.5426329298001481e-05
   136.00     4.925    3.8862674165439188e-03    3.4997099690221705e-05
   140.00     5.089    3.8825880555126966e-03    2.9037431994219151e-05
   144.00     5.253    3.8738697312553005e-03    1.9113405803995413e-05
   148.00     5.398    3.8726153548019554e-03    2.2332804670257417e-05
   152.00     5.547    3.8716887553888616e-03    1.5358308039827815e-05
   156.00     5.684    3.8702389436873980e-03    1.2950627611162713e-05
   168.00     6.098    3.8681211111215156e-03    8.8698778906201023e-06
   180.00     6.526    3.8669894579806026e-03    7.3935774044753443e-06
   184.00     6.675    3.8668659052018932e-03    7.0839701501900130e-06
   188.00     6.815    3.8661946808740853e-03    6.5433819568742423e-06
   192.00     6.953    3.8660674608860146e-03    3.8035592286583498e-06
   196.00     7.091    3.8659583609705231e-03    7.3588901787817467e-06
   212.00     7.672    3.8657963562600487e-03    4.6547520364793774e-06
   216.00     7.811    3.8656920304121324e-03    5.3702896743374254e-06
   220.00     7.948    3.8656130092196571e-03    4.2711405542044890e-06
   224.00     8.090    3.8655633709372295e-03    3.1764934599882351e-06
   228.00     8.228    3.8655029470025994e-03    3.2487886854871257e-06
   236.00     8.524    3.8654875810031240e-03    3.4066425362307045e-06
   240.00     8.666    3.8654679826889797e-03    3.2797491551518813e-06
   244.00     8.808    3.8654396688716655e-03    1.6639232462363392e-06
   248.00     8.955    3.8654156765679511e-03    1.8703060797867952e-06
   252.00     9.099    3.8654022196619219e-03    1.6007947159349361e-06
   256.00     9.237    3.8653913319354697e-03    1.4512457426185914e-06
   260.00     9.374    3.8653835190883916e-03    1.5039720119362134e-06
   264.00     9.512    3.8653749637828556e-03    1.0627536969845818e-06
   268.00     9.650    3.8653667844509186e-03    1.3430323981238842e-06
   272.00     9.786    3.8653625387569217e-03    1.1752887833974906e-06
   276.00     9.936    3.8653600531105411e-03    1.6124153031534215e-06
   280.00    10.075    3.8653534311443938e-03    8.6943934327105116e-07
   284.00    10.214    3.8653503985474312e-03    6.2875398972716813e-07
   288.00    10.352    3.8653472849137218e-03    4.4453742933467148e-07
   292.00    10.491    3.8653467647483011e-03    6.2833577426143412e-07
   296.00    10.628    3.8653453740553172e-03    3.4633265243987992e-07
   300.00    10.766    3.8653438732739569e-03    6.3358177881477870e-07
   304.00    10.905    3.8653429657846744e-03    4.0849465281015066e-07
   308.00    11.042    3.8653420824169196e-03    4.4725270276851690e-07
   312.00    11.181    3.8653417881390041e-03    5.2343804719136972e-07
   316.00    11.321    3.8653408884406024e-03    2.5337146062077287e-07
   320.00    11.457    3.8653401418830362e-03    4.7069607860832632e-07
   324.00    11.597    3.8653398918259297e-03    3.1613920280195802e-07
   328.00    11.735    3.8653392601817865e-03    3.5534321291116463e-07
   332.00    11.872    3.8653390441248919e-03    2.0950039153083778e-07
   336.00    12.011    3.8653389342743205e-03    1.8520228185225793e-07
   340.00    12.149    3.8653396225769910e-03    7.2647348013485960e-07
   344.00    12.287    3.8653386777905098e-03    1.7420914634144903e-07
   348.00    12.426    3.8653385391580770e-03    1.2426960654443370e-07
   352.00    12.563    3.8653384900833960e-03    1.1015276738742323e-07
   356.00    12.702    3.8653384257465260e-03    6.0632280559888877e-08
   360.00    12.840    3.8653383913965569e-03    8.1015077274066089e-08
   364.00    12.976    3.8653383451700040e-03    6.7307976717257655e-08
   368.00    13.116    3.8653382852264348e-03    6.7023180848433273e-08
   372.00    13.255    3.8653382588778170e-03    8.0979891241020422e-08
   376.00    13.392    3.8653382359586791e-03    7.3515114808456311e-08
   380.00    13.531    3.8653382166361668e-03    4.3313994556483512e-08
   384.00    13.671    3.8653382031049095e-03    4.0692173272925633e-08
   388.00    13.809    3.8653382010238411e-03    3.2402980253393409e-08
   392.00    13.948    3.8653381929847821e-03    2.1764013680220982e-08
   396.00    14.085    3.8653381885208685e-03    3.6401597918675369e-08
   400.00    14.224    3.8653381846971099e-03    2.9663610073014910e-08
   404.00    14.362    3.8653381789084795e-03    2.1369926094983610e-08
   408.00    14.500    3.8653385051428527e-03    6.4002832961936189e-07
   412.00    14.638    3.8653381747051924e-03    1.3299317784628116e-08
   416.00    14.775    3.8653381739145714e-03    1.2010708338369691e-08
   420.00    14.914    3.8653381755724466e-03    7.5609346031875951e-08
   424.00    15.052    3.8653381709849860e-03    1.0741983546870830e-08
   428.00    15.190    3.8653381701547716e-03    8.4024754225207605e-09
   432.00    15.328    3.8653381712342900e-03    3.8624752658295733e-08
   436.00    15.466    3.8653381695030742e-03    7.2376132673241018e-09
   440.00    15.604    3.8653381690608420e-03    5.8187393245714980e-09
   444.00    15.741    3.8653381688331353e-03    5.6420445898272033e-09
   448.00    15.879    3.8653381687139155e-03    4.4021817795041820e-09
   452.00    16.016    3.8653381685733700e-03    4.9256617407620381e-09
   456.00    16.155    3.8653381685060401e-03    3.3487201673289789e-09
   460.00    16.294    3.8653381684329202e-03    3.3471392665981523e-09
   464.00    16.430    3.8653381683757980e-03    4.4581898402121846e-09
   468.00    16.569    3.8653381683074473e-03    3.7674222853853635e-09
   472.00    16.708    3.8653381682387921e-03    3.1708184623268324e-09
   476.00    16.845    3.8653381681786054e-03    3.3153593992548615e-09
   480.00    16.984    3.8653381681529710e-03    5.4811966305560793e-09
   484.00    17.124    3.8653381681316434e-03    1.8252291219304606e-09
   488.00    17.263    3.8653381681056625e-03    2.9473935768928349e-09
   492.00    17.401    3.8653381680844863e-03    9.0356628068711121e-10
