    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056001268e-01    3.1116950283616701e-01
     1.00     0.431    1.5284746748231157e-01    2.1935850752340620e-02
     2.00     0.781    1.2017904296776045e-01    1.8429664794047416e-02
     3.00     1.131    8.4640870679095315e-02    1.3255345930379692e-02
     4.00     1.481    5.9616437937168303e-02    1.2791329724414930e-02
     5.00     1.831    4.2557306176386478e-02    5.7443782421124695e-03
     6.00     2.181    3.5493380623098161e-02    8.6222820902048681e-03
     7.00     2.531    2.8370113266557175e-02    4.7033658407008311e-03
     8.00     2.882    2.8689298085072576e-02    1.2077941255117592e-02
     9.00     3.231    3.0222471788394975e-02    1.6460357103589455e-02
    10.00     3.581    2.8492326150312105e-02    1.6473427381129117e-02
    11.00     3.931    1.8158962386612212e-02    2.8244578440108268e-03
    12.00     4.283    1.7231746158973400e-02    4.2613802712950502e-03
    13.00     4.632    1.5856333255296486e-02    2.9031558112577759e-03
    14.00     4.980    1.4878973447002015e-02    2.6474778526248640e-03
    15.00     5.329    1.3888525503543671e-02    1.0815086817117967e-03
    16.00     5.679    1.3244666488376647e-02    1.5874181636223871e-03
    17.00     6.031    1.2587519546703514e-02    9.4571483863117574e-04
    18.00     6.383    1.2075341395801501e-02    1.3690417808484019e-03
    19.00     6.733    1.1572165894908689e-02    1.1083521086564653e-03
    20.00     7.082    1.1131976482755832e-02    8.5990105494052581e-04
    21.00     7.433    1.0758696227385602e-02    1.0221783913146572e-03
    22.00     7.783    1.0408270818592183e-02    8.8974362002958531e-04
    23.00     8.132    1.0090231967187909e-02    7.3463935239074715e-04
    24.00     8.483    9.8015959856941892e-03    6.7477114374246759e-04
    25.00     8.834    9.5363483352465268e-03    5.9684895278673512e-04
    26.00     9.183    9.2936647494245850e-03    6.9374492898595873e-04
    27.00     9.531    9.0641071767764893e-03    5.7207802660454122e-04
    28.00     9.883    8.8520773809730030e-03    5.3277865446638899e-04
    29.00    10.234    8.6543204900460056e-03    5.0962803675516568e-04
    30.00    10.588    8.4697593809766429e-03    5.2661284633620758e-04
    31.00    10.945    8.2965965318918342e-03    4.9014356570947824e-04
    32.00    11.296    8.1346291860244328e-03    5.4158134696894182e-04
    33.00    11.651    7.9818391901151173e-03    5.3653271845962810e-04
    34.00    12.004    7.8369449777658320e-03    4.6670907514626713e-04
    35.00    12.358    7.7005144051016799e-03    4.3637960452861914e-04
    36.00    12.717    7.5717420636628747e-03    4.2159715753650989e-04
    37.00    13.070    7.4498518817385723e-03    4.4288383321745622e-04
    38.00    13.423    7.3337256435925388e-03    3.9607715095526071e-04
    39.00    13.777    7.2239314457132782e-03    4.1263544668095460e-04
    40.00    14.132    7.1192018031720518e-03    3.8945059771599362e-04
    41.00    14.486    7.0195473859829514e-03    3.8102217902343172e-04
    42.00    14.838    6.9244933199387546e-03    3.7123439775351276e-04
    43.00    15.194    6.8338830906717963e-03    3.5380444032693929e-04
    44.00    15.547    6.7473625347295486e-03    3.6293703384900110e-04
    45.00    15.917    6.6645955065610220e-03    3.5242565673609136e-04
    46.00    16.288    6.5855100311874712e-03    3.4168549734479278e-04
    47.00    16.642    6.5098975914383529e-03    3.2675296820037619e-04
    48.00    16.994    6.4374901823363471e-03    3.1922114702037088e-04
    49.00    17.349    6.3679975366165266e-03    3.2040123030999704e-04
    50.00    17.702    6.3013478363627261e-03    3.1693182506129343e-04
    51.00    18.054    6.2373120638944306e-03    3.1412855295515334e-04
    52.00    18.409    6.1757236870144524e-03    2.9211114953213760e-04
    53.00    18.762    6.1165866814452676e-03    2.9787861783545024e-04
    54.00    19.112    6.0597107121422708e-03    2.9568874701166791e-04
    55.00    19.467    6.0048644023393315e-03    2.7973663875104624e-04
    56.00    19.820    5.9521465384756653e-03    2.7779049803911438e-04
    57.00    20.172    5.9013187672804935e-03    2.7605855831712531e-04
