    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     4.00     0.026    3.3088184644858720e-01    1.3733543235991966e-02
     8.00     0.052    3.2018991047010087e-01    1.3614234867927958e-02
    12.00     0.078    2.5565505419712653e-01    1.2659316673160340e-02
    16.00     0.104    2.4540270603057462e-01    2.0539886595040885e-02
    20.00     0.130    2.0221257829517031e-01    3.9779223477864291e-03
    24.00     0.156    2.0038933161510031e-01    5.1768357498073918e-03
    28.00     0.184    1.9526756687584135e-01    2.0756723775373948e-03
    32.00     0.211    1.9413789903913609e-01    1.3534617910956497e-03
    36.00     0.239    1.9346099378803652e-01    1.4702553978760478e-03
    40.00     0.265    1.9215036187837956e-01    2.1257632081716831e-03
    44.00     0.291    1.9157229425048936e-01    1.2888517133555124e-03
    48.00     0.316    1.8842545343498557e-01    9.2693469411687186e-04
    52.00     0.341    1.8837382413386222e-01    5.7619343253240065e-04
    56.00     0.366    1.8821064455785358e-01    2.1629014466890615e-04
    60.00     0.393    1.8820076528309179e-01    1.9075629417172364e-04
    64.00     0.417    1.8817288803961821e-01    2.4760631702016933e-04
    68.00     0.442    1.8813970963171778e-01    1.8138118970920455e-04
    72.00     0.468    1.8813497363523510e-01    1.1713335997765002e-04
    76.00     0.492    1.8812686242709456e-01    5.0943229852331060e-05
    80.00     0.519    1.8812655078892462e-01    5.0593690695761261e-05
    84.00     0.547    1.8812308257234034e-01    9.6304789080792628e-05
    88.00     0.574    1.8812264424006450e-01    6.4262707209611919e-05
    92.00     0.599    1.8812063858788641e-01    2.8027280914863671e-05
    96.00     0.625    1.8812033185626656e-01    1.1235969021856525e-05
