    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     4.00     0.026    3.0751558016907893e-01    1.2657839059433150e-02
     8.00     0.053    1.9458260106936492e-01    4.6177540665844775e-03
    12.00     0.080    1.8841398559079345e-01    7.0042090613335617e-04
    16.00     0.107    1.8813067763932875e-01    9.4937355457188548e-05
    20.00     0.134    1.8812041430399851e-01    1.6390766374048289e-05
    24.00     0.160    1.8812011989209693e-01    2.2066749905747852e-06
    28.00     0.188    1.8812010522986819e-01    5.4130043783829750e-07
    32.00     0.214    1.8812010465145251e-01    9.7220705726382139e-08
    36.00     0.239    1.8812010464181231e-01    6.5583569510347368e-08
    40.00     0.265    1.8812010464086804e-01    3.9599481803191932e-09
    44.00     0.290    1.8812010464086104e-01    7.8833044630491518e-10
