    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     0.10     0.004    4.5804128029213020e-01    4.4634601465172348e-02
     0.20     0.009    3.9527681383135121e-01    3.4862509341891564e-02
     0.30     0.013    2.9888490864664652e-01    3.0702767279940490e-02
     0.40     0.018    2.4139409495116884e-01    2.2042678373697638e-02
     0.50     0.022    2.2293205953360751e-01    1.4816192098707628e-02
     0.60     0.027    2.0458221546515146e-01    1.0494222197447530e-02
     0.70     0.031    1.9794826547420291e-01    4.0275065401081424e-03
     0.80     0.036    1.9466051945363944e-01    2.1678323208435928e-03
     0.90     0.041    1.9092698475282538e-01    2.1351858065158276e-03
     1.00     0.045    1.8978868304873484e-01    2.4914358388567486e-03
     1.10     0.050    1.8925002771334082e-01    2.0534024778816684e-03
     1.20     0.054    1.8875835602102434e-01    1.3488174212421579e-03
     1.30     0.059    1.8844744651478862e-01    8.4322137938487270e-04
     1.40     0.064    1.8831790749895103e-01    6.1216351208626487e-04
     1.50     0.069    1.8824629961135292e-01    4.2505142716067014e-04
     1.60     0.073    1.8818978016120888e-01    3.1406059553842544e-04
     1.70     0.078    1.8815367231183960e-01    2.3161949841520531e-04
     1.80     0.082    1.8813220751068796e-01    1.7044567676734450e-04
     1.90     0.087    1.8812690131221321e-01    1.4686589381550442e-04
     2.00     0.091    1.8812374471849749e-01    1.2072552308431354e-04
     2.10     0.096    1.8812114353211862e-01    6.5853115425852424e-05
     2.20     0.100    1.8812034038468825e-01    2.7440904381964332e-05
     2.30     0.104    1.8812016783892582e-01    1.1880656800781163e-05
     2.40     0.109    1.8812012858339547e-01    6.0698549360890580e-06
     2.50     0.113    1.8812011503367862e-01    3.9909329666113500e-06
     2.60     0.117    1.8812010772239576e-01    2.1595180127254650e-06
     2.70     0.122    1.8812010499773876e-01    8.0699958004542280e-07
     2.80     0.126    1.8812010472553919e-01    4.7493370812857810e-07
     2.90     0.130    1.8812010466247869e-01    2.6742629400519830e-07
     3.00     0.134    1.8812010464677073e-01    1.4697033405741591e-07
     3.10     0.138    1.8812010464116838e-01    3.8191820348452716e-08
     3.20     0.143    1.8812010464087478e-01    7.1703047241144591e-09
     3.30     0.147    1.8812010464086051e-01    1.4019701172690103e-09
     3.40     0.151    1.8812010464086024e-01    3.9282225508443375e-10
