    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     1.00     0.023    2.5526802606281301e-01    1.3495119916329118e-02
     2.00     0.043    2.1107512884579377e-01    6.3607239966942180e-03
     3.00     0.064    1.9116797563719901e-01    2.6900682644044631e-03
     4.00     0.084    1.9046195905892654e-01    3.2433253785438365e-03
     5.00     0.101    1.8858440292414472e-01    1.2467496964777233e-03
     6.00     0.121    1.8830540501141260e-01    7.6600862581629927e-04
     7.00     0.142    1.8826030224499585e-01    7.3720409006498865e-04
     8.00     0.165    1.8815872147999013e-01    3.6690022763739578e-04
     9.00     0.187    1.8813474086076745e-01    2.1892761231992144e-04
    10.00     0.209    1.8812356440437203e-01    1.0295537028721184e-04
    11.00     0.231    1.8812261781453843e-01    8.2040311692711199e-05
    12.00     0.253    1.8812189448093114e-01    1.0808264297131837e-04
    13.00     0.276    1.8812030275503219e-01    2.9768077733151981e-05
    14.00     0.300    1.8812020302821908e-01    1.4017260299213202e-05
    15.00     0.323    1.8812019291292284e-01    1.6325751113908786e-05
    16.00     0.347    1.8812011804565529e-01    8.3673745663402209e-06
    17.00     0.367    1.8812011613753704e-01    7.2672611399245767e-06
    18.00     0.386    1.8812010666178555e-01    3.0098603448161390e-06
    19.00     0.405    1.8812010592724698e-01    2.2171426990878529e-06
    20.00     0.424    1.8812010500861820e-01    1.3347111481886811e-06
    21.00     0.446    1.8812010479796354e-01    1.0127423379415002e-06
    22.00     0.466    1.8812010471209117e-01    7.0391698659589588e-07
    23.00     0.487    1.8812010469730525e-01    6.1952546426088255e-07
    24.00     0.509    1.8812010465595991e-01    3.1097258198585617e-07
    25.00     0.529    1.8812010465432952e-01    2.7488897847124439e-07
    26.00     0.551    1.8812010464443918e-01    1.0155434106807718e-07
    27.00     0.574    1.8812010464139967e-01    4.3948350547742289e-08
    28.00     0.597    1.8812010464096482e-01    1.8966769829297132e-08
    29.00     0.620    1.8812010464099652e-01    3.2658757524542007e-08
