    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     1.00     0.023    2.5015530819997206e-01    8.5391723345166932e-03
     2.00     0.042    2.2933624488890067e-01    6.0897571492981063e-03
     3.00     0.061    2.2043400616179390e-01    5.4455355451328803e-03
     4.00     0.079    2.1535405360371254e-01    4.5792968306923431e-03
     5.00     0.097    2.1208765344856537e-01    4.1655958974965825e-03
     6.00     0.115    2.0980795503137323e-01    3.9192777682091531e-03
     7.00     0.133    2.0806928058692256e-01    3.6702241178089893e-03
     8.00     0.150    2.0665445585806697e-01    3.4166903431500574e-03
     9.00     0.168    2.0558833930250930e-01    3.3931787319649380e-03
    10.00     0.187    2.0464887654595404e-01    3.1631849879769952e-03
    11.00     0.207    2.0386272700319080e-01    3.0068920472389148e-03
    12.00     0.224    2.0320482208336255e-01    2.9491807481659489e-03
    13.00     0.240    2.0267792384506478e-01    2.9244965545231487e-03
    14.00     0.257    2.0216224331720578e-01    2.7893697747352875e-03
    15.00     0.276    2.0172000676013657e-01    2.7272737433334995e-03
    16.00     0.295    2.0129901106645856e-01    2.5914682393339186e-03
    17.00     0.312    2.0093584319815949e-01    2.6330225217432945e-03
    18.00     0.330    2.0061939158236136e-01    2.5864890977595105e-03
    19.00     0.348    2.0032399286716279e-01    2.5681803331592213e-03
    20.00     0.365    2.0004050308871449e-01    2.5102869810645534e-03
    21.00     0.383    1.9978254420447658e-01    2.4564234887865426e-03
    22.00     0.402    1.9955251102815449e-01    2.4340724353900927e-03
    23.00     0.420    1.9933051617686948e-01    2.3896311735942949e-03
    24.00     0.436    1.9912083326289376e-01    2.3666198851076529e-03
    25.00     0.452    1.9892761714337145e-01    2.3429390254297603e-03
    26.00     0.470    1.9873848042013786e-01    2.2863753501918636e-03
    27.00     0.490    1.9857421358083654e-01    2.2642645553451082e-03
    28.00     0.507    1.9842020680973294e-01    2.2222547736478193e-03
    29.00     0.523    1.9826845882125113e-01    2.2130891767323550e-03
    30.00     0.540    1.9812838076975051e-01    2.1931769611029791e-03
    31.00     0.558    1.9799570691420446e-01    2.1807682112626463e-03
    32.00     0.577    1.9785903892830684e-01    2.1029777029533750e-03
    33.00     0.595    1.9773157368994432e-01    2.0749967016863769e-03
    34.00     0.613    1.9761092731448565e-01    2.0568621489531272e-03
