    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882489462466956e-01
     0.10     1.100    3.8063403712457355e-01    4.3919369674354503e-03
     0.20     2.759    3.7926437390086193e-01    3.1001247083766170e-03
     0.30     4.637    3.7865955021476194e-01    2.5284594024892471e-03
     0.40     6.012    3.7830108887111447e-01    2.1894399864357261e-03
     0.50     7.223    3.7805639040712069e-01    1.9578429839470779e-03
     0.60     8.338    3.7787545966491726e-01    1.7865466629083393e-03
     0.70     9.416    3.7773540496361502e-01    1.6539165768896247e-03
     0.80    10.405    3.7762255842676434e-01    1.5470408978033312e-03
     0.90    11.230    3.7752886552974474e-01    1.4583016825397976e-03
     1.00    12.066    3.7744947815616564e-01    1.3831002850968055e-03
     1.10    12.947    3.7681318092867239e-01    7.8001204906508192e-04
     1.20    13.804    3.7669019147099253e-01    6.6342620028203569e-04
     1.30    14.646    3.7660673778802917e-01    5.8429755533717653e-04
     1.40    15.475    3.7653967903835195e-01    5.2072891804488819e-04
     1.50    16.301    3.7648048649351140e-01    4.6461434517874878e-04
     1.60    17.164    3.7642510186769507e-01    4.1210618875275884e-04
     1.70    17.994    3.7637125839904934e-01    3.6106279751102477e-04
     1.80    18.823    3.7631691661214689e-01    3.0955573499591438e-04
     1.90    19.655    3.7626013285773874e-01    2.5575114093623341e-04
     2.00    20.671    3.7619924085604728e-01    1.9806863302118671e-04
     2.10    21.832    3.7616813035022401e-01    1.6860307754296144e-04
     2.20    22.836    3.7614593553087655e-01    1.4758716343088452e-04
     2.30    23.864    3.7612665365139447e-01    1.2933360394207227e-04
     2.40    25.752    3.7610920431054873e-01    1.1281606875712669e-04
     2.50    27.573    3.7609306866140169e-01    9.7545440606694456e-05
     2.60    34.128    3.7607809018863564e-01    8.3373886766935357e-05
     2.70    38.895    3.7606441702130894e-01    7.0441756957251300e-05
     2.80    40.977    3.7605225062438075e-01    5.8938343354242306e-05
     2.90    42.639    3.7604192962088445e-01    4.9185378511396038e-05
     3.00    44.094    3.7603400258020164e-01    4.1700510513109634e-05
     3.10    45.267    3.7602809219962713e-01    3.6122934355731218e-05
     3.20    46.474    3.7602293365708755e-01    3.1257065275624996e-05
     3.30    47.463    3.7601830745279630e-01    2.6896162172995730e-05
     3.40    48.462    3.7601419900347305e-01    2.3023440790304051e-05
     3.50    49.332    3.7601056722517151e-01    1.9578573324352533e-05
     3.60    50.175    3.7600739861713461e-01    1.6569124811738334e-05
     3.70    51.059    3.7600471323003004e-01    1.4015124027544346e-05
     3.80    52.219    3.7600248325431779e-01    1.1891441669575897e-05
     3.90    57.185    3.7600065403416633e-01    1.0147336746868518e-05
     4.00    59.280    3.7599914790330247e-01    8.7091900846658632e-06
     4.10    61.076    3.7599785648535144e-01    7.4737081625642077e-06
     4.20    62.559    3.7599672825083386e-01    6.3917022661286182e-06
     4.30    64.879    3.7599574471802322e-01    5.4458076030883262e-06
     4.40    67.039    3.7599490059918123e-01    4.6312768029466156e-06
     4.50    68.452    3.7599418171081356e-01    3.9347301461489792e-06
     4.60    69.624    3.7599357370795411e-01    3.3428610350938470e-06
     4.70    70.613    3.7599300868741320e-01    2.8441378976395981e-06
     4.80    71.603    3.7599259526213880e-01    2.4279986581277058e-06
     4.90    73.175    3.7599224211601628e-01    2.0687121446982815e-06
     5.00    74.757    3.7599194140646131e-01    1.7592795753529344e-06
     5.10    77.461    3.7599168461800181e-01    1.4923404538791374e-06
     5.20    80.867    3.7599146498623420e-01    1.2631685368802437e-06
     5.30    84.773    3.7599127613708661e-01    1.0666507810341841e-06
     5.40    89.552    3.7599111838904942e-01    9.0091289006721809e-07
     5.50    96.275    3.7599098375005879e-01    7.6140681670722188e-07
     5.60   112.806    3.7599086683444394e-01    6.4333615146239254e-07
     5.70   123.404    3.7599076921910329e-01    5.4294979889846218e-07
     5.80   134.553    3.7599069058294182e-01    4.5498332923443741e-07
     5.90   138.965    3.7599063463391225e-01    3.7842196931592298e-07
     6.00   143.934    3.7599058951648356e-01    3.1304444370050533e-07
     6.10   158.522    3.7599055376706103e-01    2.5765131361765725e-07
     6.20   166.539    3.7599052541869177e-01    2.1035672048697052e-07
     6.30   172.565    3.7599050315566257e-01    1.7068832214306440e-07
     6.40   180.867    3.7599048622232345e-01    1.3787606967241572e-07
     6.50   192.555    3.7599047416595854e-01    1.1045973913326179e-07
     6.60   206.883    3.7599046580063084e-01    8.7281989635812351e-08
     6.70   226.988    3.7599045999438324e-01    6.8342790982001134e-08
     6.80   239.324    3.7599045599473524e-01    5.2738299061161342e-08
     6.90   262.086    3.7599045334119763e-01    3.9965110332218501e-08
     7.00   276.286    3.7599045165183564e-01    2.9703373982670200e-08
     7.10   291.668    3.7599045063445863e-01    2.1651096915320522e-08
     7.20   316.884    3.7599045005232729e-01    1.5334373770770071e-08
     7.30   334.847    3.7599044973095652e-01    1.0412463780085091e-08
     7.40   362.360    3.7599044957104516e-01    7.0069425817109732e-09
     7.50   393.332    3.7599044949377475e-01    4.5765400358277475e-09
     7.60   415.298    3.7599044945857923e-01    2.8827837894596087e-09
     7.70   454.407    3.7599044944384524e-01    1.7581864852900253e-09
     7.80   502.708    3.7599044943797849e-01    1.0264820105021499e-09
     7.90   544.297    3.7599044943590121e-01    5.7454307977877761e-10
