    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882489462466956e-01
     2.00     2.995    4.4102269756953538e-01    5.7859300181456796e-02
     3.00     4.550    4.0110931543734507e-01    2.3304526016621474e-02
     4.00     6.110    3.8576152021803806e-01    9.2112010755421303e-03
     5.00     7.630    3.7989659986868668e-01    3.7036099174443393e-03
     6.00     9.189    3.7756525629276827e-01    1.4960702389954506e-03
     7.00    10.722    3.7660631405110773e-01    5.8548573626449052e-04
     8.00    12.281    3.7622679684235127e-01    2.2490136021402485e-04
     9.00    13.821    3.7607996815005829e-01    8.5418601910358660e-05
    10.00    15.359    3.7602393423992320e-01    3.2157694990431196e-05
    11.00    16.899    3.7600277752869793e-01    1.1974435259576310e-05
    12.00    18.452    3.7599488549155630e-01    4.4152779901107664e-06
    13.00    20.106    3.7599191126518589e-01    1.5826038768373962e-06
    14.00    21.869    3.7599087437117196e-01    5.5209884841644907e-07
    15.00    23.638    3.7599053455416198e-01    1.7492794945894730e-07
    16.00    25.432    3.7599045689615246e-01    3.8994118156665536e-08
    17.00    27.271    3.7599044951888022e-01    3.8641445598841528e-09
    18.00    29.289    3.7599044943496146e-01    6.6423311295693566e-11
