    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     0.10     0.040    3.4840297209796234e-01    2.2691372507220531e-02
     0.20     0.082    3.3786715859206273e-01    1.5814696785200644e-02
     0.30     0.123    3.3365740015207679e-01    1.0960872801646149e-02
     0.40     0.162    3.3164867205158916e-01    9.4748337777903480e-03
     0.50     0.203    3.3022778055935476e-01    8.1250943815882604e-03
     0.60     0.242    3.2916185628403533e-01    6.3854147199129407e-03
     0.70     0.282    3.2841464065321307e-01    6.4232385346816301e-03
     0.80     0.322    3.2774320289258069e-01    6.4665320332235598e-03
     0.90     0.361    3.2714513752606439e-01    6.5647951574534513e-03
     1.00     0.403    3.2675786261655393e-01    5.7374835166308369e-03
     1.10     0.443    3.2497368151380784e-01    2.6502405019783737e-03
     1.20     0.483    3.2470168559982532e-01    1.9990169819008585e-03
     1.30     0.523    3.2456425558662855e-01    1.5919171802247778e-03
     1.40     0.562    3.2448299621519133e-01    1.2992286475732584e-03
     1.50     0.602    3.2442106601028081e-01    1.0503587681016668e-03
     1.60     0.641    3.2437512623477355e-01    8.3673937138106780e-04
     1.70     0.681    3.2434107732257750e-01    6.4822865464675417e-04
     1.80     0.721    3.2431600709737052e-01    4.7586622758077901e-04
     1.90     0.761    3.2429786529428739e-01    3.1528120916624047e-04
     2.00     0.800    3.2428581342307355e-01    1.5954485255509354e-04
     2.10     0.839    3.2428146310946604e-01    9.8282186420384221e-05
     2.20     0.878    3.2427933963631839e-01    6.5085341074189174e-05
     2.30     0.921    3.2427795865267856e-01    4.4529502937873389e-05
     2.40     0.980    3.2427661355704818e-01    3.0815994162658455e-05
     2.50     1.045    3.2427585074825283e-01    2.0335525587888981e-05
     2.60     1.117    3.2427550249116599e-01    1.3342557124262910e-05
     2.70     1.197    3.2427530013846412e-01    8.2339107569939785e-06
     2.80     1.291    3.2427519861301585e-01    4.3518349632787334e-06
     2.90     1.396    3.2427516705911980e-01    2.0197570429481004e-06
     3.00     1.491    3.2427516041499849e-01    1.1349530146809172e-06
     3.10     1.568    3.2427515884393543e-01    7.6882026056601660e-07
     3.20     1.651    3.2427515772420173e-01    4.7651721080121945e-07
     3.30     1.735    3.2427515680516983e-01    2.4455421598901239e-07
     3.40     1.818    3.2427515655928624e-01    1.1347525674665349e-07
     3.50     1.894    3.2427515653370581e-01    7.2679305240797021e-08
     3.60     1.966    3.2427515650949618e-01    4.0456782590680973e-08
     3.70     2.045    3.2427515649695349e-01    1.6053195661669406e-08
     3.80     2.148    3.2427515649492528e-01    3.3215747929915551e-09
     3.90     2.251    3.2427515649479227e-01    7.9425355181683699e-10
