    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     1.00     0.067    5.0526983363774536e-01    7.6706001757808728e-02
     2.00     0.131    4.1257727120163279e-01    8.2057814734718293e-02
     3.00     0.195    3.7750518871614003e-01    6.5226632741610002e-02
     4.00     0.257    3.7453777301723978e-01    8.2171158623789708e-02
     5.00     0.321    3.3166933143859945e-01    1.3621741288342815e-02
     6.00     0.385    3.3034805372091908e-01    2.0121082358162790e-02
     7.00     0.449    3.2656488482653012e-01    1.0978023431612138e-02
     8.00     0.513    3.2580880565429632e-01    7.1763696795087064e-03
     9.00     0.576    3.2631913804685675e-01    6.7074968674907393e-03
    10.00     0.638    3.2497508295221383e-01    2.9924505860762576e-03
    11.00     0.702    3.2460444616476042e-01    1.2516685042651410e-03
    12.00     0.765    3.2449818964190524e-01    1.6716451777294972e-03
    13.00     0.828    3.2445261386188862e-01    3.2122378231825011e-03
    14.00     0.893    3.2437943984510903e-01    1.8676579773286596e-03
    15.00     0.955    3.2432038394486762e-01    1.3329404152426505e-03
    16.00     1.018    3.2429969724096575e-01    7.0824731983715195e-04
    17.00     1.081    3.2429145496381628e-01    4.0280069721843753e-04
    18.00     1.144    3.2428359082997232e-01    5.7722370559276648e-04
    19.00     1.206    3.2428529286843732e-01    9.2347853852747797e-04
    20.00     1.270    3.2427996484365806e-01    5.1738127659906041e-04
    21.00     1.332    3.2428083243057476e-01    6.4443808560765703e-04
    22.00     1.394    3.2427818226819005e-01    5.4623380352170070e-04
    23.00     1.457    3.2427671151075016e-01    1.2766906225897268e-04
    24.00     1.519    3.2427712440809675e-01    3.5802637535509163e-04
    25.00     1.582    3.2427623719185433e-01    2.6954607641171968e-04
    26.00     1.645    3.2427569171411924e-01    8.2506629501655215e-05
    27.00     1.708    3.2427553774045742e-01    1.2721925683140123e-04
    28.00     1.773    3.2427547560173070e-01    1.5598789372184285e-04
    29.00     1.837    3.2427531073024324e-01    1.1341500860218012e-04
    30.00     1.900    3.2427567007669544e-01    2.7614447719992441e-04
    31.00     1.963    3.2427540814948880e-01    1.8444132303430116e-04
    32.00     2.031    3.2427530615751887e-01    1.2817864556996517e-04
    33.00     2.095    3.2427520785760339e-01    4.5270643729056204e-05
    34.00     2.157    3.2427520387771708e-01    5.9276907333066786e-05
    35.00     2.221    3.2427517393796546e-01    2.1508604042860813e-05
    36.00     2.283    3.2427516978807275e-01    3.0558482635223427e-05
    37.00     2.346    3.2427516327184575e-01    1.9729951671543233e-05
    38.00     2.409    3.2427516150336494e-01    1.9228999085713072e-05
    39.00     2.470    3.2427516202540957e-01    1.9701068670663346e-05
    40.00     2.534    3.2427515930526585e-01    1.4423393852491806e-05
    41.00     2.597    3.2427516302964909e-01    2.9263772490129014e-05
    42.00     2.660    3.2427515873367835e-01    1.5288424088849561e-05
    43.00     2.722    3.2427515764834552e-01    9.0862357575716146e-06
    44.00     2.786    3.2427515724644607e-01    4.6511678305494186e-06
    45.00     2.850    3.2427515839628090e-01    1.3990436324051725e-05
    46.00     2.916    3.2427515721781386e-01    6.1310828873284429e-06
    47.00     2.979    3.2427515752115038e-01    1.0131428677784271e-05
    48.00     3.041    3.2427515688107478e-01    4.4356727701977405e-06
    49.00     3.105    3.2427515682583319e-01    5.7875452876832156e-06
    50.00     3.167    3.2427515662679629e-01    2.1483557326451574e-06
    51.00     3.229    3.2427515677822505e-01    5.5197822967922860e-06
    52.00     3.292    3.2427515655418515e-01    1.1802852275533127e-06
    53.00     3.355    3.2427515655022560e-01    8.7565279438539534e-07
    54.00     3.418    3.2427515652263289e-01    5.7214827164919768e-07
    55.00     3.481    3.2427515652170991e-01    1.0841787827509108e-06
    56.00     3.544    3.2427515652918487e-01    1.4552663731848270e-06
    57.00     3.606    3.2427515655038169e-01    2.8505033855541484e-06
    58.00     3.669    3.2427515651055849e-01    1.0664006283439553e-06
    59.00     3.732    3.2427515650135452e-01    3.2318011466969665e-07
    60.00     3.794    3.2427515650406197e-01    7.2474697793145637e-07
    61.00     3.859    3.2427515650252364e-01    5.6906649725796399e-07
    62.00     3.923    3.2427515650117728e-01    5.3390668461328339e-07
    63.00     3.986    3.2427515649902661e-01    4.8652736528431717e-07
    64.00     4.048    3.2427515649710370e-01    3.1091856245168970e-07
    65.00     4.112    3.2427515649619260e-01    1.1487457540759749e-07
    66.00     4.174    3.2427515649542343e-01    1.6646310618817495e-07
    67.00     4.237    3.2427515649537320e-01    1.1625497720046951e-07
    68.00     4.303    3.2427515649522637e-01    2.1078214018643848e-07
    69.00     4.367    3.2427515649510869e-01    1.8080901176276143e-07
    70.00     4.429    3.2427515649508892e-01    1.8379697119819127e-07
    71.00     4.492    3.2427515649527894e-01    2.7101167665577464e-07
    72.00     4.556    3.2427515649496907e-01    1.3715190949614708e-07
    73.00     4.619    3.2427515649510535e-01    2.1324418608692497e-07
    74.00     4.682    3.2427515649510230e-01    2.1491763146919141e-07
    75.00     4.745    3.2427515649487371e-01    6.7175744022929251e-08
    76.00     4.809    3.2427515649484967e-01    4.6014084209566875e-08
    77.00     4.873    3.2427515649481409e-01    2.7367098975883408e-08
    78.00     4.938    3.2427515649482130e-01    5.3293716661961810e-08
    79.00     5.001    3.2427515649479621e-01    1.6998885243868500e-08
    80.00     5.064    3.2427515649481087e-01    4.9767742593687103e-08
    81.00     5.129    3.2427515649479871e-01    3.3568593266197766e-08
    82.00     5.192    3.2427515649480476e-01    5.0115286809315762e-08
    83.00     5.256    3.2427515649483135e-01    8.7683712290953508e-08
    84.00     5.319    3.2427515649479033e-01    9.8194148923091973e-09
    85.00     5.382    3.2427515649479327e-01    3.6409699477601976e-08
    86.00     5.446    3.2427515649478861e-01    1.7709074082161713e-08
    87.00     5.509    3.2427515649478311e-01    8.3938463402155605e-09
    88.00     5.573    3.2427515649478361e-01    6.6604613491172415e-09
    89.00     5.636    3.2427515649478666e-01    9.7856911462912421e-09
    90.00     5.700    3.2427515649478150e-01    3.6781724332968224e-09
    91.00     5.762    3.2427515649478222e-01    6.3011196260731595e-09
    92.00     5.826    3.2427515649478261e-01    2.7809274882883983e-09
    93.00     5.889    3.2427515649478139e-01    2.1239907610492992e-09
    94.00     5.954    3.2427515649478128e-01    4.5773916323987862e-09
    95.00     6.020    3.2427515649478711e-01    2.2069632787946603e-09
    96.00     6.083    3.2427515649478322e-01    8.2961901237688096e-10
