    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     1.00     0.065    6.9814202976794426e-01    1.0374757687548564e-01
     2.00     0.131    4.5593941963675466e-01    5.3330794163415574e-02
     3.00     0.199    4.1424410899066877e-01    4.9238736814751327e-02
     4.00     0.263    3.9304588438682525e-01    5.1362058130168975e-02
     5.00     0.328    4.1436784134278776e-01    7.9551389063888034e-02
     6.00     0.397    3.7793657274430759e-01    4.6300546149516064e-02
     7.00     0.463    5.0619341160008535e-01    1.4317871794166592e-01
     8.00     0.531    3.6294888374464018e-01    3.8449024268418286e-02
     9.00     0.593    4.3106181286220019e-01    1.1005168368750606e-01
    10.00     0.659    3.5140977787983851e-01    3.7408404819493368e-02
    11.00     0.724    3.4874385641676792e-01    2.7845812040990126e-02
    12.00     0.787    3.5060714757036709e-01    4.1686078617978017e-02
    13.00     0.852    3.5962791511058123e-01    3.8195947863100210e-02
    14.00     0.917    3.4165462365732580e-01    2.0693163214499224e-02
    15.00     0.979    3.4290968791133158e-01    4.0204514833627414e-02
    16.00     1.046    3.4476328311115345e-01    3.3142326452018533e-02
    17.00     1.108    3.4892093479351144e-01    4.3567643112815774e-02
    18.00     1.171    3.3816312024005774e-01    1.7130809197824393e-02
    19.00     1.240    3.3627542717296710e-01    1.5844482691309558e-02
    20.00     1.301    3.3724780313161334e-01    2.2930449896915478e-02
    21.00     1.365    3.8565448559671778e-01    8.8685705429277339e-02
    22.00     1.433    3.3834640508239433e-01    1.3678422577039773e-02
    23.00     1.498    3.4123785337806944e-01    3.8492965030031634e-02
    24.00     1.566    3.3419623696436196e-01    9.3312866129197231e-03
    25.00     1.629    3.3000829902246764e-01    1.5373939020909777e-02
    26.00     1.694    3.6674715037540206e-01    7.9313156889503356e-02
    27.00     1.762    3.6280911225263823e-01    7.2953277794089111e-02
    28.00     1.822    3.4601119047924034e-01    5.0212804115001841e-02
    29.00     1.885    3.3314410836266672e-01    1.1712744054099389e-02
    30.00     1.953    3.3396052863571296e-01    2.3046900420277794e-02
