    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     2.00     0.293    5.3098219034485294e-01    1.1873590316754742e-01
     3.00     0.430    4.8020277508256365e-01    6.5145896877088549e-02
     4.00     0.568    4.3340525447590400e-01    4.2801514338318525e-02
     5.00     0.706    4.0852011447112246e-01    3.1077714131768741e-02
     6.00     0.844    3.8485737684873461e-01    1.8900693667434743e-02
     7.00     0.981    3.6732294081211930e-01    1.3123091998635816e-02
     8.00     1.119    3.4936219316225736e-01    7.8991181393508469e-03
     9.00     1.259    3.3456591216575299e-01    3.4171537794097651e-03
    10.00     1.396    3.2771033183605969e-01    1.4350711329405019e-03
    11.00     1.534    3.2536584159597010e-01    6.1749374967590143e-04
    12.00     1.674    3.2438142112519708e-01    2.7241206343009416e-04
    13.00     1.825    3.2427599328909074e-01    3.0348522763290475e-05
    14.00     1.969    3.2427517537676920e-01    7.4164417129818361e-07
    15.00     2.137    3.2427515649647076e-01    1.3030590606533110e-08
    16.00     2.327    3.2427515649478417e-01    6.2585492344169324e-12
