    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     2.00     0.301    4.9165945536951872e-01    8.8434122738662094e-02
     3.00     0.456    3.9564154606895086e-01    3.3239437186618759e-02
     4.00     0.604    3.5157250928385492e-01    1.3801205067378142e-02
     5.00     0.753    3.3207011127586666e-01    4.8379172793439063e-03
     6.00     0.907    3.2581762876197962e-01    2.0140293274777399e-03
     7.00     1.061    3.2466930568390379e-01    3.6229996507997075e-04
     8.00     1.231    3.2428561651591964e-01    1.1986623546045294e-04
     9.00     1.381    3.2427546758253400e-01    2.9013914650821704e-06
    10.00     1.565    3.2427515676224933e-01    2.0193088823283745e-07
    11.00     1.751    3.2427515649478722e-01    3.9134717688682485e-10
