    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7543972462139421e-03
     0.10     7.852    4.8732435527611734e-01    1.3137394690612147e-03
     0.20    15.705    4.6703492623292203e-01    7.5195596047472613e-04
     0.30    23.510    4.6305812467054247e-01    5.9438657230170833e-04
     0.40    31.400    4.6145996038778464e-01    4.7849797681087658e-04
     0.50    39.261    4.6057900139020519e-01    3.7377336121491300e-04
     0.60    47.066    4.6005948034948030e-01    3.0879737769329285e-04
     0.70    54.999    4.5968653433983020e-01    2.7605373205208394e-04
     0.80    62.926    4.5939755235456559e-01    2.2272408346868389e-04
     0.90    70.791    4.5920573875260973e-01    2.0049578925285250e-04
     1.00    78.714    4.5905477160914632e-01    1.8182356798446264e-04
     1.10    86.844    4.5853424693903805e-01    4.5942705893420310e-05
     1.20    94.703    4.5849940432894637e-01    2.7883411268581071e-05
     1.30   102.546    4.5849158484739255e-01    2.0246207347973666e-05
     1.40   110.428    4.5848841926372152e-01    1.4253878536818476e-05
     1.50   118.337    4.5848686804660793e-01    1.0024816501363887e-05
     1.60   126.217    4.5848603488577494e-01    7.2267665878200660e-06
     1.70   134.214    4.5848556981436900e-01    4.8610158163153727e-06
     1.80   142.209    4.5848532771538880e-01    3.0194946136763434e-06
     1.90   150.141    4.5848521118632929e-01    1.5946068079308873e-06
     2.00   157.994    4.5848516694625951e-01    4.6128896502573014e-07
     2.10   165.743    4.5848516209554119e-01    8.2171264681463185e-08
     2.20   173.604    4.5848516197155414e-01    3.5627367500623564e-08
     2.30   181.501    4.5848516195423900e-01    1.7953675879311959e-08
     2.40   189.339    4.5848516195031652e-01    8.7103169121860446e-09
     2.50   197.182    4.5848516194930505e-01    4.2555112766962111e-09
     2.60   204.983    4.5848516194904348e-01    1.9109367421776824e-09
     2.70   212.840    4.5848516194899080e-01    7.2468675504921976e-10
