    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3425055960999741e-01
     1.00     0.017    5.3519711549598792e-01    1.9433884846287386e-02
     2.00     0.033    5.3058271385514499e-01    1.9352348937457187e-02
     3.00     0.053    5.2200098777810056e-01    7.9664667715149129e-03
     4.00     0.075    5.1853491661411866e-01    9.4036231191827468e-03
     5.00     0.091    5.1763678232759280e-01    5.3897812323450145e-03
     6.00     0.107    5.1743912761176925e-01    6.7554496943744713e-03
     7.00     0.127    5.1700423881741298e-01    4.2704627958460861e-03
     8.00     0.146    5.1676422677019163e-01    3.0362701853423602e-03
     9.00     0.162    5.1674398594504578e-01    2.5169571309520133e-03
    10.00     0.183    5.1671579105321186e-01    2.2075941578851843e-03
    11.00     0.204    5.1665786875502684e-01    9.7989130302567062e-04
    12.00     0.225    5.1664844926347941e-01    5.9523660151261648e-04
    13.00     0.243    5.1664331346377790e-01    2.9224977844077848e-04
    14.00     0.260    5.1664249224471781e-01    3.8289902355814753e-04
    15.00     0.281    5.1664203183587754e-01    3.7136405539950346e-04
    16.00     0.301    5.1663993913505124e-01    7.1022358467898172e-05
    17.00     0.317    5.1664034493557509e-01    1.6159613993949051e-04
    18.00     0.332    5.1663980503974460e-01    3.2379580156005616e-05
    19.00     0.352    5.1663992566843153e-01    8.4575370665085359e-05
    20.00     0.371    5.1663981245517887e-01    3.6443029503896440e-05
    21.00     0.388    5.1663979134832272e-01    2.3274617943824794e-05
    22.00     0.404    5.1663978593586601e-01    1.0236414810460559e-05
    23.00     0.425    5.1663978417812850e-01    8.5499355897411533e-06
    24.00     0.446    5.1663978313042314e-01    5.3012958010079103e-06
    25.00     0.462    5.1663978312189762e-01    3.4975432610107049e-06
    26.00     0.478    5.1663978288583590e-01    9.1837152726981230e-07
    27.00     0.498    5.1663978305300928e-01    3.5363446375669128e-06
    28.00     0.517    5.1663978291945700e-01    2.3285507688708407e-06
    29.00     0.533    5.1663978290200152e-01    1.7668624632261043e-06
    30.00     0.551    5.1663978285287349e-01    8.2505820198086610e-07
    31.00     0.571    5.1663978284522816e-01    4.4707757251849500e-07
    32.00     0.589    5.1663978284475476e-01    1.7715883293689672e-07
    33.00     0.605    5.1663978284481760e-01    2.8286412301348207e-07
    34.00     0.624    5.1663978284380585e-01    2.3610621302516677e-07
    35.00     0.643    5.1663978284374701e-01    1.8708259674760086e-07
    36.00     0.660    5.1663978284329426e-01    1.0221401836041366e-07
    37.00     0.675    5.1663978284334433e-01    1.4193926656247413e-07
    38.00     0.695    5.1663978284328949e-01    1.1759466467253787e-07
    39.00     0.715    5.1663978284314382e-01    8.1974969923237495e-08
    40.00     0.735    5.1663978284305945e-01    1.3986758418127465e-08
    41.00     0.751    5.1663978284305856e-01    1.4921337276874169e-08
    42.00     0.772    5.1663978284305789e-01    7.9582042067372072e-09
    43.00     0.792    5.1663978284305401e-01    1.2140801253224254e-08
    44.00     0.810    5.1663978284305667e-01    4.6039247969531516e-09
    45.00     0.825    5.1663978284305723e-01    6.1675677898165304e-09
    46.00     0.845    5.1663978284305678e-01    3.8168082028278150e-09
    47.00     0.865    5.1663978284305589e-01    3.2643505676333007e-09
    48.00     0.880    5.1663978284305523e-01    7.8259665414748270e-10
