    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3425055960999741e-01
     1.00     0.020    5.7192656834936995e-01    5.4362873660014577e-02
     2.00     0.036    5.4014083924402267e-01    3.7230619105870666e-02
     3.00     0.052    5.2177853667685026e-01    9.7769777961758120e-03
     4.00     0.072    5.8854422096212267e-01    6.1077834873790482e-02
     5.00     0.092    5.3303971563420027e-01    3.1486828623890739e-02
     6.00     0.108    5.3469475690020485e-01    4.3637409671134275e-02
     7.00     0.125    5.2099587714713314e-01    1.3437743453838191e-02
     8.00     0.143    5.2343829630167249e-01    1.7366017193851668e-02
     9.00     0.163    5.2555219707772649e-01    2.5810626750335963e-02
    10.00     0.178    5.2035377371113867e-01    1.4484425884581986e-02
    11.00     0.194    5.2058754904563187e-01    1.9519499255779005e-02
    12.00     0.213    5.1950614391424055e-01    1.3911464702784926e-02
    13.00     0.232    5.2384706758672450e-01    2.1599768801759289e-02
    14.00     0.249    5.2823224961002158e-01    2.1572318626245979e-02
    15.00     0.265    5.2327020462734930e-01    2.0148889544201243e-02
    16.00     0.284    5.2133980993561035e-01    2.3310289476241697e-02
    17.00     0.301    5.1903184601519181e-01    1.0498917863694501e-02
    18.00     0.316    5.1836043816538724e-01    7.7971658919542275e-03
    19.00     0.336    5.1890372623586623e-01    7.9678299605219216e-03
    20.00     0.356    5.1691966064909056e-01    4.1017408551073942e-03
    21.00     0.372    5.1761549147465591e-01    4.1950462225786023e-03
    22.00     0.391    5.1780409547669237e-01    6.9214663320993353e-03
    23.00     0.407    5.1741948472539545e-01    4.2177017324187549e-03
    24.00     0.426    5.2363182530677754e-01    2.2677794557183439e-02
    25.00     0.445    5.1827171714592679e-01    9.3605573267960818e-03
    26.00     0.459    5.1747949727991049e-01    6.3961018169162998e-03
    27.00     0.478    5.1735288899902609e-01    5.7808200857107916e-03
    28.00     0.498    5.1678427830875295e-01    1.2237178936818083e-03
    29.00     0.513    5.2028839868675048e-01    1.5972069395765232e-02
    30.00     0.528    5.1958353695909576e-01    1.2733139533514404e-02
    31.00     0.549    5.1783628463439302e-01    1.0911811506245428e-02
    32.00     0.566    5.1818817702762998e-01    1.3585995740388546e-02
    33.00     0.580    5.1861793035886217e-01    9.6995828511972082e-03
    34.00     0.599    5.1766012566830266e-01    9.8109212184578354e-03
    35.00     0.618    5.1885467497636306e-01    1.5255682634617407e-02
    36.00     0.633    5.1827695038680954e-01    9.0028596686291262e-03
    37.00     0.649    5.1725694283625345e-01    5.8153734995431972e-03
    38.00     0.668    5.1758344021737945e-01    8.1904640511754057e-03
    39.00     0.689    5.1772302798646386e-01    8.1013425551696994e-03
    40.00     0.707    5.1750313740041898e-01    5.9281596697025041e-03
    41.00     0.721    5.1765837658365643e-01    4.7387919207402263e-03
    42.00     0.739    5.1731408689524216e-01    7.0552347827361750e-03
    43.00     0.754    5.1735857572661426e-01    6.5150620102273349e-03
    44.00     0.768    5.1764873894240260e-01    9.4928442271804414e-03
    45.00     0.787    5.2025342930698670e-01    1.5636471894344250e-02
    46.00     0.807    5.1724262092003193e-01    3.9395519064013840e-03
    47.00     0.821    5.1851996578945359e-01    1.2164136778045509e-02
    48.00     0.837    5.1848023093947226e-01    1.3021195648618589e-02
    49.00     0.856    5.1738957000562658e-01    5.6009624769952637e-03
    50.00     0.875    5.1806864328914415e-01    1.1240649950448267e-02
    51.00     0.889    5.1710421425115349e-01    7.0400843409699210e-03
    52.00     0.907    5.1736067042157441e-01    6.7354534290890999e-03
    53.00     0.926    5.1755182057304672e-01    5.7668385576721271e-03
    54.00     0.944    5.1710684457575595e-01    4.6335935465782185e-03
    55.00     0.959    5.1782748020539915e-01    1.1871246480178455e-02
    56.00     0.979    5.1952208882059470e-01    1.4992050271808388e-02
    57.00     0.998    5.1709239114271544e-01    4.2740973046526687e-03
    58.00     1.013    5.1964215471538100e-01    1.4798488928492226e-02
    59.00     1.030    5.1840795120162630e-01    1.1258300586725056e-02
    60.00     1.049    5.1738048272008241e-01    8.0904126896419459e-03
    61.00     1.065    5.1753448052642148e-01    8.3490125191524323e-03
