    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3425055960999741e-01
     0.10     0.007    5.9080077335960124e-01    4.4980789087999851e-02
     0.20     0.013    6.2690373344557948e-01    5.3177383256230615e-02
     0.30     0.019    6.4754302261430630e-01    5.6964573686883624e-02
     0.40     0.026    5.7585656339410229e-01    5.2983481085934869e-02
     0.50     0.032    6.2780946346071909e-01    1.0808204054410098e-01
     0.60     0.038    7.2964290720001435e-01    1.3268078328626398e-01
     0.70     0.043    7.7518976004164419e-01    1.3752683848354996e-01
     0.80     0.049    7.9914349731489320e-01    1.3934279485348200e-01
     0.90     0.055    5.4789456284732208e-01    4.1348470835147977e-02
     1.00     0.062    7.0310438508402839e-01    1.4995873745239829e-01
     1.10     0.068    6.7042079510153219e-01    1.3505557791317835e-01
     1.20     0.073    6.3903632870855243e-01    1.1482490571070869e-01
     1.30     0.080    6.2519789983806762e-01    1.0315766665125548e-01
     1.40     0.085    6.2240736220454995e-01    1.0701199878784995e-01
     1.50     0.092    6.2110655663701686e-01    1.0599102294972074e-01
     1.60     0.098    5.5110755070038431e-01    5.7272380607495732e-02
     1.70     0.104    5.2577853338933378e-01    2.8138041507068667e-02
     1.80     0.109    5.1868541541531188e-01    1.2188496196563925e-02
     1.90     0.116    5.1777192604594879e-01    5.0273849508464252e-03
     2.00     0.122    5.1758700723789774e-01    5.3240858514023159e-03
     2.10     0.128    5.1715040125287148e-01    4.4208944193542266e-03
     2.20     0.134    5.1694417871162335e-01    3.3401934305885561e-03
     2.30     0.140    5.1687997918818440e-01    2.8275403938957666e-03
     2.40     0.146    5.1686234688439014e-01    2.6862049843225932e-03
     2.50     0.152    5.1685615770220028e-01    2.6602069552277285e-03
     2.60     0.158    5.1668568388649949e-01    1.3809283544308215e-03
     2.70     0.164    5.1664575543047209e-01    4.8626342768898212e-04
     2.80     0.170    5.1664057911720773e-01    1.3956815314575266e-04
     2.90     0.176    5.1664009473018591e-01    8.1934530272498307e-05
     3.00     0.181    5.1663994166250427e-01    6.0558884180217376e-05
     3.10     0.189    5.1663983124430191e-01    3.6033189558359879e-05
     3.20     0.194    5.1663979938080851e-01    2.0283489336136995e-05
     3.30     0.202    5.1663979130327231e-01    1.3209816821735387e-05
     3.40     0.208    5.1663978807445321e-01    1.2044392387888792e-05
     3.50     0.214    5.1663978643678343e-01    1.1061670220247066e-05
     3.60     0.219    5.1663978295899304e-01    1.9112186340208837e-06
     3.70     0.225    5.1663978284514589e-01    2.4672166887285130e-07
     3.80     0.231    5.1663978284311141e-01    3.1299910219217963e-08
     3.90     0.236    5.1663978284306089e-01    1.0321156374004659e-08
     4.00     0.243    5.1663978284305279e-01    5.5084399264160311e-09
     4.10     0.249    5.1663978284305057e-01    2.0476544904113325e-09
     4.20     0.255    5.1663978284305612e-01    5.4636117852169264e-10
