    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7190488320378924e-02
     0.10     0.251    6.7067296887304784e-01    1.4684822395106956e-01
     0.20     0.499    6.5012019519769781e-01    1.1409775013983925e-01
     0.30     0.751    6.4186550292822431e-01    1.0808871161698075e-01
     0.40     1.000    5.5110976236513709e-01    1.8937468300826432e-02
     0.50     1.253    5.5938894510580039e-01    1.1230156411957015e-02
     0.60     1.499    5.4438197209067851e-01    3.3859533022578381e-02
     0.70     1.747    5.2897097483200417e-01    2.2359610033719113e-02
     0.80     1.997    5.2517162759524294e-01    6.1401879493733005e-03
     0.90     2.241    5.2169938431657514e-01    4.4398231926090492e-03
     1.00     2.484    5.1647882998833206e-01    3.9202996617362373e-03
     1.10     2.722    5.1526306754596074e-01    2.8222876770227501e-03
     1.20     2.968    5.1517434572482634e-01    2.8108591030830965e-03
     1.30     3.213    5.1514026761568787e-01    2.8049973870514222e-03
     1.40     3.464    5.1502287468766617e-01    2.6929125175874091e-03
     1.50     3.712    5.1392226401652363e-01    1.0159478528631860e-03
     1.60     3.963    5.1383982898282088e-01    6.1514456237221626e-04
     1.70     4.209    5.1378700073098393e-01    4.0314020240000970e-04
     1.80     4.455    5.1377892213935195e-01    3.0255255977618134e-04
     1.90     4.706    5.1376313454438460e-01    2.1969330292659350e-04
     2.00     4.949    5.1373994871994011e-01    1.8019895654397544e-04
     2.10     5.192    5.1371212680943834e-01    1.1548599148181182e-04
     2.20     5.438    5.1370950859064546e-01    1.1592207468069660e-04
     2.30     5.685    5.1370826552759064e-01    1.1654863722299069e-04
     2.40     5.934    5.1370448693318183e-01    9.9332849893052355e-05
     2.50     6.246    5.1368408965863810e-01    3.7752857606321299e-05
     2.60     6.522    5.1368136207464299e-01    3.1908566925586967e-05
     2.70     6.815    5.1367867301417092e-01    2.4850170947665617e-05
     2.80     7.062    5.1367838365117180e-01    2.4387275368020767e-05
     2.90     7.561    5.1367783495430164e-01    2.2449728135143232e-05
     3.00     7.944    5.1366992347228158e-01    1.3515728442214936e-05
     3.10     8.302    5.1366843057361466e-01    1.1650648384708973e-05
     3.20     8.609    5.1366788673435360e-01    1.3180701427195629e-05
     3.30     8.854    5.1366787794707902e-01    1.3166911144502080e-05
     3.40     9.333    5.1366570629792552e-01    1.0121266199369927e-05
     3.50    10.325    5.1366259230353817e-01    5.8360823365077863e-06
     3.60    10.770    5.1366225411353905e-01    5.1649286234578540e-06
     3.70    11.180    5.1366214075737104e-01    4.5687971050867304e-06
     3.80    11.427    5.1366214026016455e-01    4.5609361283283079e-06
     3.90    11.670    5.1366213980161934e-01    4.5463202704709715e-06
     4.00    12.296    5.1366090436936107e-01    2.1593100392180986e-06
     4.10    12.875    5.1366077567624557e-01    1.8307717679633129e-06
     4.20    13.361    5.1366075565969160e-01    2.0048013880114013e-06
     4.30    13.702    5.1366075563279023e-01    2.0047065136807873e-06
     4.40    16.422    5.1366052930256023e-01    1.2432987190891254e-06
     4.50    21.522    5.1366040098976307e-01    5.6479988241875390e-07
     4.60    22.721    5.1366039573641342e-01    4.6778017281923212e-07
     4.70    23.346    5.1366039553714526e-01    4.5020657246652718e-07
     4.80    23.767    5.1366039553649623e-01    4.5021185002269704e-07
     4.90    24.174    5.1366039553591847e-01    4.5021528372046760e-07
     5.00    25.693    5.1366036023260431e-01    1.2160539775152301e-07
     5.10    26.921    5.1366035917127773e-01    8.4509809816779580e-08
     5.20    27.416    5.1366035915003394e-01    8.4591815330270492e-08
     5.30    27.754    5.1366035915000829e-01    8.4592040039410676e-08
     5.40    29.834    5.1366035829612500e-01    2.8752254799258026e-08
     5.50    32.637    5.1366035814442101e-01    7.4242461067797194e-09
     5.60    33.132    5.1366035814381727e-01    6.7366710820859765e-09
     5.70    33.412    5.1366035814380462e-01    6.7286496374663329e-09
     5.80    33.656    5.1366035814381117e-01    6.7286531901800117e-09
     5.90    33.906    5.1366035814382038e-01    6.7286549665368511e-09
     6.00    34.944    5.1366035813063526e-01    2.7288749038234528e-10
