    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7190488320378924e-02
     1.00     0.666    5.6421607674560748e-01    5.5570942610662755e-02
     2.00     1.329    5.4979100189687757e-01    6.1126594772787257e-02
     3.00     2.033    5.2514786457166573e-01    1.0609196119656605e-02
     4.00     2.754    5.1846473614204158e-01    1.2877830886252495e-02
     5.00     3.484    5.1928202995077766e-01    2.9096448418917120e-02
     6.00     4.208    5.1608875734664517e-01    1.5674914677101803e-02
     7.00     4.928    5.1409298743590071e-01    3.0743575429257874e-03
     8.00     5.651    5.1399145538090363e-01    2.1564096411588185e-03
     9.00     6.598    5.1388069501948908e-01    3.1532594047343210e-03
    10.00     7.534    5.1378161115043908e-01    1.0783449040566717e-03
    11.00     8.464    5.1378463694739418e-01    1.9140787959139871e-03
    12.00     9.411    5.1413350532564794e-01    9.8696906622235403e-03
    13.00    10.352    5.1391405058917328e-01    5.5338179226058770e-03
    14.00    11.284    5.1390197820076233e-01    5.5407375276947946e-03
    15.00    12.197    5.1401187110496627e-01    7.8253005461705882e-03
    16.00    13.190    5.1380972250983226e-01    4.1339914651086218e-03
    17.00    13.936    5.1377920421193402e-01    2.6566054891851605e-03
    18.00    14.604    5.1376540763750855e-01    1.7646069035428050e-03
    19.00    15.295    5.1373177163982509e-01    1.1803309847310886e-03
    20.00    15.973    5.1372292292019639e-01    1.1689730384962654e-03
    21.00    16.645    5.1371627153617794e-01    7.4896523584744301e-04
    22.00    17.322    5.1372181070712775e-01    1.8175315014756777e-03
    23.00    17.995    5.1372170412251084e-01    1.9579164888980927e-03
    24.00    18.668    5.1371782828762524e-01    1.6165808375436796e-03
    25.00    19.341    5.1370414975002143e-01    8.7063063018089082e-04
    26.00    20.019    5.1369818003478207e-01    2.6578112254682651e-04
    27.00    20.692    5.1369485420373084e-01    9.1566825603739410e-05
    28.00    21.364    5.1369231181720165e-01    2.7600247870651629e-04
    29.00    22.036    5.1368998368066687e-01    3.8427219112069366e-04
    30.00    22.705    5.1368711133678246e-01    2.2665902895102619e-04
    31.00    23.374    5.1368479178010595e-01    2.7336814962986011e-04
    32.00    24.049    5.1368282423839673e-01    3.6540794715467229e-04
    33.00    24.719    5.1368039528271048e-01    1.8265320790789019e-04
    34.00    25.391    5.1367866499397008e-01    2.6515219332079454e-04
    35.00    26.052    5.1367656869982281e-01    5.8111144490169409e-05
    36.00    26.715    5.1367481806395121e-01    6.1324773654725107e-05
    37.00    27.383    5.1367308146232860e-01    3.7154716460818804e-05
    38.00    28.054    5.1367141633999291e-01    3.9579458748661978e-05
    39.00    28.727    5.1366983420909251e-01    6.5191542114040324e-06
    40.00    29.393    5.1366837952671884e-01    4.0835077302625589e-06
    41.00    30.059    5.1366707649202337e-01    2.1459720585426112e-05
    42.00    30.725    5.1366593458124143e-01    2.8276796886217426e-06
    43.00    31.393    5.1366493643669875e-01    1.6146619175927412e-05
    44.00    32.061    5.1366403363703683e-01    5.9286760452081921e-06
    45.00    32.728    5.1366320740546356e-01    5.8787117641484476e-06
    46.00    33.396    5.1366244433670771e-01    2.0432726415553493e-06
    47.00    34.064    5.1366176506416228e-01    3.1485030520528312e-06
    48.00    34.737    5.1366120277100424e-01    1.1940826976086782e-06
    49.00    35.406    5.1366078790473013e-01    1.7326529295758064e-06
    50.00    36.073    5.1366052993612288e-01    2.1057117187694985e-06
    51.00    36.738    5.1366040557414383e-01    2.0545075924971457e-06
    52.00    37.405    5.1366036475606858e-01    1.5920912378453167e-06
    53.00    38.070    5.1366035823970080e-01    4.1519580964433089e-06
    54.00    38.736    5.1366035891193973e-01    2.5682870950782810e-07
    55.00    39.402    5.1366035904970586e-01    7.0346760239203832e-07
    56.00    40.065    5.1366035858707892e-01    7.2157495623059731e-07
    57.00    40.730    5.1366035825725365e-01    3.3104709663833720e-07
    58.00    41.395    5.1366035815130406e-01    4.7236247002757636e-07
    59.00    42.063    5.1366035814568445e-01    1.8095583103061585e-06
    60.00    42.728    5.1366035814337319e-01    1.4545727395898211e-06
    61.00    43.443    5.1366035813572786e-01    4.9824413048127347e-07
    62.00    44.165    5.1366035813449595e-01    5.7755101412482190e-07
    63.00    44.902    5.1366035813197519e-01    3.1154571722424862e-07
    64.00    45.579    5.1366035813106536e-01    1.7243268699007608e-07
    65.00    46.241    5.1366035813095412e-01    1.4627524547172754e-07
    66.00    46.900    5.1366035813151245e-01    4.1830616925864206e-07
    67.00    47.563    5.1366035813089983e-01    2.2448865255597639e-07
    68.00    48.221    5.1366035813078137e-01    7.0324059048276766e-08
    69.00    48.879    5.1366035813084721e-01    2.1362390434376266e-07
    70.00    49.536    5.1366035813068966e-01    8.6460294923540459e-08
    71.00    50.196    5.1366035813066391e-01    5.2548988799250296e-08
    72.00    50.855    5.1366035813063160e-01    4.6696050123862243e-08
    73.00    51.518    5.1366035813064359e-01    5.5500952930720437e-08
    74.00    52.181    5.1366035813070388e-01    1.3203807203154838e-07
    75.00    52.837    5.1366035813064137e-01    6.0972200621733919e-08
    76.00    53.492    5.1366035813061162e-01    8.0911794070326337e-09
    77.00    54.146    5.1366035813063649e-01    1.2286293760155331e-08
    78.00    54.807    5.1366035813063615e-01    1.3025588788129205e-08
    79.00    55.468    5.1366035813060218e-01    1.7914648348105189e-08
    80.00    56.126    5.1366035813064093e-01    9.1574872546074104e-09
    81.00    56.783    5.1366035813063549e-01    1.8975209847837959e-08
    82.00    57.443    5.1366035813061239e-01    3.2076163947181158e-09
    83.00    58.101    5.1366035813062627e-01    5.5350664884823431e-09
    84.00    58.756    5.1366035813062649e-01    1.4658438018955167e-08
    85.00    59.411    5.1366035813063038e-01    3.7958649556912860e-09
    86.00    60.072    5.1366035813063271e-01    5.0719570765522803e-09
    87.00    60.730    5.1366035813062594e-01    3.2361035795513970e-09
    88.00    61.387    5.1366035813062449e-01    1.6684891801510560e-09
    89.00    62.043    5.1366035813061228e-01    2.7579236672181651e-09
    90.00    62.700    5.1366035813061584e-01    3.0697187014538940e-09
    91.00    63.358    5.1366035813063915e-01    1.0355867274824959e-09
    92.00    64.013    5.1366035813063382e-01    1.7055405976407201e-09
    93.00    64.670    5.1366035813063149e-01    1.5924701557423759e-09
    94.00    65.330    5.1366035813062028e-01    1.0698064656367023e-09
    95.00    65.990    5.1366035813062161e-01    5.5501647722167036e-10
