    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7190488320378924e-02
     1.00     0.793    8.2442814178358370e-01    2.0168301643071018e-01
     2.00     1.569    5.4365844573315059e-01    2.8065163826515693e-02
     3.00     2.337    6.7041287671669336e-01    1.7185131526393693e-01
     4.00     3.114    5.4870702912873470e-01    8.2062617882102451e-02
     5.00     3.924    5.6145374272936055e-01    9.2024067832662482e-02
     6.00     4.727    5.1999617179442559e-01    1.4318387677442757e-02
     7.00     5.516    5.7871852369424182e-01    1.2078573090047762e-01
     8.00     6.306    5.2286287840177292e-01    1.4225826313232881e-02
     9.00     7.087    5.6915116817248856e-01    1.1344737461595589e-01
    10.00     7.865    5.3313028860250200e-01    4.8769248742356552e-02
    11.00     8.648    5.2140168192585157e-01    3.0543690611208874e-02
    12.00     9.417    5.3738789766047390e-01    6.1737374012834856e-02
    13.00    10.194    5.5810136140406652e-01    1.0292844068814322e-01
    14.00    10.967    5.2341623392159453e-01    3.2202313239825919e-02
    15.00    11.754    5.2375679104289141e-01    4.1846157791503913e-02
    16.00    12.548    5.2160820726451385e-01    3.7051656715904713e-02
    17.00    13.345    5.1953966508371030e-01    3.1929721182995863e-02
    18.00    14.147    5.1739008471145331e-01    1.1434243374861652e-02
    19.00    14.940    5.2059008844175014e-01    3.4781936511707912e-02
    20.00    15.731    5.3277871469572036e-01    6.3319793666034130e-02
    21.00    16.522    5.2041773247245460e-01    1.6120307193921365e-02
    22.00    17.292    5.1672159379264060e-01    5.8477975674215144e-03
    23.00    18.061    5.1651055291473991e-01    1.4873453574951512e-02
    24.00    18.849    5.2943331667899096e-01    6.1104785660185179e-02
    25.00    19.650    5.2962638652916516e-01    5.6173022487393531e-02
    26.00    20.454    5.3000597548348394e-01    4.1347349695051272e-02
    27.00    21.251    5.1549096354765389e-01    8.8585376770081714e-03
    28.00    22.051    5.2094841381795487e-01    3.9052412280046411e-02
    29.00    22.856    5.1662398244591123e-01    1.9612864989408507e-02
    30.00    23.661    5.1834566601817667e-01    2.1770770768739262e-02
    31.00    24.459    5.2367268804496947e-01    4.4704259115285971e-02
    32.00    25.266    5.1554092279870400e-01    1.3841413762565757e-02
    33.00    26.080    5.3668268647723782e-01    7.3603482821040345e-02
    34.00    26.934    5.5810754795879314e-01    1.0219492509607964e-01
    35.00    27.775    5.1905816571819663e-01    3.2086342721425076e-02
    36.00    28.599    5.1794922013885680e-01    2.2035396957227116e-02
    37.00    29.425    5.2789286277832648e-01    5.8204181289307932e-02
    38.00    30.262    5.2065872886961218e-01    3.7917370175169829e-02
    39.00    31.102    5.1579946241306096e-01    1.7020002959829306e-02
    40.00    31.906    5.1644631224127013e-01    2.1191647698730165e-02
    41.00    32.703    5.1975523546169666e-01    2.9760207712017817e-02
    42.00    33.504    5.3178996489831010e-01    6.6790048817880532e-02
    43.00    34.306    5.1589506684833075e-01    1.2497098693303739e-02
    44.00    35.097    5.1600207053631542e-01    1.3751033498387522e-02
    45.00    35.882    5.2010440205118091e-01    3.8995916400573094e-02
    46.00    36.694    5.1547216515792860e-01    7.0515860752755864e-03
    47.00    37.516    5.1618605911506710e-01    1.7248239242911190e-02
    48.00    38.312    5.1654231916158733e-01    1.6377004760126927e-02
    49.00    39.121    5.2468857502606148e-01    5.1870448023096039e-02
    50.00    39.943    5.1552084550204802e-01    1.5870022104410353e-02
    51.00    40.745    5.1583390324975409e-01    1.5342046941825949e-02
    52.00    41.541    5.1485909238604344e-01    5.5540671345122861e-03
    53.00    42.341    5.1615152027121469e-01    1.6837956741481364e-02
    54.00    43.143    5.1671284826609820e-01    2.2611814290370624e-02
    55.00    43.939    5.1436959090404277e-01    2.6164400319949599e-03
    56.00    44.730    5.1494346917095624e-01    1.1402883018591936e-02
    57.00    45.520    5.2303437493413729e-01    4.4650296092552999e-02
    58.00    46.309    5.1468301536073457e-01    4.6153661063706442e-03
    59.00    47.096    5.1469750522787294e-01    3.9535288383714118e-03
    60.00    47.887    5.1467190703746457e-01    2.8167502782977041e-03
    61.00    48.674    5.1459342123168839e-01    6.1715988896144935e-03
    62.00    49.468    5.1508733157504338e-01    1.3261471188893204e-02
    63.00    50.254    5.1922157824776649e-01    3.4912766636925774e-02
    64.00    51.068    5.1533109213389017e-01    1.4526256798199633e-02
    65.00    51.870    5.1484176416849148e-01    1.1463466888721463e-02
    66.00    52.669    5.1452703175881742e-01    5.6898617598726275e-03
    67.00    53.476    5.1615197261302048e-01    1.6015304631341681e-02
    68.00    54.270    5.1650316190216705e-01    2.1027203434488939e-02
    69.00    55.047    5.1596759457161379e-01    1.8327734605446899e-02
    70.00    55.865    5.1418104580667845e-01    4.7394095382440327e-03
    71.00    56.641    5.1563826197640339e-01    1.2335673949299825e-02
    72.00    57.450    5.1585805248535732e-01    1.9556241660196427e-02
    73.00    58.224    5.1498113537749068e-01    1.2849327944737254e-02
    74.00    58.992    5.1806584272019973e-01    3.1787618331751588e-02
    75.00    59.761    5.1810494580113930e-01    3.1675341646351107e-02
    76.00    60.551    5.1455085576571691e-01    4.6307336570962088e-03
    77.00    61.355    5.1498577929745437e-01    1.5500424274517144e-02
    78.00    62.153    5.1494796575787327e-01    1.4445633878085395e-02
    79.00    62.929    5.1532005550601756e-01    1.2760834624016906e-02
    80.00    63.703    5.1497491169751120e-01    1.2785885578329825e-02
    81.00    64.470    5.1677866443792997e-01    2.3933977941388740e-02
    82.00    65.240    5.1527485810940366e-01    1.2689710346210928e-02
    83.00    66.023    5.1485302171607883e-01    8.0563106295619136e-03
    84.00    66.819    5.1471955456773011e-01    1.0445205395077123e-02
    85.00    67.602    5.1495558198186975e-01    7.8344565618486683e-03
    86.00    68.388    5.1644794386787762e-01    2.4576698721361367e-02
    87.00    69.172    5.1495442216372433e-01    7.7920953480533628e-03
    88.00    69.990    5.1471655319833198e-01    6.3365467501313721e-03
    89.00    70.766    5.1446895513974544e-01    9.9213098124719679e-03
    90.00    71.553    5.1642938144678885e-01    2.1358383611743470e-02
    91.00    72.329    5.2035607333895484e-01    4.0518112262912354e-02
    92.00    73.128    5.1634392268762452e-01    2.1796211741644811e-02
    93.00    73.922    5.1482769177922705e-01    9.0982619264003139e-03
    94.00    74.692    5.1865877597857801e-01    3.3439383946324064e-02
    95.00    75.468    5.1792993641026819e-01    3.0987159300735811e-02
    96.00    76.247    5.1612052720304624e-01    1.5751941400585112e-02
    97.00    77.013    5.1583035499616026e-01    1.8579034084230450e-02
    98.00    77.789    5.1548136819956725e-01    1.4163954435739257e-02
    99.00    78.557    5.1480479439809912e-01    9.2088298639534452e-03
   100.00    79.325    5.1460034277697519e-01    9.2773541862738729e-03
