    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7190488320378924e-02
     2.00     1.636    5.2780653777695408e-01    6.1512134439092314e-03
     3.00     2.698    5.1517570944415636e-01    2.0866605661113979e-03
     4.00     3.702    5.1386280695868769e-01    5.4035891530457292e-04
     5.00     4.809    5.1370720730420127e-01    8.4260372465116973e-05
     6.00     6.010    5.1367212455169320e-01    1.8546110108097480e-05
     7.00     7.076    5.1366265041919879e-01    5.3773237231879989e-06
     8.00     8.066    5.1366060613613185e-01    1.3651663293146044e-06
     9.00     8.959    5.1366036582266228e-01    1.9368294612576165e-07
    10.00     9.781    5.1366035814455435e-01    7.2643002724248618e-09
    11.00    10.524    5.1366035813062083e-01    1.1127454513371049e-10
