    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7190488320378924e-02
     2.00     2.813    5.8783149133833379e-01    1.1137096304989935e-02
     3.00     4.735    5.2879168335315396e-01    5.2302197940869988e-03
     4.00     6.690    5.1698146363697339e-01    1.0737964334186501e-03
     5.00     8.188    5.1403265802107156e-01    3.5243572844656512e-04
     6.00     9.503    5.1375257017035503e-01    9.4538333407001574e-05
     7.00    10.708    5.1368357531286579e-01    2.5927737595132783e-05
     8.00    11.916    5.1366517841324510e-01    8.1151511706067936e-06
     9.00    13.045    5.1366091706433181e-01    2.2399236048187277e-06
    10.00    14.083    5.1366037839045897e-01    3.5820392518814970e-07
    11.00    15.029    5.1366035818508848e-01    1.7867185952979980e-08
    12.00    15.989    5.1366035813062849e-01    5.4020787843001017e-11
