    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2813675333066479e-01
     1.00     0.031    3.5841351850091369e-01    1.2370369518325930e-02
     2.00     0.062    2.2854594677731779e-01    7.7426095947840112e-03
     3.00     0.093    1.9755978381081971e-01    9.4410941108318269e-03
     4.00     0.123    1.9133936735668583e-01    3.5280203777938723e-03
     5.00     0.154    1.8769871238658292e-01    2.5092533273638473e-03
     6.00     0.184    1.8604789447763392e-01    1.4110353856257862e-03
     7.00     0.213    1.8607331199856691e-01    2.7673414122397766e-03
     8.00     0.243    1.8561295131200373e-01    1.3684252025170096e-03
     9.00     0.273    1.8477007020044131e-01    7.4516645560462891e-04
    10.00     0.304    1.8489237254587904e-01    1.1683516055034371e-03
    11.00     0.335    1.8474118362673278e-01    5.0161929011061090e-04
    12.00     0.366    1.8465223989437685e-01    3.4851673319336030e-04
    13.00     0.397    1.8468703923758464e-01    8.8046051732626474e-04
    14.00     0.428    1.8463120019698825e-01    2.3107628474505759e-04
    15.00     0.458    1.8462414769503568e-01    2.6170787906343307e-04
    16.00     0.490    1.8461987247184553e-01    1.6829684620578433e-04
    17.00     0.521    1.8461453438029585e-01    1.2052336254053664e-04
    18.00     0.551    1.8461251888696911e-01    6.1514238459459136e-05
    19.00     0.580    1.8461109147197885e-01    5.0012254170006543e-05
    20.00     0.610    1.8461112419261666e-01    4.9642053801868258e-05
    21.00     0.641    1.8461075295773549e-01    3.1025059004208266e-05
    22.00     0.669    1.8461042350846915e-01    2.1482205408762667e-05
    23.00     0.702    1.8461034511507893e-01    1.2482776690525554e-05
    24.00     0.732    1.8461038159397447e-01    2.1906039293695390e-05
    25.00     0.761    1.8461037387538534e-01    1.9106722661810238e-05
    26.00     0.790    1.8461032653679335e-01    1.5718380867724147e-05
    27.00     0.820    1.8461030625536867e-01    4.3279841657195561e-06
    28.00     0.849    1.8461030193331332e-01    2.7282486119162286e-06
    29.00     0.879    1.8461030394848493e-01    4.3101762337016680e-06
    30.00     0.909    1.8461030193897157e-01    4.4768613406964697e-06
    31.00     0.935    1.8461030051543387e-01    1.6487495497208293e-06
    32.00     0.965    1.8461029999249765e-01    8.3219698771008765e-07
    33.00     0.997    1.8461029988406893e-01    5.0298823123240410e-07
    34.00     1.027    1.8461029986146302e-01    6.7197243325267664e-07
    35.00     1.056    1.8461029981476765e-01    4.6371538581224669e-07
    36.00     1.087    1.8461029980617114e-01    3.1012247414530236e-07
    37.00     1.117    1.8461029979839363e-01    3.4031194573458379e-07
    38.00     1.147    1.8461029980373453e-01    3.4643860497007850e-07
    39.00     1.177    1.8461029978838947e-01    1.9101644976871057e-07
    40.00     1.207    1.8461029979350793e-01    3.0293343172838050e-07
    41.00     1.240    1.8461029978377502e-01    1.4804637693544009e-07
    42.00     1.270    1.8461029978162244e-01    1.2299890173039785e-07
    43.00     1.300    1.8461029978099258e-01    1.0272183331716533e-07
    44.00     1.331    1.8461029977964002e-01    5.3648204489942231e-08
    45.00     1.363    1.8461029977962184e-01    4.0783721066972589e-08
    46.00     1.393    1.8461029977930793e-01    2.7350144982118962e-08
    47.00     1.425    1.8461029977927451e-01    2.4098429252106257e-08
    48.00     1.456    1.8461029977921734e-01    1.2937145354996460e-08
    49.00     1.486    1.8461029977920729e-01    8.8116934859883145e-09
