    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2813675333066479e-01
     1.00     0.042    1.9572580392354430e-01    7.4568034516314663e-03
     2.00     0.068    1.9340809743534770e-01    5.3683942679989549e-03
     3.00     0.093    1.8855456432935128e-01    2.4847596008990003e-03
     4.00     0.117    1.8949064728232407e-01    3.0727414189628544e-03
     5.00     0.142    1.8819397761013903e-01    3.4012965494962799e-03
     6.00     0.166    1.8681145292822282e-01    2.2454590809373176e-03
     7.00     0.190    1.8771158181281591e-01    3.1229508222505586e-03
     8.00     0.216    1.8621289159653570e-01    1.9426705041133419e-03
     9.00     0.239    1.8737497010043958e-01    3.6750001320851045e-03
    10.00     0.266    1.8832574799662488e-01    4.5926945153605958e-03
    11.00     0.294    1.8661773451317146e-01    2.5356157481444264e-03
    12.00     0.322    1.8583228138077812e-01    2.0501532914818377e-03
    13.00     0.353    1.8560333369518653e-01    1.5215255938741956e-03
    14.00     0.382    1.8667033510459277e-01    2.5493668873914910e-03
    15.00     0.411    1.8622044380256073e-01    1.9419584173034909e-03
    16.00     0.440    1.8667106344464737e-01    3.7631299840041876e-03
    17.00     0.467    1.8567944427400937e-01    1.4699267657607429e-03
    18.00     0.496    1.8586574958647767e-01    1.8364073126480029e-03
    19.00     0.524    1.8583641568322787e-01    1.7696280653143326e-03
    20.00     0.552    1.8530001525754849e-01    1.2220092996344523e-03
    21.00     0.580    1.8523742276820171e-01    1.4397447271162767e-03
    22.00     0.608    1.8549414014571236e-01    1.5251745731028610e-03
    23.00     0.636    1.8604519183853982e-01    2.0309568389933474e-03
    24.00     0.664    1.8579820736848701e-01    1.7322310530368812e-03
    25.00     0.692    1.8650983065057053e-01    2.7015547847887567e-03
    26.00     0.722    1.8532531830412657e-01    1.2378979877833984e-03
    27.00     0.749    1.8547967186412850e-01    1.9221096753079259e-03
    28.00     0.793    1.8525845235279761e-01    1.4911835092565884e-03
    29.00     0.837    1.8506173264578940e-01    9.8695019282546426e-04
    30.00     0.869    1.8508416049492793e-01    1.1343010693796174e-03
    31.00     0.897    1.8503076177289077e-01    1.0971720757435577e-03
    32.00     0.924    1.8517774570087336e-01    1.2943946066631407e-03
    33.00     0.951    1.8570455674603295e-01    1.9741682586833509e-03
    34.00     0.983    1.8492389388951921e-01    9.3876006527293665e-04
    35.00     1.010    1.8493237519746589e-01    1.0904397850266534e-03
    36.00     1.037    1.8514149519708945e-01    1.1392162289787233e-03
    37.00     1.064    1.8504819266738512e-01    1.1658514553873900e-03
    38.00     1.091    1.8564728457030294e-01    2.2417733191986144e-03
    39.00     1.118    1.8517068759152294e-01    1.2343814706303746e-03
    40.00     1.143    1.8519829654130796e-01    1.2762807249662167e-03
    41.00     1.172    1.8506232870905803e-01    1.3844781295273556e-03
    42.00     1.199    1.8487744994045374e-01    1.2756110730087755e-03
    43.00     1.226    1.8497260361603104e-01    1.1255869059940693e-03
    44.00     1.252    1.8523194596308157e-01    1.6232747241102796e-03
    45.00     1.279    1.8474616065769328e-01    5.9017945319173037e-04
    46.00     1.305    1.8501432957675940e-01    8.2037476796914532e-04
    47.00     1.331    1.8485800092644175e-01    6.3595301782881641e-04
    48.00     1.357    1.8491216831366439e-01    7.3629155306287331e-04
    49.00     1.382    1.8486350482402675e-01    9.0393697989088473e-04
    50.00     1.408    1.8485914323677102e-01    9.2818634280966705e-04
    51.00     1.432    1.8538309261823899e-01    2.4549002413813970e-03
    52.00     1.463    1.8494119003517193e-01    1.0895496812906025e-03
    53.00     1.493    1.8510673916265544e-01    1.0819026802868503e-03
