    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2813675333066479e-01
     0.10     0.009    4.0431120531504666e-01    4.6601881131677736e-02
     0.20     0.017    2.4292670991240725e-01    1.0195535383817456e-02
     0.30     0.028    2.2425819250962190e-01    1.6095519574265804e-02
     0.40     0.037    2.2165852654607268e-01    1.9897052585061914e-02
     0.50     0.046    2.2496606263290947e-01    2.0495652525911900e-02
     0.60     0.056    2.0995241026260089e-01    1.5838713062407805e-02
     0.70     0.065    1.9712317389054076e-01    8.9873413894059340e-03
     0.80     0.074    1.9436929837579567e-01    3.5382292898455958e-03
     0.90     0.084    1.9094203723967387e-01    3.2726575701005345e-03
     1.00     0.095    1.8964160282653850e-01    3.4676863151581472e-03
     1.10     0.104    1.8747789716330088e-01    2.6413042486037597e-03
     1.20     0.113    1.8616543487674272e-01    1.9975268530454393e-03
     1.30     0.124    1.8558082438225310e-01    1.4641570582769603e-03
     1.40     0.133    1.8526525557951637e-01    1.1931233629360882e-03
     1.50     0.142    1.8504839341979473e-01    8.7157905336532338e-04
     1.60     0.152    1.8486829970265919e-01    5.9410881305144159e-04
     1.70     0.161    1.8479231172110494e-01    4.5973245660935191e-04
     1.80     0.170    1.8472471131497853e-01    4.2025628831193762e-04
     1.90     0.179    1.8467953708396703e-01    3.5239194238101401e-04
     2.00     0.188    1.8465013659067286e-01    2.6685027140471718e-04
     2.10     0.197    1.8462334054265006e-01    1.5967890636670035e-04
     2.20     0.206    1.8461503359077225e-01    9.0223137907852191e-05
     2.30     0.216    1.8461215693837019e-01    4.6512704230838864e-05
     2.40     0.225    1.8461112221734782e-01    2.6304768398155431e-05
     2.50     0.234    1.8461069281537004e-01    1.8441939964475296e-05
     2.60     0.244    1.8461046696785868e-01    1.1777851609551249e-05
     2.70     0.253    1.8461038169178190e-01    8.7558763315342958e-06
     2.80     0.262    1.8461033517261743e-01    5.3465815970099584e-06
     2.90     0.271    1.8461031136955308e-01    3.1211213992188291e-06
     3.00     0.282    1.8461030249900437e-01    1.5935956036439158e-06
     3.10     0.295    1.8461030000704992e-01    5.1026288083733107e-07
     3.20     0.305    1.8461029981918231e-01    1.5730584879136700e-07
     3.30     0.316    1.8461029978458057e-01    4.6753449112202361e-08
     3.40     0.326    1.8461029978065585e-01    2.3662861003970193e-08
     3.50     0.336    1.8461029977963772e-01    1.3921929387095133e-08
     3.60     0.352    1.8461029977931823e-01    7.7863751002382742e-09
     3.70     0.365    1.8461029977922369e-01    4.7150772175541533e-09
     3.80     0.378    1.8461029977919324e-01    2.2163142432418681e-09
     3.90     0.391    1.8461029977918370e-01    7.2036776543882297e-10
