    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2813675333066479e-01
     2.00     0.036    4.0153681594067298e-01    4.5063129081411635e-02
     3.00     0.054    3.2092735258615346e-01    1.2812015593757553e-02
     4.00     0.071    2.2137053648316243e-01    1.2250188787309879e-02
     5.00     0.088    1.9966357055586628e-01    3.2606568304376360e-03
     6.00     0.105    1.8708156072277107e-01    1.7097724314352192e-03
     7.00     0.123    1.8477572527189759e-01    4.1458173911212981e-04
     8.00     0.142    1.8461185781889058e-01    3.6340336014184516e-05
     9.00     0.160    1.8461030014475024e-01    3.5542109699804314e-07
    10.00     0.180    1.8461029977918317e-01    1.5002576958522695e-10
