    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0224027572624326e-01
     0.10     0.010    8.8174267373083004e-01    3.4051260892130286e-01
     0.20     0.018    9.9257855915069004e-01    3.6242343029363899e-01
     0.30     0.026    8.3200375967259688e-01    3.5119315586902811e-01
     0.40     0.036    2.4549345116159432e-01    1.0729611724711170e-01
     0.50     0.044    2.2132545871699486e-01    8.6597676267250512e-02
     0.60     0.052    1.0522674929238326e-01    3.8628806690274492e-02
     0.70     0.062    8.9571450222027296e-02    2.9669294121739131e-02
     0.80     0.070    7.6836205015974185e-02    3.0339893744041224e-02
     0.90     0.078    3.4807609597311537e-02    9.5798900704259227e-03
     1.00     0.087    2.9680081548160004e-02    7.0630875451268560e-03
     1.10     0.096    2.4719295313759698e-02    4.8774636825594797e-03
     1.20     0.104    2.2742300124182040e-02    4.4137626658860007e-03
     1.30     0.114    2.1821865616065125e-02    4.0049210163028981e-03
     1.40     0.122    2.0790890971424090e-02    3.9084816276289125e-03
     1.50     0.131    2.0085705669373885e-02    3.8092814805650299e-03
     1.60     0.139    1.9341882939953158e-02    3.4857541936714753e-03
     1.70     0.149    1.7964024348074609e-02    2.6871713327878410e-03
     1.80     0.158    1.6743035000340745e-02    2.6278415142813039e-03
     1.90     0.173    1.5143030289407201e-02    1.7709634171860777e-03
     2.00     0.210    1.3817778637198307e-02    1.1896060071245884e-03
     2.10     0.258    1.2915108836149953e-02    9.1398433180955863e-04
     2.20     0.302    1.2388228672221037e-02    8.1684661971426209e-04
     2.30     0.338    1.2158571078996098e-02    7.3796139304871389e-04
     2.40     0.357    1.2063416695641134e-02    6.6372044100182492e-04
     2.50     0.381    1.1945059698562951e-02    5.6471551500081318e-04
     2.60     0.401    1.1843657051289137e-02    5.5368171618574991e-04
     2.70     0.443    1.1525469708833613e-02    5.2142108594921410e-04
     2.80     0.502    1.1242543372808498e-02    4.9801973712781944e-04
     2.90     0.575    1.0865651083436146e-02    3.7547065856102790e-04
     3.00     0.685    1.0513656031915545e-02    2.2688847580787375e-04
     3.10     0.878    1.0334960661525084e-02    1.5062047132552436e-04
     3.20     1.001    1.0288643913779556e-02    1.3829342923443733e-04
     3.30     1.087    1.0273576727465350e-02    1.2528970384906302e-04
     3.40     1.154    1.0260102311922864e-02    1.2165723445167753e-04
     3.50     1.221    1.0250909681309544e-02    1.2384030422687986e-04
     3.60     1.290    1.0238908740818691e-02    1.0863731969787405e-04
     3.70     1.389    1.0211539755209472e-02    7.7824804098014511e-05
     3.80     1.495    1.0191183290851379e-02    6.1968737091078196e-05
     3.90     1.667    1.0164398780852381e-02    4.2034217540773357e-05
     4.00     1.865    1.0155563635385920e-02    2.4091723778518683e-05
     4.10     2.179    1.0148101708095693e-02    1.7555592680906784e-05
     4.20     2.337    1.0147305655257996e-02    1.4576975976510198e-05
     4.30     2.544    1.0146405631904564e-02    1.2661145500025839e-05
     4.40     2.755    1.0145578385463400e-02    1.4950764631982416e-05
     4.50     2.934    1.0145081832568605e-02    1.5636243841599118e-05
     4.60     3.135    1.0144660682245819e-02    1.0345097890884780e-05
     4.70     3.269    1.0144437959920365e-02    4.8243544776838121e-06
     4.80     3.444    1.0144329844425157e-02    3.1345690025830208e-06
     4.90     3.602    1.0144297362663561e-02    1.7491496659971517e-06
     5.00     3.767    1.0144279410127055e-02    1.0833301513635263e-06
     5.10     4.041    1.0144274363235842e-02    3.8596759033282524e-07
     5.20     4.179    1.0144274038327888e-02    2.8258948603365752e-07
     5.30     4.374    1.0144273506105283e-02    2.0931697708448382e-07
     5.40     4.569    1.0144273156799338e-02    2.0001130873747996e-07
     5.50     4.721    1.0144272933542180e-02    1.3072313892470433e-07
     5.60     4.943    1.0144272848068981e-02    3.8841664329325454e-08
     5.70     5.062    1.0144272845287593e-02    1.0437112507588608e-08
     5.80     5.159    1.0144272844632924e-02    5.9966716037251899e-09
     5.90     5.207    1.0144272844572139e-02    2.4368898010607154e-09
     6.00     5.275    1.0144272844536693e-02    6.9869715568771085e-10
